New_Task_ID,Original_Task,Input_Transformation,Output_Transformation
238c8b7c,007bbfb7.json,rotate_90_ccw,rotate_90_ccw
82445574,017c7c7b.json,rotate_180,rotate_180
163c7823,025d127b.json,rotate_90_cw,rotate_90_cw
0756af10,0520fde7.json,rotate_180,rotate_180
a4a161fa,05f2a901.json,rotate_180,rotate_180
00807511,08ed6ac7.json,rotate_90_cw,rotate_90_cw
be1b8402,0962bcdd.json,rotate_90_cw,rotate_90_cw
4ee2b4a8,0a938d79.json,rotate_180,rotate_180
02b90a86,0b148d64.json,rotate_180,rotate_180
e883469c,0ca9ddb6.json,rotate_90_ccw,rotate_90_ccw
04597b99,0d3d703e.json,rotate_180,rotate_180
35b332f7,0dfd9992.json,rotate_90_ccw,rotate_90_ccw
9eefe943,1190e5a7.json,rotate_90_ccw,rotate_90_ccw
09981733,137eaa0f.json,rotate_180,rotate_180
7197204c,178fcbfb.json,rotate_90_ccw,rotate_90_ccw
ef567401,1b2d62fb.json,rotate_90_ccw,rotate_90_ccw
96d316f2,1bfc4729.json,rotate_180,rotate_180
493792f9,1c786137.json,rotate_90_cw,rotate_90_cw
ec3698a1,1caeab9d.json,rotate_90_ccw,rotate_90_ccw
a4417057,1cf80156.json,rotate_90_cw,rotate_90_cw
dd9ec3e9,1e0a9b12.json,rotate_90_ccw,rotate_90_ccw
b5abcfbb,1f642eb9.json,rotate_90_cw,rotate_90_cw
09b9795f,1f85a75f.json,rotate_90_cw,rotate_90_cw
d1a79d4b,1f876c06.json,rotate_180,rotate_180
aa8bb561,1fad071e.json,rotate_90_cw,rotate_90_cw
2292fb9d,2013d3e2.json,rotate_90_ccw,rotate_90_ccw
87a45f57,2204b7a8.json,rotate_180,rotate_180
39b7e4b1,22168020.json,rotate_180,rotate_180
75f446a6,2281f1f4.json,rotate_90_ccw,rotate_90_ccw
ecb1421d,228f6490.json,rotate_90_ccw,rotate_90_ccw
04d98714,22eb0ac0.json,rotate_90_ccw,rotate_90_ccw
48eb39da,23581191.json,rotate_90_ccw,rotate_90_ccw
de29ec27,239be575.json,rotate_180,rotate_180
85baebcd,23b5c85d.json,rotate_90_ccw,rotate_90_ccw
a756c68c,253bf280.json,rotate_90_ccw,rotate_90_ccw
9d2b43ef,25d487eb.json,rotate_90_ccw,rotate_90_ccw
d435182c,25d8a9c8.json,rotate_90_ccw,rotate_90_ccw
58794bb2,25ff71a9.json,rotate_90_cw,rotate_90_cw
c97485d7,272f95fa.json,rotate_180,rotate_180
1d21b5b8,27a28665.json,rotate_180,rotate_180
0e6ceb07,28bf18c6.json,rotate_180,rotate_180
99e90c97,29623171.json,rotate_90_cw,rotate_90_cw
c15c4380,29c11459.json,rotate_90_ccw,rotate_90_ccw
53c1e09c,29ec7d0e.json,rotate_90_cw,rotate_90_cw
f771a640,2c608aff.json,rotate_180,rotate_180
cdcbbfd9,2dc579da.json,rotate_90_ccw,rotate_90_ccw
408315cb,2dee498d.json,rotate_90_cw,rotate_90_cw
16ef6bfa,31aa019c.json,rotate_90_ccw,rotate_90_ccw
25a27b30,321b1fc6.json,rotate_90_cw,rotate_90_cw
e6102947,32597951.json,rotate_180,rotate_180
7c8440dd,3618c87e.json,rotate_180,rotate_180
a09ab1fa,363442ee.json,rotate_90_ccw,rotate_90_ccw
7b0c415b,3906de3d.json,rotate_90_ccw,rotate_90_ccw
4b7dd454,3aa6fb7a.json,rotate_90_cw,rotate_90_cw
9b1de98b,3ac3eb23.json,rotate_180,rotate_180
4ac51377,3af2c5a8.json,rotate_90_cw,rotate_90_cw
20f82977,3bd67248.json,rotate_180,rotate_180
214b4258,3bdb4ada.json,rotate_90_cw,rotate_90_cw
f72c68ad,3c9b0459.json,rotate_90_ccw,rotate_90_ccw
a93d3407,3e980e27.json,rotate_90_ccw,rotate_90_ccw
87ec3b20,3f7978a0.json,rotate_90_ccw,rotate_90_ccw
380acd5a,40853293.json,rotate_90_cw,rotate_90_cw
e9053d88,41e4d17e.json,rotate_90_ccw,rotate_90_ccw
38beb89d,4258a5f9.json,rotate_90_cw,rotate_90_cw
fe7b6da0,4347f46a.json,rotate_180,rotate_180
8003e924,444801d8.json,rotate_180,rotate_180
4a3bd97c,445eab21.json,rotate_90_ccw,rotate_90_ccw
174cd76c,44d8ac46.json,rotate_90_cw,rotate_90_cw
d2ce64f3,44f52bb0.json,rotate_90_cw,rotate_90_cw
fdacdcf2,46f33fce.json,rotate_90_cw,rotate_90_cw
f0e04447,47c1f68c.json,rotate_90_ccw,rotate_90_ccw
468d8b02,48d8fb45.json,rotate_180,rotate_180
0abfe15d,4938f0c2.json,rotate_180,rotate_180
c0de4867,496994bd.json,rotate_90_cw,rotate_90_cw
3dac118e,49d1d64f.json,rotate_90_ccw,rotate_90_ccw
cc8a7f53,4be741c5.json,rotate_90_cw,rotate_90_cw
20f8d26a,4c4377d9.json,rotate_90_ccw,rotate_90_ccw
e18292fb,508bd3b6.json,rotate_90_ccw,rotate_90_ccw
71793261,50cb2852.json,rotate_90_cw,rotate_90_cw
9d38ac8a,5117e062.json,rotate_90_ccw,rotate_90_ccw
abd8c46e,5168d44c.json,rotate_90_cw,rotate_90_cw
3486a336,53b68214.json,rotate_180,rotate_180
567ff641,543a7ed5.json,rotate_90_ccw,rotate_90_ccw
3203a1c6,54d82841.json,rotate_180,rotate_180
e7cf5ecd,54d9e175.json,rotate_90_ccw,rotate_90_ccw
f7ae7172,5521c0d9.json,rotate_180,rotate_180
7775a5e9,5582e5ca.json,rotate_90_cw,rotate_90_cw
89706a32,5614dbcf.json,rotate_90_cw,rotate_90_cw
1bdda14c,56dc2b01.json,rotate_90_ccw,rotate_90_ccw
bc68c234,56ff96f3.json,rotate_180,rotate_180
7a11b7c2,5bd6f4ac.json,rotate_90_ccw,rotate_90_ccw
52b0850d,5c0a986e.json,rotate_90_ccw,rotate_90_ccw
cb3834ff,60b61512.json,rotate_180,rotate_180
4d88898d,6150a2bd.json,rotate_90_ccw,rotate_90_ccw
bb7d2d7b,62c24649.json,rotate_90_ccw,rotate_90_ccw
0c869943,63613498.json,rotate_90_cw,rotate_90_cw
576cbf07,6430c8c4.json,rotate_90_cw,rotate_90_cw
9759de88,6455b5f5.json,rotate_90_cw,rotate_90_cw
bcd077e4,67385a82.json,rotate_180,rotate_180
3cbf5322,673ef223.json,rotate_90_cw,rotate_90_cw
af70406e,6773b310.json,rotate_90_cw,rotate_90_cw
9e5e42e4,67a3c6ac.json,rotate_90_ccw,rotate_90_ccw
7c09e89f,67a423a3.json,rotate_90_cw,rotate_90_cw
d4c70f8e,67e8384a.json,rotate_180,rotate_180
29f9a0cc,68b16354.json,rotate_180,rotate_180
7033729a,6b9890af.json,rotate_180,rotate_180
3ba748e3,6c434453.json,rotate_90_cw,rotate_90_cw
ceb011d3,6cdd2623.json,rotate_180,rotate_180
d4e4f8f0,6d0160f0.json,rotate_180,rotate_180
1bafbe53,6d0aefbc.json,rotate_180,rotate_180
cd59d4bd,6d75e8bb.json,rotate_90_cw,rotate_90_cw
0fc34bbe,6e02f1e3.json,rotate_90_ccw,rotate_90_ccw
6249c5ae,6e82a1ae.json,rotate_180,rotate_180
f28ea884,6ecd11f4.json,rotate_90_cw,rotate_90_cw
5dd4e8cf,6f8cd79b.json,rotate_180,rotate_180
562386ab,6fa7a44f.json,rotate_90_cw,rotate_90_cw
cc6fbdc1,7468f01a.json,rotate_180,rotate_180
317a76d4,746b3537.json,rotate_90_cw,rotate_90_cw
5d54957f,74dd1130.json,rotate_90_cw,rotate_90_cw
8300b86e,75b8110e.json,rotate_90_ccw,rotate_90_ccw
29757882,760b3cac.json,rotate_90_ccw,rotate_90_ccw
92cad2f0,77fdfe62.json,rotate_90_cw,rotate_90_cw
bf1e9dcd,780d0b14.json,rotate_90_cw,rotate_90_cw
fdad49aa,794b24be.json,rotate_90_cw,rotate_90_cw
97fd259e,7b7f7511.json,rotate_90_ccw,rotate_90_ccw
2562e1db,7e0986d6.json,rotate_90_ccw,rotate_90_ccw
e2b96be6,7f4411dc.json,rotate_90_ccw,rotate_90_ccw
fecead08,7fe24cdd.json,rotate_180,rotate_180
2f26ec4d,810b9b61.json,rotate_90_ccw,rotate_90_ccw
d530d5ae,82819916.json,rotate_180,rotate_180
2b528e87,834ec97d.json,rotate_180,rotate_180
76d0e2a6,8403a5d5.json,rotate_90_cw,rotate_90_cw
36e1377b,855e0971.json,rotate_90_ccw,rotate_90_ccw
4d0221dd,85c4e7cd.json,rotate_90_cw,rotate_90_cw
1f935240,868de0fa.json,rotate_90_cw,rotate_90_cw
f7cb8069,8731374e.json,rotate_180,rotate_180
b8b98e41,88a10436.json,rotate_90_ccw,rotate_90_ccw
fbda21b5,88a62173.json,rotate_90_ccw,rotate_90_ccw
4546333b,8be77c9e.json,rotate_180,rotate_180
36114a09,8d5021e8.json,rotate_90_cw,rotate_90_cw
c1cd215f,8e1813be.json,rotate_180,rotate_180
460283ca,8e5a5113.json,rotate_90_ccw,rotate_90_ccw
89373d1d,8eb1be9a.json,rotate_90_cw,rotate_90_cw
58c4f008,8efcae92.json,rotate_90_cw,rotate_90_cw
da1eed5d,90c28cc7.json,rotate_90_cw,rotate_90_cw
6ccc518a,90f3ed37.json,rotate_90_ccw,rotate_90_ccw
4c0ec65b,913fb3ed.json,rotate_180,rotate_180
c2967c0d,91714a58.json,rotate_90_ccw,rotate_90_ccw
b8d2ecf2,9172f3a0.json,rotate_180,rotate_180
9a524d79,928ad970.json,rotate_90_cw,rotate_90_cw
dbd5a233,941d9a10.json,rotate_180,rotate_180
6fd278d2,94f9d214.json,rotate_90_cw,rotate_90_cw
f9ae216c,952a094c.json,rotate_90_cw,rotate_90_cw
bb7d00ae,9565186b.json,rotate_180,rotate_180
dcd22f73,97999447.json,rotate_180,rotate_180
0d3a8861,98cf29f8.json,rotate_180,rotate_180
950f8c4c,99b1bc43.json,rotate_90_ccw,rotate_90_ccw
11fd03a7,99fa7670.json,rotate_90_cw,rotate_90_cw
75b64d66,9af7a82c.json,rotate_180,rotate_180
a673e0f8,9dfd6313.json,rotate_90_ccw,rotate_90_ccw
fa470776,9ecd008a.json,rotate_90_ccw,rotate_90_ccw
30864783,9f236235.json,rotate_90_cw,rotate_90_cw
b30532ae,a1570a43.json,rotate_90_cw,rotate_90_cw
4a9b886e,a2fd1cf0.json,rotate_180,rotate_180
c6f78790,a3325580.json,rotate_90_cw,rotate_90_cw
a2f1da45,a3df8b1e.json,rotate_180,rotate_180
67a8423d,a416b8f3.json,rotate_180,rotate_180
7f9bb7ff,a48eeaf7.json,rotate_90_cw,rotate_90_cw
123ba31f,a5313dff.json,rotate_90_ccw,rotate_90_ccw
6c75bcb3,a5f85a15.json,rotate_90_cw,rotate_90_cw
c1d6a92f,a65b410d.json,rotate_90_ccw,rotate_90_ccw
9cb885a6,a68b268e.json,rotate_180,rotate_180
473142a6,a699fb00.json,rotate_180,rotate_180
d09b38c0,a740d043.json,rotate_180,rotate_180
b8a2a2ff,a79310a0.json,rotate_90_cw,rotate_90_cw
95e73708,a85d4709.json,rotate_180,rotate_180
6119ce0d,a87f7484.json,rotate_180,rotate_180
277223f1,a9f96cdd.json,rotate_90_cw,rotate_90_cw
e8f5b909,aabf363d.json,rotate_90_cw,rotate_90_cw
263f3e03,ac0a08a4.json,rotate_180,rotate_180
95bbcdfd,ae3edfdc.json,rotate_90_ccw,rotate_90_ccw
71de2313,ae4f1146.json,rotate_90_cw,rotate_90_cw
be398e7c,aedd82e4.json,rotate_180,rotate_180
26c236bf,b0c4d837.json,rotate_180,rotate_180
fbe1de41,b1948b0a.json,rotate_180,rotate_180
0345c497,b230c067.json,rotate_90_ccw,rotate_90_ccw
f9d611a2,b548a754.json,rotate_90_ccw,rotate_90_ccw
c2777032,b60334d2.json,rotate_90_ccw,rotate_90_ccw
abde731b,b6afb2da.json,rotate_90_cw,rotate_90_cw
51fb1910,b8825c91.json,rotate_90_cw,rotate_90_cw
dbf9463b,b8cdaf2b.json,rotate_90_ccw,rotate_90_ccw
7cb344fa,b91ae062.json,rotate_90_ccw,rotate_90_ccw
b70faf83,b94a9452.json,rotate_90_ccw,rotate_90_ccw
84e110a9,b9b7f026.json,rotate_90_ccw,rotate_90_ccw
d9f009f9,ba26e723.json,rotate_90_cw,rotate_90_cw
11e1baac,bb43febb.json,rotate_90_ccw,rotate_90_ccw
3ec35c98,bbc9ae5d.json,rotate_90_ccw,rotate_90_ccw
86cca9a4,bc1d5164.json,rotate_90_cw,rotate_90_cw
d50a6f8d,bd4472b8.json,rotate_90_cw,rotate_90_cw
20b14782,bda2d7a6.json,rotate_90_ccw,rotate_90_ccw
ea2e04a0,bdad9b1f.json,rotate_90_cw,rotate_90_cw
9827bfbe,be94b721.json,rotate_90_cw,rotate_90_cw
f1acd6b8,beb8660c.json,rotate_90_cw,rotate_90_cw
57e43151,c0f76784.json,rotate_90_cw,rotate_90_cw
9c58157c,c1d99e64.json,rotate_90_cw,rotate_90_cw
d50db1c5,c3e719e8.json,rotate_90_ccw,rotate_90_ccw
689e9d20,c3f564a4.json,rotate_90_ccw,rotate_90_ccw
cf9c6160,c59eb873.json,rotate_90_cw,rotate_90_cw
62689d91,c8f0f002.json,rotate_90_ccw,rotate_90_ccw
ef1a0e84,c9e6f938.json,rotate_90_ccw,rotate_90_ccw
33d55708,c9f8e694.json,rotate_180,rotate_180
187dee18,cbded52d.json,rotate_90_cw,rotate_90_cw
9189b098,cce03e0d.json,rotate_90_ccw,rotate_90_ccw
f5b0ff74,cdecee7f.json,rotate_90_cw,rotate_90_cw
b965e19e,ce22a75a.json,rotate_90_ccw,rotate_90_ccw
57dce4da,ce4f8723.json,rotate_90_cw,rotate_90_cw
df985d6b,ce9e57f2.json,rotate_180,rotate_180
3a2286db,cf98881b.json,rotate_180,rotate_180
c1c01c90,d037b0a7.json,rotate_180,rotate_180
9f637f81,d0f5fe59.json,rotate_180,rotate_180
2c4e4720,d10ecb37.json,rotate_180,rotate_180
52491077,d13f3404.json,rotate_180,rotate_180
67b92bc2,d23f8c26.json,rotate_90_ccw,rotate_90_ccw
44620949,d43fd935.json,rotate_90_cw,rotate_90_cw
22d03499,d4469b4b.json,rotate_90_ccw,rotate_90_ccw
bb1a16d1,d4a91cb9.json,rotate_180,rotate_180
1f65e5a1,d4f3cd78.json,rotate_90_cw,rotate_90_cw
66e04a5d,d511f180.json,rotate_90_cw,rotate_90_cw
b2f174e7,d5d6de2d.json,rotate_90_cw,rotate_90_cw
33816d02,d631b094.json,rotate_180,rotate_180
