New_Task_ID,Original_Task,Input_Transformation,Output_Transformation
0141dfb5,0d3d703e.json,rotate_90_cw,rotate_90_ccw
0314807c,bda2d7a6.json,rotate_90_cw,rotate_180
03759c0e,8be77c9e.json,rotate_90_cw,rotate_90_ccw
0386d5e8,85c4e7cd.json,rotate_90_ccw,rotate_180
072a3b15,694f12f3.json,rotate_180,rotate_90_ccw
073d827f,496994bd.json,rotate_180,rotate_90_ccw
08321e60,ef135b50.json,rotate_180,rotate_90_ccw
09ced63f,d4a91cb9.json,rotate_90_cw,rotate_90_ccw
0a55cb4a,31aa019c.json,rotate_90_cw,rotate_90_ccw
0a8a81c2,5c0a986e.json,rotate_90_ccw,rotate_90_cw
0afb8045,ce22a75a.json,rotate_180,rotate_90_ccw
1019c9b5,6b9890af.json,rotate_180,rotate_90_cw
10dbff0f,f9012d9b.json,rotate_90_ccw,rotate_90_cw
11b38d72,23581191.json,rotate_180,rotate_90_ccw
122d89df,6f8cd79b.json,rotate_180,rotate_90_ccw
12f3f7fd,63613498.json,rotate_90_ccw,rotate_90_cw
144bc2ce,75b8110e.json,rotate_180,rotate_90_cw
15c5c6b3,f1cefba8.json,rotate_90_ccw,rotate_90_cw
16b35ae4,8403a5d5.json,rotate_90_ccw,rotate_90_cw
18872b41,3befdf3e.json,rotate_180,rotate_90_ccw
18daa518,a85d4709.json,rotate_90_ccw,rotate_180
198e24f8,db3e9e38.json,rotate_90_cw,rotate_90_ccw
1b6912c6,d23f8c26.json,rotate_180,rotate_90_ccw
1d0d24b9,b9b7f026.json,rotate_90_ccw,rotate_90_cw
1d47c799,e48d4e1a.json,rotate_90_ccw,rotate_180
1dcc3a06,5ad4f10b.json,rotate_180,rotate_90_cw
1ee1cc30,4be741c5.json,rotate_90_ccw,rotate_180
22036409,8d510a79.json,rotate_180,rotate_90_cw
2239e243,6855a6e4.json,rotate_90_ccw,rotate_90_cw
22beac7e,952a094c.json,rotate_180,rotate_90_ccw
2333a7cd,007bbfb7.json,rotate_180,rotate_90_cw
25df60f1,6ecd11f4.json,rotate_90_cw,rotate_180
28a8bafa,d6ad076f.json,rotate_180,rotate_90_cw
2a1e195d,1190e5a7.json,rotate_90_cw,rotate_180
2aa3edcf,a48eeaf7.json,rotate_90_ccw,rotate_90_cw
2b517013,9565186b.json,rotate_90_ccw,rotate_180
2b726cab,c59eb873.json,rotate_90_ccw,rotate_180
2c6b6b2b,22168020.json,rotate_180,rotate_90_cw
2c95f4ac,7837ac64.json,rotate_90_ccw,rotate_180
2f185c13,b230c067.json,rotate_90_ccw+rotate_180,rotate_90_cw+rotate_180
2f59b327,ba97ae07.json,rotate_180+rotate_90_cw,rotate_90_ccw+rotate_90_cw
3018168b,2bcee788.json,rotate_90_cw,rotate_90_ccw
31f2517d,d5d6de2d.json,rotate_90_cw,rotate_90_ccw
329bb819,54d9e175.json,rotate_180,rotate_90_ccw
3306044d,3eda0437.json,rotate_180,rotate_90_cw
33eaf6d3,74dd1130.json,rotate_180,rotate_90_ccw
