Task,gemma-4-31b-it
3aa6fb7a.json,"0 0 0 0 0 8 8
8 8 0 0 0 1 8
8 1 0 0 0 0 0
0 0 0 8 1 0 0
0 0 0 8 8 0 0
1 8 0 0 0 0 0
8 8 0 0 0 0 0"
44d8ac46.json,"0 0 0 0 0 0 0 0 0 0 0 0
5 5 5 5 5 0 0 5 5 5 5 0
5 2 2 2 5 0 0 5 5 0 5 0
5 2 2 2 5 0 0 5 0 0 5 0
5 2 2 2 5 0 0 5 0 0 5 0
5 5 5 5 5 0 0 5 5 5 5 0
0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0
0 0 5 5 5 5 5 5 0 0 0 0
0 0 5 0 0 0 0 5 0 0 0 0
0 0 5 0 0 0 0 5 0 0 0 0
0 0 5 5 5 5 5 5 0 0 0 0"
44f52bb0.json,1
0a938d79.json,"0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0"
0b148d64.json,
00576224.json,"3 2 3 2 3 2
7 8 7 8 7 8
2 3 2 3 2 3
8 7 8 7 8 7
3 2 3 2 3 2
7 8 7 8 7 8"
0a1d4ef5.json,"2 3 3
4 7 1
1 3 7
4 6 2"
0b17323b.json,"1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
0bb8deee.json,"0 2 2 3 3 3
0 2 0 0 3 3
2 0 2 3 0 0
0 6 6 0 4 0
6 0 6 4 0 4
6 6 0 0 4 0"
0becf7df.json,"8 9 0 0 0 0 0 0 0 0
2 4 0 0 0 8 8 0 0 0
0 0 0 9 9 9 8 0 0 0
0 0 0 4 9 9 8 0 0 0
0 0 0 4 2 4 0 0 0 0
0 0 0 4 4 2 0 0 0 0
0 0 0 4 2 2 0 0 0 0
0 0 0 8 2 2 0 0 0 0
0 0 0 0 0 2 0 0 0 0
0 0 0 0 0 0 0 0 0 0"
