Task,gemma-4-31b-it
3aa6fb7a.json,"Total: 6719 (Prompt: 1527, Resposta: 918, Pensamento: 4274)"
44d8ac46.json,"Total: 11989 (Prompt: 3648, Resposta: 1105, Pensamento: 7236)"
44f52bb0.json,"Total: 7941 (Prompt: 1047, Resposta: 643, Pensamento: 6251)"
0a938d79.json,"Total: 14533 (Prompt: 5672, Resposta: 2307, Pensamento: 6554)"
0b148d64.json,"Total: 11673 (Prompt: 3459, Resposta: 50, Pensamento: 8164)"
00576224.json,"Total: 6234 (Prompt: 1237, Resposta: 932, Pensamento: 4065)"
0a1d4ef5.json,"Total: 15823 (Prompt: 8147, Resposta: 688, Pensamento: 6988)"
0b17323b.json,"Total: 8027 (Prompt: 3485, Resposta: 1467, Pensamento: 3075)"
0bb8deee.json,"Total: 9326 (Prompt: 2732, Resposta: 933, Pensamento: 5661)"
0becf7df.json,"Total: 10365 (Prompt: 2400, Resposta: 993, Pensamento: 6972)"
Tokens do Batch,"Total: 102630 (Prompt: 33354, Resposta: 10036, Pensamento: 59240)"
