Task,gemini-3.5-flash-lite
0424068e.json,"Total: 12.20s (Raciocínio: 11.08s, Formatação: 1.13s)"
03183f6c.json,"Total: 17.99s (Raciocínio: 16.14s, Formatação: 1.85s)"
00365435.json,"Total: 19.60s (Raciocínio: 18.61s, Formatação: 0.99s)"
0282cb69.json,"Total: 51.40s (Raciocínio: 3.74s, Formatação: 47.66s)"
05685e50.json,"Total: 24.51s (Raciocínio: 23.29s, Formatação: 1.23s)"
0432b0f5.json,"Total: 44.74s (Raciocínio: 29.35s, Formatação: 15.38s)"
04c6c782.json,"Total: 19.00s (Raciocínio: 16.72s, Formatação: 2.28s)"
05e33f10.json,"Total: 19.95s (Raciocínio: 18.58s, Formatação: 1.38s)"
07442552.json,"Total: 14.61s (Raciocínio: 13.36s, Formatação: 1.24s)"
0930abd3.json,"Total: 22.37s (Raciocínio: 21.08s, Formatação: 1.29s)"
0a1d99df.json,"Total: 16.73s (Raciocínio: 15.56s, Formatação: 1.17s)"
072e21f2.json,"Total: 67.79s (Raciocínio: 25.88s, Formatação: 41.91s)"
0a8bed1d.json,"Total: 12.92s (Raciocínio: 6.96s, Formatação: 5.96s)"
0a371909.json,"Total: 22.31s (Raciocínio: 18.74s, Formatação: 3.57s)"
0b8330e5.json,"Total: 17.65s (Raciocínio: 16.55s, Formatação: 1.10s)"
0d04cd07.json,"Total: 5.97s (Raciocínio: 5.16s, Formatação: 0.81s)"
0b89ad32.json,"Total: 31.35s (Raciocínio: 30.41s, Formatação: 0.94s)"
0cfdfac6.json,"Total: 22.88s (Raciocínio: 21.62s, Formatação: 1.25s)"
10daf7f9.json,"Total: 14.70s (Raciocínio: 13.35s, Formatação: 1.34s)"
0f3001ec.json,"Total: 40.99s (Raciocínio: 39.29s, Formatação: 1.70s)"
0e6078f0.json,"Total: 46.99s (Raciocínio: 45.08s, Formatação: 1.91s)"
0e03c37a.json,"Total: 86.14s (Raciocínio: 85.24s, Formatação: 0.90s)"
111016a2.json,"Total: 13.52s (Raciocínio: 12.65s, Formatação: 0.87s)"
12cc680a.json,"Total: 10.21s (Raciocínio: 9.30s, Formatação: 0.91s)"
12d9ac67.json,"Total: 11.48s (Raciocínio: 10.55s, Formatação: 0.93s)"
191c590b.json,"Total: 16.62s (Raciocínio: 6.94s, Formatação: 9.68s)"
15c75f13.json,"Total: 18.62s (Raciocínio: 17.01s, Formatação: 1.61s)"
1a300bc8.json,"Total: 31.31s (Raciocínio: 29.91s, Formatação: 1.40s)"
1abad104.json,"Total: 71.92s (Raciocínio: 70.71s, Formatação: 1.21s)"
20e7fe9d.json,"Total: 46.66s (Raciocínio: 45.00s, Formatação: 1.66s)"
218beea3.json,"Total: 48.40s (Raciocínio: 45.19s, Formatação: 3.21s)"
1d5c796e.json,"Total: 90.94s (Raciocínio: 29.73s, Formatação: 61.21s)"
2197502b.json,"Total: 32.54s (Raciocínio: 21.72s, Formatação: 10.82s)"
2315ec7c.json,"Total: 24.72s (Raciocínio: 16.11s, Formatação: 8.61s)"
225265fb.json,"Total: 57.76s (Raciocínio: 34.76s, Formatação: 23.00s)"
26362a51.json,"Total: 18.57s (Raciocínio: 16.86s, Formatação: 1.70s)"
2719e5a8.json,"Total: 22.34s (Raciocínio: 11.93s, Formatação: 10.41s)"
2795eee7.json,"Total: 33.87s (Raciocínio: 31.84s, Formatação: 2.04s)"
2832ebe3.json,"Total: 35.14s (Raciocínio: 27.64s, Formatação: 7.50s)"
24b21e60.json,"Total: 41.58s (Raciocínio: 40.47s, Formatação: 1.11s)"
28585c8d.json,"Total: 29.70s (Raciocínio: 27.18s, Formatação: 2.52s)"
29165078.json,"Total: 27.35s (Raciocínio: 26.46s, Formatação: 0.90s)"
2a419abc.json,"Total: 20.50s (Raciocínio: 19.24s, Formatação: 1.26s)"
2b07d7d5.json,"Total: 17.42s (Raciocínio: 16.14s, Formatação: 1.29s)"
2cc89b42.json,"Total: 18.10s (Raciocínio: 17.06s, Formatação: 1.04s)"
2a9b1d87.json,"Total: 57.04s (Raciocínio: 41.55s, Formatação: 15.49s)"
2cd25e92.json,"Total: 35.51s (Raciocínio: 33.64s, Formatação: 1.86s)"
2dd14567.json,"Total: 18.76s (Raciocínio: 17.34s, Formatação: 1.42s)"
2e7f6630.json,"Total: 5.51s (Raciocínio: 4.63s, Formatação: 0.87s)"
301fcb2e.json,"Total: 5.08s (Raciocínio: 4.22s, Formatação: 0.86s)"
2ed81a5e.json,"Total: 5.79s (Raciocínio: 4.79s, Formatação: 1.00s)"
310d1637.json,"Total: 23.42s (Raciocínio: 19.45s, Formatação: 3.97s)"
3174ac16.json,"Total: 13.27s (Raciocínio: 11.74s, Formatação: 1.52s)"
3322e9d3.json,"Total: 30.87s (Raciocínio: 29.54s, Formatação: 1.33s)"
34bf06e5.json,"Total: 42.89s (Raciocínio: 32.56s, Formatação: 10.33s)"
318f9913.json,"Total: 68.89s (Raciocínio: 45.01s, Formatação: 23.88s)"
34619114.json,"Total: 76.70s (Raciocínio: 69.73s, Formatação: 6.97s)"
38c8d6ad.json,"Total: 29.12s (Raciocínio: 27.90s, Formatação: 1.22s)"
393885f8.json,"Total: 9.99s (Raciocínio: 9.07s, Formatação: 0.93s)"
3a11c6a5.json,"Total: 13.77s (Raciocínio: 12.21s, Formatação: 1.56s)"
3b204477.json,"Total: 28.72s (Raciocínio: 18.81s, Formatação: 9.92s)"
3bd134f6.json,"Total: 41.67s (Raciocínio: 31.46s, Formatação: 10.21s)"
3f2b8510.json,"Total: 17.67s (Raciocínio: 15.52s, Formatação: 2.15s)"
3a843f91.json,"Total: 31.50s (Raciocínio: 28.89s, Formatação: 2.61s)"
3e422e88.json,"Total: 75.95s (Raciocínio: 60.60s, Formatação: 15.35s)"
3f7aabe2.json,"Total: 29.34s (Raciocínio: 28.50s, Formatação: 0.84s)"
41fa5b1d.json,"Total: 21.13s (Raciocínio: 20.22s, Formatação: 0.91s)"
40c9ecf0.json,"Total: 37.25s (Raciocínio: 36.02s, Formatação: 1.23s)"
4230a72c.json,"Total: 30.60s (Raciocínio: 29.10s, Formatação: 1.50s)"
424585f8.json,"Total: 29.87s (Raciocínio: 28.48s, Formatação: 1.39s)"
42a7fe2e.json,"Total: 35.78s (Raciocínio: 34.46s, Formatação: 1.32s)"
42f0b6f7.json,"Total: 39.97s (Raciocínio: 14.02s, Formatação: 25.95s)"
4669e4ba.json,"Total: 27.55s (Raciocínio: 17.69s, Formatação: 9.85s)"
45a83e53.json,"Total: 53.79s (Raciocínio: 13.15s, Formatação: 40.64s)"
4833c4e1.json,"Total: 23.73s (Raciocínio: 22.49s, Formatação: 1.24s)"
4719ac67.json,"Total: 49.05s (Raciocínio: 47.41s, Formatação: 1.64s)"
48af298a.json,"Total: 48.60s (Raciocínio: 21.74s, Formatação: 26.86s)"
4bc5baf5.json,"Total: 8.00s (Raciocínio: 6.60s, Formatação: 1.39s)"
4e2f010d.json,"Total: 16.95s (Raciocínio: 13.52s, Formatação: 3.43s)"
4c6f9b55.json,"Total: 24.67s (Raciocínio: 21.73s, Formatação: 2.95s)"
4c3a472b.json,"Total: 49.47s (Raciocínio: 47.52s, Formatação: 1.95s)"
4e6364d1.json,"Total: 7.55s (Raciocínio: 5.31s, Formatação: 2.24s)"
521a4477.json,"Total: 25.92s (Raciocínio: 24.52s, Formatação: 1.40s)"
4adcc22d.json,"Total: 46.11s (Raciocínio: 43.32s, Formatação: 2.80s)"
4ea4b8ff.json,"Total: 62.18s (Raciocínio: 53.51s, Formatação: 8.66s)"
52212bb2.json,"Total: 32.90s (Raciocínio: 30.35s, Formatação: 2.55s)"
541be026.json,"Total: 37.85s (Raciocínio: 35.92s, Formatação: 1.94s)"
56c927f7.json,"Total: 12.48s (Raciocínio: 10.83s, Formatação: 1.65s)"
55fb1557.json,"Total: 22.97s (Raciocínio: 21.76s, Formatação: 1.22s)"
57521aca.json,"Total: 30.58s (Raciocínio: 29.03s, Formatação: 1.56s)"
584465a9.json,"Total: 9.72s (Raciocínio: 8.57s, Formatação: 1.14s)"
59d0f2f0.json,"Total: 12.63s (Raciocínio: 11.48s, Formatação: 1.15s)"
5b6b1e72.json,"Total: 11.95s (Raciocínio: 10.91s, Formatação: 1.04s)"
5d69b751.json,"Total: 19.15s (Raciocínio: 16.51s, Formatação: 2.63s)"
5f10ae49.json,"Total: 30.71s (Raciocínio: 28.62s, Formatação: 2.10s)"
5e202ab1.json,"Total: 52.04s (Raciocínio: 38.84s, Formatação: 13.19s)"
5e8a0695.json,"Total: 50.30s (Raciocínio: 49.09s, Formatação: 1.21s)"
617034b5.json,"Total: 54.34s (Raciocínio: 53.43s, Formatação: 0.91s)"
61e15924.json,"Total: 32.55s (Raciocínio: 31.51s, Formatação: 1.05s)"
67ade9e1.json,"Total: 25.27s (Raciocínio: 24.17s, Formatação: 1.10s)"
652f5539.json,"Total: 84.82s (Raciocínio: 82.85s, Formatação: 1.96s)"
62ad9952.json,"Total: 113.83s (Raciocínio: 109.09s, Formatação: 4.74s)"
690f6d4a.json,"Total: 5.65s (Raciocínio: 3.95s, Formatação: 1.70s)"
68518f4a.json,"Total: 25.95s (Raciocínio: 24.78s, Formatação: 1.17s)"
6710943e.json,"Total: 109.93s (Raciocínio: 90.50s, Formatação: 19.42s)"
6aadaabe.json,"Total: 17.58s (Raciocínio: 15.16s, Formatação: 2.41s)"
694ac913.json,"Total: 45.03s (Raciocínio: 43.74s, Formatação: 1.28s)"
6b3636c4.json,"Total: 35.28s (Raciocínio: 30.10s, Formatação: 5.18s)"
6f6b5677.json,"Total: 24.77s (Raciocínio: 22.98s, Formatação: 1.79s)"
71bc4bc6.json,"Total: 84.86s (Raciocínio: 82.80s, Formatação: 2.06s)"
718cff0d.json,"Total: 96.13s (Raciocínio: 94.38s, Formatação: 1.75s)"
723bd1e2.json,"Total: 74.98s (Raciocínio: 63.17s, Formatação: 11.80s)"
7333223b.json,"Total: 10.58s (Raciocínio: 9.61s, Formatação: 0.97s)"
73409b69.json,"Total: 19.53s (Raciocínio: 18.46s, Formatação: 1.07s)"
6d85c408.json,"Total: 73.64s (Raciocínio: 70.90s, Formatação: 2.74s)"
