Task,gemini-3.5-flash-lite
0424068e.json,"Total: 5650 (Prompt: 1219, Resposta: 616, Pensamento: 3815)"
03183f6c.json,"Total: 9807 (Prompt: 2671, Resposta: 1046, Pensamento: 6090)"
00365435.json,"Total: 9422 (Prompt: 2310, Resposta: 306, Pensamento: 6806)"
0282cb69.json,"Total: 2084 (Prompt: 699, Resposta: 390, Pensamento: 995)"
05685e50.json,"Total: 11019 (Prompt: 2218, Resposta: 502, Pensamento: 8299)"
0432b0f5.json,"Total: 12442 (Prompt: 1087, Resposta: 651, Pensamento: 10704)"
04c6c782.json,"Total: 12632 (Prompt: 4706, Resposta: 1418, Pensamento: 6508)"
05e33f10.json,"Total: 9663 (Prompt: 2327, Resposta: 887, Pensamento: 6449)"
07442552.json,"Total: 7618 (Prompt: 2382, Resposta: 944, Pensamento: 4292)"
0930abd3.json,"Total: 10863 (Prompt: 1700, Resposta: 672, Pensamento: 8491)"
0a1d99df.json,"Total: 9949 (Prompt: 3441, Resposta: 514, Pensamento: 5994)"
072e21f2.json,"Total: 12531 (Prompt: 2099, Resposta: 916, Pensamento: 9516)"
0a8bed1d.json,"Total: 3477 (Prompt: 952, Resposta: 430, Pensamento: 2095)"
0a371909.json,"Total: 8795 (Prompt: 1468, Resposta: 246, Pensamento: 7081)"
0b8330e5.json,"Total: 6885 (Prompt: 1026, Resposta: 564, Pensamento: 5295)"
0d04cd07.json,"Total: 2887 (Prompt: 833, Resposta: 182, Pensamento: 1872)"
0b89ad32.json,"Total: 12902 (Prompt: 814, Resposta: 418, Pensamento: 11670)"
0cfdfac6.json,"Total: 11337 (Prompt: 1908, Resposta: 829, Pensamento: 8600)"
10daf7f9.json,"Total: 7918 (Prompt: 2042, Resposta: 1111, Pensamento: 4765)"
0f3001ec.json,"Total: 18211 (Prompt: 2840, Resposta: 1057, Pensamento: 14314)"
0e6078f0.json,"Total: 17124 (Prompt: 3323, Resposta: 1309, Pensamento: 12492)"
0e03c37a.json,"Total: 4238 (Prompt: 873, Resposta: 424, Pensamento: 2941)"
111016a2.json,"Total: 7354 (Prompt: 2465, Resposta: 349, Pensamento: 4540)"
12cc680a.json,"Total: 4990 (Prompt: 1942, Resposta: 420, Pensamento: 2628)"
12d9ac67.json,"Total: 4910 (Prompt: 948, Resposta: 407, Pensamento: 3555)"
191c590b.json,"Total: 3106 (Prompt: 633, Resposta: 335, Pensamento: 2138)"
15c75f13.json,"Total: 7448 (Prompt: 1222, Resposta: 611, Pensamento: 5615)"
1a300bc8.json,"Total: 14566 (Prompt: 3256, Resposta: 906, Pensamento: 10404)"
1abad104.json,"Total: 4998 (Prompt: 767, Resposta: 370, Pensamento: 3861)"
20e7fe9d.json,"Total: 18371 (Prompt: 2240, Resposta: 813, Pensamento: 15318)"
218beea3.json,"Total: 21134 (Prompt: 4534, Resposta: 876, Pensamento: 15724)"
1d5c796e.json,"Total: 10782 (Prompt: 1295, Resposta: 519, Pensamento: 8968)"
2197502b.json,"Total: 10033 (Prompt: 1924, Resposta: 937, Pensamento: 7172)"
2315ec7c.json,"Total: 7524 (Prompt: 2182, Resposta: 883, Pensamento: 4459)"
225265fb.json,"Total: 14461 (Prompt: 1786, Resposta: 769, Pensamento: 11906)"
26362a51.json,"Total: 3761 (Prompt: 782, Resposta: 411, Pensamento: 2568)"
2719e5a8.json,"Total: 5963 (Prompt: 2122, Resposta: 588, Pensamento: 3253)"
2795eee7.json,"Total: 16908 (Prompt: 5152, Resposta: 1717, Pensamento: 10039)"
2832ebe3.json,"Total: 13857 (Prompt: 2351, Resposta: 919, Pensamento: 10587)"
24b21e60.json,"Total: 18405 (Prompt: 1892, Resposta: 786, Pensamento: 15727)"
28585c8d.json,"Total: 12456 (Prompt: 1504, Resposta: 647, Pensamento: 10305)"
29165078.json,"Total: 13768 (Prompt: 3480, Resposta: 280, Pensamento: 10008)"
2a419abc.json,"Total: 9999 (Prompt: 2146, Resposta: 725, Pensamento: 7128)"
2b07d7d5.json,"Total: 7824 (Prompt: 1703, Resposta: 691, Pensamento: 5430)"
2cc89b42.json,"Total: 7444 (Prompt: 1030, Resposta: 624, Pensamento: 5790)"
2a9b1d87.json,"Total: 17644 (Prompt: 1195, Resposta: 721, Pensamento: 15728)"
2cd25e92.json,"Total: 13869 (Prompt: 1607, Resposta: 943, Pensamento: 11319)"
2dd14567.json,"Total: 9206 (Prompt: 2168, Resposta: 725, Pensamento: 6313)"
2e7f6630.json,"Total: 2512 (Prompt: 698, Resposta: 360, Pensamento: 1454)"
301fcb2e.json,"Total: 2557 (Prompt: 928, Resposta: 501, Pensamento: 1128)"
2ed81a5e.json,"Total: 2694 (Prompt: 683, Resposta: 275, Pensamento: 1736)"
310d1637.json,"Total: 9206 (Prompt: 1768, Resposta: 759, Pensamento: 6679)"
3174ac16.json,"Total: 7549 (Prompt: 2612, Resposta: 679, Pensamento: 4258)"
3322e9d3.json,"Total: 6123 (Prompt: 2295, Resposta: 939, Pensamento: 2889)"
34bf06e5.json,"Total: 14651 (Prompt: 1952, Resposta: 850, Pensamento: 11849)"
318f9913.json,"Total: 17606 (Prompt: 1311, Resposta: 568, Pensamento: 15727)"
34619114.json,"Total: 8397 (Prompt: 2558, Resposta: 736, Pensamento: 5103)"
38c8d6ad.json,"Total: 8398 (Prompt: 2211, Resposta: 804, Pensamento: 5383)"
393885f8.json,"Total: 5002 (Prompt: 998, Resposta: 462, Pensamento: 3542)"
3a11c6a5.json,"Total: 7465 (Prompt: 2468, Resposta: 1097, Pensamento: 3900)"
3b204477.json,"Total: 8901 (Prompt: 1692, Resposta: 453, Pensamento: 6756)"
