Task,gemini-3.5-flash-lite
0098233f.json,"Total: 25.54s (Raciocínio: 23.95s, Formatação: 1.59s)"
00c7c37a.json,"Total: 35.19s (Raciocínio: 24.76s, Formatação: 10.42s)"
004af2fa.json,"Total: 45.93s (Raciocínio: 43.95s, Formatação: 1.97s)"
00bc88e0.json,"Total: 59.45s (Raciocínio: 45.99s, Formatação: 13.45s)"
01368aab.json,"Total: 17.30s (Raciocínio: 16.39s, Formatação: 0.91s)"
011f47cc.json,"Total: 59.81s (Raciocínio: 40.18s, Formatação: 19.63s)"
0125bc41.json,"Total: 68.06s (Raciocínio: 41.98s, Formatação: 26.08s)"
01609041.json,"Total: 46.99s (Raciocínio: 46.02s, Formatação: 0.97s)"
02c6b78a.json,"Total: 58.37s (Raciocínio: 57.10s, Formatação: 1.27s)"
034615a2.json,"Total: 41.87s (Raciocínio: 40.74s, Formatação: 1.13s)"
037a41e8.json,"Total: 42.66s (Raciocínio: 41.57s, Formatação: 1.08s)"
04ac5bfb.json,"Total: 44.40s (Raciocínio: 43.16s, Formatação: 1.24s)"
076f573b.json,"Total: 4.74s (Raciocínio: 3.78s, Formatação: 0.96s)"
05625edb.json,"Total: 44.26s (Raciocínio: 43.20s, Formatação: 1.06s)"
05e9e5b3.json,"Total: 47.81s (Raciocínio: 46.48s, Formatação: 1.33s)"
06783b5d.json,"Total: 32.44s (Raciocínio: 31.34s, Formatação: 1.10s)"
08170471.json,"Total: 32.29s (Raciocínio: 31.23s, Formatação: 1.06s)"
089d8654.json,"Total: 45.02s (Raciocínio: 44.19s, Formatação: 0.83s)"
08f59335.json,"Total: 42.72s (Raciocínio: 41.45s, Formatação: 1.27s)"
095559ec.json,"Total: 44.64s (Raciocínio: 43.29s, Formatação: 1.35s)"
09eaa19f.json,"Total: 41.51s (Raciocínio: 40.63s, Formatação: 0.87s)"
0a807bfc.json,"Total: 42.64s (Raciocínio: 41.23s, Formatação: 1.41s)"
0b02ac10.json,"Total: 44.80s (Raciocínio: 43.75s, Formatação: 1.05s)"
0b3c1e35.json,"Total: 40.84s (Raciocínio: 39.70s, Formatação: 1.14s)"
0cab137b.json,"Total: 11.52s (Raciocínio: 10.64s, Formatação: 0.89s)"
0cc55642.json,"Total: 51.75s (Raciocínio: 39.00s, Formatação: 12.75s)"
0b93fe50.json,"Total: 46.18s (Raciocínio: 45.17s, Formatação: 1.01s)"
0bcd6369.json,"Total: 30.53s (Raciocínio: 29.56s, Formatação: 0.97s)"
0cb38b2a.json,"Total: 20.83s (Raciocínio: 19.58s, Formatação: 1.26s)"
0d1298d6.json,"Total: 51.30s (Raciocínio: 49.26s, Formatação: 2.04s)"
0e6d50b3.json,"Total: 46.25s (Raciocínio: 44.86s, Formatação: 1.40s)"
