Task,gemini-3.5-flash-lite
0098233f.json,"Total: 12783 (Prompt: 2932, Resposta: 993, Pensamento: 8858)"
00c7c37a.json,"Total: 10880 (Prompt: 1289, Resposta: 760, Pensamento: 8831)"
004af2fa.json,"Total: 21462 (Prompt: 4514, Resposta: 1220, Pensamento: 15728)"
00bc88e0.json,"Total: 18860 (Prompt: 2214, Resposta: 934, Pensamento: 15712)"
01368aab.json,"Total: 6391 (Prompt: 710, Resposta: 359, Pensamento: 5322)"
011f47cc.json,"Total: 16033 (Prompt: 1598, Resposta: 665, Pensamento: 13770)"
0125bc41.json,"Total: 17876 (Prompt: 1433, Resposta: 718, Pensamento: 15725)"
01609041.json,"Total: 18136 (Prompt: 1701, Resposta: 706, Pensamento: 15729)"
02c6b78a.json,"Total: 16722 (Prompt: 1316, Resposta: 719, Pensamento: 14687)"
034615a2.json,"Total: 18853 (Prompt: 2374, Resposta: 750, Pensamento: 15729)"
037a41e8.json,"Total: 17604 (Prompt: 1270, Resposta: 607, Pensamento: 15727)"
04ac5bfb.json,"Total: 18680 (Prompt: 2102, Resposta: 853, Pensamento: 15725)"
076f573b.json,"Total: 2182 (Prompt: 726, Resposta: 278, Pensamento: 1178)"
05625edb.json,"Total: 18047 (Prompt: 1517, Resposta: 801, Pensamento: 15729)"
05e9e5b3.json,"Total: 18774 (Prompt: 2182, Resposta: 865, Pensamento: 15727)"
06783b5d.json,"Total: 12191 (Prompt: 1110, Resposta: 625, Pensamento: 10456)"
08170471.json,"Total: 13906 (Prompt: 1218, Resposta: 635, Pensamento: 12053)"
089d8654.json,"Total: 17447 (Prompt: 1572, Resposta: 149, Pensamento: 15726)"
08f59335.json,"Total: 18561 (Prompt: 1918, Resposta: 914, Pensamento: 15729)"
095559ec.json,"Total: 18989 (Prompt: 2332, Resposta: 930, Pensamento: 15727)"
09eaa19f.json,"Total: 17180 (Prompt: 934, Resposta: 517, Pensamento: 15729)"
0a807bfc.json,"Total: 18967 (Prompt: 2333, Resposta: 908, Pensamento: 15726)"
0b02ac10.json,"Total: 17821 (Prompt: 1490, Resposta: 605, Pensamento: 15726)"
0b3c1e35.json,"Total: 18806 (Prompt: 2249, Resposta: 828, Pensamento: 15729)"
0cab137b.json,"Total: 6250 (Prompt: 2353, Resposta: 237, Pensamento: 3660)"
0cc55642.json,"Total: 0 (Prompt: 0, Resposta: 0, Pensamento: 0)"
0b93fe50.json,"Total: 17371 (Prompt: 1030, Resposta: 617, Pensamento: 15724)"
0bcd6369.json,"Total: 12561 (Prompt: 1010, Resposta: 349, Pensamento: 11202)"
0cb38b2a.json,"Total: 9459 (Prompt: 1781, Resposta: 753, Pensamento: 6925)"
0d1298d6.json,"Total: 0 (Prompt: 0, Resposta: 0, Pensamento: 0)"
0e6d50b3.json,"Total: 0 (Prompt: 0, Resposta: 0, Pensamento: 0)"
0eb6e670.json,"Total: 0 (Prompt: 0, Resposta: 0, Pensamento: 0)"
