Task,gemini-3.5-flash-lite
0116d3c1.json,"Total: 7.84s (Raciocínio: 4.86s, Formatação: 2.98s)"
045e133c.json,"Total: 27.79s (Raciocínio: 26.57s, Formatação: 1.23s)"
02834e2f.json,"Total: 11.68s (Raciocínio: 10.94s, Formatação: 0.74s)"
04067399.json,"Total: 35.15s (Raciocínio: 33.87s, Formatação: 1.28s)"
04e34e19.json,"Total: 23.98s (Raciocínio: 22.65s, Formatação: 1.33s)"
05650ed9.json,"Total: 13.18s (Raciocínio: 11.14s, Formatação: 2.04s)"
04e656f5.json,"Total: 45.00s (Raciocínio: 43.12s, Formatação: 1.88s)"
06dc0331.json,"Total: 29.82s (Raciocínio: 28.47s, Formatação: 1.35s)"
09e07b65.json,"Total: 11.62s (Raciocínio: 10.70s, Formatação: 0.92s)"
0904be99.json,"Total: 22.59s (Raciocínio: 20.15s, Formatação: 2.44s)"
0bd9f1d0.json,"Total: 10.26s (Raciocínio: 9.15s, Formatação: 1.11s)"
0a981f14.json,"Total: 24.88s (Raciocínio: 23.75s, Formatação: 1.13s)"
0dba2882.json,"Total: 43.21s (Raciocínio: 41.72s, Formatação: 1.50s)"
0c983780.json,"Total: 86.93s (Raciocínio: 41.59s, Formatação: 45.34s)"
0d3c0c49.json,"Total: 56.97s (Raciocínio: 55.15s, Formatação: 1.82s)"
0c0bd8b4.json,"Total: 95.68s (Raciocínio: 51.26s, Formatação: 44.42s)"
0eede98b.json,"Total: 30.56s (Raciocínio: 29.67s, Formatação: 0.89s)"
103797d9.json,"Total: 53.14s (Raciocínio: 5.74s, Formatação: 47.40s)"
0e368572.json,"Total: 80.32s (Raciocínio: 79.29s, Formatação: 1.03s)"
125edfe2.json,"Total: 48.76s (Raciocínio: 16.43s, Formatação: 32.33s)"
14143353.json,"Total: 22.50s (Raciocínio: 21.31s, Formatação: 1.19s)"
10187f18.json,"Total: 127.78s (Raciocínio: 102.45s, Formatação: 25.33s)"
16f28a3b.json,"Total: 30.08s (Raciocínio: 12.04s, Formatação: 18.04s)"
19e94f32.json,"Total: 34.69s (Raciocínio: 33.54s, Formatação: 1.16s)"
16fb18ab.json,"Total: 38.15s (Raciocínio: 37.17s, Formatação: 0.98s)"
