Task,gemini-3.5-flash-lite
0116d3c1.json,"Total: 2608 (Prompt: 848, Resposta: 333, Pensamento: 1427)"
045e133c.json,"Total: 12063 (Prompt: 2113, Resposta: 698, Pensamento: 9252)"
02834e2f.json,"Total: 5675 (Prompt: 1711, Resposta: 315, Pensamento: 3649)"
04067399.json,"Total: 13731 (Prompt: 1392, Resposta: 505, Pensamento: 11834)"
04e34e19.json,"Total: 8303 (Prompt: 1771, Resposta: 760, Pensamento: 5772)"
05650ed9.json,"Total: 7768 (Prompt: 3558, Resposta: 551, Pensamento: 3659)"
04e656f5.json,"Total: 18588 (Prompt: 2122, Resposta: 740, Pensamento: 15726)"
06dc0331.json,"Total: 11671 (Prompt: 1345, Resposta: 732, Pensamento: 9594)"
09e07b65.json,"Total: 5240 (Prompt: 1690, Resposta: 278, Pensamento: 3272)"
0904be99.json,"Total: 13327 (Prompt: 4792, Resposta: 2171, Pensamento: 6364)"
0bd9f1d0.json,"Total: 5075 (Prompt: 2101, Resposta: 578, Pensamento: 2396)"
0a981f14.json,"Total: 10953 (Prompt: 2627, Resposta: 595, Pensamento: 7731)"
0dba2882.json,"Total: 3425 (Prompt: 944, Resposta: 410, Pensamento: 2071)"
0c983780.json,"Total: 20936 (Prompt: 4519, Resposta: 693, Pensamento: 15724)"
0d3c0c49.json,"Total: 14091 (Prompt: 4254, Resposta: 1327, Pensamento: 8510)"
0c0bd8b4.json,"Total: 18400 (Prompt: 1952, Resposta: 719, Pensamento: 15729)"
0eede98b.json,"Total: 14698 (Prompt: 4282, Resposta: 387, Pensamento: 10029)"
103797d9.json,"Total: 2882 (Prompt: 713, Resposta: 369, Pensamento: 1800)"
0e368572.json,"Total: 8627 (Prompt: 1291, Resposta: 569, Pensamento: 6767)"
125edfe2.json,"Total: 7500 (Prompt: 1935, Resposta: 316, Pensamento: 5249)"
14143353.json,"Total: 9719 (Prompt: 1555, Resposta: 698, Pensamento: 7466)"
10187f18.json,"Total: 17863 (Prompt: 4510, Resposta: 1255, Pensamento: 12098)"
16f28a3b.json,"Total: 6487 (Prompt: 1933, Resposta: 923, Pensamento: 3631)"
19e94f32.json,"Total: 9078 (Prompt: 1044, Resposta: 488, Pensamento: 7546)"
16fb18ab.json,"Total: 15554 (Prompt: 1659, Resposta: 618, Pensamento: 13277)"
1a74a195.json,"Total: 10336 (Prompt: 2679, Resposta: 1050, Pensamento: 6607)"
1ae63fb9.json,"Total: 14092 (Prompt: 1245, Resposta: 478, Pensamento: 12369)"
1b1095a8.json,"Total: 5556 (Prompt: 1328, Resposta: 595, Pensamento: 3633)"
1c0a270d.json,"Total: 5071 (Prompt: 951, Resposta: 478, Pensamento: 3642)"
1c76d410.json,"Total: 8971 (Prompt: 1788, Resposta: 832, Pensamento: 6351)"
1b40be75.json,"Total: 18967 (Prompt: 2334, Resposta: 908, Pensamento: 15725)"
1e8ee3d6.json,"Total: 2090 (Prompt: 648, Resposta: 262, Pensamento: 1180)"
1c7bda91.json,"Total: 2664 (Prompt: 719, Resposta: 302, Pensamento: 1643)"
1ff5d68e.json,"Total: 5634 (Prompt: 1695, Resposta: 327, Pensamento: 3612)"
2089f173.json,"Total: 11151 (Prompt: 1494, Resposta: 827, Pensamento: 8830)"
2247228c.json,"Total: 8032 (Prompt: 1613, Resposta: 744, Pensamento: 5675)"
23308f51.json,"Total: 21924 (Prompt: 5100, Resposta: 1456, Pensamento: 15368)"
236e8d41.json,"Total: 11867 (Prompt: 5194, Resposta: 1464, Pensamento: 5209)"
24bef2c2.json,"Total: 20698 (Prompt: 4304, Resposta: 670, Pensamento: 15724)"
251c0037.json,"Total: 10718 (Prompt: 1559, Resposta: 541, Pensamento: 8618)"
251810be.json,"Total: 21217 (Prompt: 5652, Resposta: 1314, Pensamento: 14251)"
25d3373d.json,"Total: 3124 (Prompt: 879, Resposta: 230, Pensamento: 2015)"
253aa45d.json,"Total: 8996 (Prompt: 1265, Resposta: 688, Pensamento: 7043)"
2765ffdf.json,"Total: 2924 (Prompt: 1193, Resposta: 565, Pensamento: 1166)"
277c93c2.json,"Total: 5417 (Prompt: 1301, Resposta: 250, Pensamento: 3866)"
2744ce4d.json,"Total: 17752 (Prompt: 2225, Resposta: 786, Pensamento: 14741)"
2a3ea837.json,"Total: 10968 (Prompt: 2565, Resposta: 976, Pensamento: 7427)"
2ac102d1.json,"Total: 1992 (Prompt: 685, Resposta: 233, Pensamento: 1074)"
279778ba.json,"Total: 9804 (Prompt: 2585, Resposta: 975, Pensamento: 6244)"
297f3784.json,"Total: 11804 (Prompt: 2240, Resposta: 820, Pensamento: 8744)"
2dbb265d.json,"Total: 16147 (Prompt: 3815, Resposta: 799, Pensamento: 11533)"
2ed2b4e6.json,"Total: 19564 (Prompt: 3086, Resposta: 749, Pensamento: 15729)"
2a117f56.json,"Total: 8181 (Prompt: 1559, Resposta: 332, Pensamento: 6290)"
308a2424.json,"Total: 23547 (Prompt: 7104, Resposta: 715, Pensamento: 15728)"
30c34ffd.json,"Total: 2903 (Prompt: 1107, Resposta: 464, Pensamento: 1332)"
2d17a4a0.json,"Total: 3704 (Prompt: 813, Resposta: 397, Pensamento: 2494)"
32cdba4a.json,"Total: 14581 (Prompt: 1091, Resposta: 435, Pensamento: 13055)"
32d2e658.json,"Total: 6996 (Prompt: 2435, Resposta: 368, Pensamento: 4193)"
33332f29.json,"Total: 11215 (Prompt: 3584, Resposta: 385, Pensamento: 7246)"
352947b3.json,"Total: 6621 (Prompt: 1135, Resposta: 449, Pensamento: 5037)"
394a0756.json,"Total: 10306 (Prompt: 3223, Resposta: 1055, Pensamento: 6028)"
3a2975f5.json,"Total: 10805 (Prompt: 2284, Resposta: 842, Pensamento: 7679)"
32e07bbb.json,"Total: 15478 (Prompt: 1024, Resposta: 610, Pensamento: 13844)"
3b036b2b.json,"Total: 5855 (Prompt: 1982, Resposta: 477, Pensamento: 3396)"
3bae05d5.json,"Total: 8677 (Prompt: 2613, Resposta: 778, Pensamento: 5286)"
3bb0981f.json,"Total: 9486 (Prompt: 3643, Resposta: 944, Pensamento: 4899)"
3c33d9aa.json,"Total: 10693 (Prompt: 1339, Resposta: 783, Pensamento: 8571)"
3ce8e416.json,"Total: 11866 (Prompt: 2586, Resposta: 1136, Pensamento: 8144)"
3df0049f.json,"Total: 10010 (Prompt: 3383, Resposta: 455, Pensamento: 6172)"
3e4e51fb.json,"Total: 8205 (Prompt: 1966, Resposta: 1021, Pensamento: 5218)"
3e562f0e.json,"Total: 8548 (Prompt: 3445, Resposta: 1340, Pensamento: 3763)"
3fa44027.json,"Total: 21808 (Prompt: 5773, Resposta: 2936, Pensamento: 13099)"
41415157.json,"Total: 10015 (Prompt: 1036, Resposta: 619, Pensamento: 8360)"
410a3da9.json,"Total: 18556 (Prompt: 1984, Resposta: 848, Pensamento: 15724)"
42399cfb.json,"Total: 3548 (Prompt: 746, Resposta: 380, Pensamento: 2422)"
3f8d5042.json,"Total: 17534 (Prompt: 1107, Resposta: 702, Pensamento: 15725)"
43fe9187.json,"Total: 7547 (Prompt: 1471, Resposta: 617, Pensamento: 5459)"
42659e50.json,"Total: 11563 (Prompt: 2552, Resposta: 886, Pensamento: 8125)"
44e610d9.json,"Total: 5707 (Prompt: 1594, Resposta: 922, Pensamento: 3191)"
44ee9996.json,"Total: 7848 (Prompt: 1527, Resposta: 487, Pensamento: 5834)"
44de44c9.json,"Total: 18104 (Prompt: 1492, Resposta: 887, Pensamento: 15725)"
459ffbc5.json,"Total: 6120 (Prompt: 1667, Resposta: 640, Pensamento: 3813)"
45237ee8.json,"Total: 14791 (Prompt: 841, Resposta: 323, Pensamento: 13627)"
468386fd.json,"Total: 4538 (Prompt: 1145, Resposta: 611, Pensamento: 2782)"
49d73f0a.json,"Total: 3603 (Prompt: 926, Resposta: 456, Pensamento: 2221)"
4833ba1f.json,"Total: 19994 (Prompt: 3292, Resposta: 1278, Pensamento: 15424)"
490c5c60.json,"Total: 15384 (Prompt: 2140, Resposta: 983, Pensamento: 12261)"
4c011460.json,"Total: 22480 (Prompt: 7022, Resposta: 1597, Pensamento: 13861)"
4d14b429.json,"Total: 2680 (Prompt: 800, Resposta: 329, Pensamento: 1551)"
505328e6.json,"Total: 9376 (Prompt: 1737, Resposta: 753, Pensamento: 6886)"
4f405234.json,"Total: 7148 (Prompt: 1007, Resposta: 563, Pensamento: 5578)"
4edd5138.json,"Total: 5608 (Prompt: 2396, Resposta: 290, Pensamento: 2922)"
50afc3d7.json,"Total: 21713 (Prompt: 4921, Resposta: 1211, Pensamento: 15581)"
51c9e1ec.json,"Total: 4340 (Prompt: 1322, Resposta: 703, Pensamento: 2315)"
513e24d3.json,"Total: 18192 (Prompt: 4881, Resposta: 2051, Pensamento: 11260)"
52cd21b5.json,"Total: 2612 (Prompt: 933, Resposta: 516, Pensamento: 1163)"
5576c276.json,"Total: 7620 (Prompt: 2664, Resposta: 1291, Pensamento: 3665)"
521a246d.json,"Total: 14245 (Prompt: 1955, Resposta: 636, Pensamento: 11654)"
578a394e.json,"Total: 4509 (Prompt: 2065, Resposta: 721, Pensamento: 1723)"
5629197e.json,"Total: 10965 (Prompt: 2018, Resposta: 845, Pensamento: 8102)"
584eee43.json,"Total: 8689 (Prompt: 3032, Resposta: 1217, Pensamento: 4440)"
562bbee7.json,"Total: 7103 (Prompt: 1325, Resposta: 312, Pensamento: 5466)"
575493ba.json,"Total: 11616 (Prompt: 2301, Resposta: 1505, Pensamento: 7810)"
59182248.json,"Total: 3152 (Prompt: 885, Resposta: 442, Pensamento: 1825)"
5861bad6.json,"Total: 9984 (Prompt: 1357, Resposta: 612, Pensamento: 8015)"
5a0d02dd.json,"Total: 14012 (Prompt: 3844, Resposta: 1363, Pensamento: 8805)"
5c2545bc.json,"Total: 13686 (Prompt: 1760, Resposta: 735, Pensamento: 11191)"
613c977d.json,"Total: 5633 (Prompt: 2170, Resposta: 748, Pensamento: 2715)"
5f136d0e.json,"Total: 9734 (Prompt: 1217, Resposta: 514, Pensamento: 8003)"
