Task,gemini-3.5-flash-lite
00807511.json,CORRECT
02b90a86.json,CORRECT
04597b99.json,CORRECT
04d98714.json,CORRECT
0756af10.json,CORRECT
0345c497.json,INCORRECT
09b9795f.json,CORRECT
09981733.json,CORRECT
0c869943.json,CORRECT
0cb2035d.json,CORRECT
0abfe15d.json,INCORRECT
0d3a8861.json,CORRECT
0e6ceb07.json,CORRECT
0fc34bbe.json,CORRECT
11e1baac.json,CORRECT
11fd03a7.json,CORRECT
123ba31f.json,CORRECT
15fbef43.json,CORRECT
15628fa1.json,CORRECT
16ef6bfa.json,CORRECT
173f4982.json,CORRECT
163c7823.json,INCORRECT
1bafbe53.json,CORRECT
1bdda14c.json,CORRECT
174cd76c.json,INCORRECT
187dee18.json,INCORRECT
1d21b5b8.json,CORRECT
1e426b95.json,CORRECT
1f65e5a1.json,CORRECT
1f6d3ed6.json,CORRECT
20f82977.json,CORRECT
20f8d26a.json,CORRECT
1f935240.json,CORRECT
20b14782.json,CORRECT
214b4258.json,CORRECT
2292fb9d.json,CORRECT
238c8b7c.json,CORRECT
22d03499.json,INCORRECT
25a27b30.json,CORRECT
26c236bf.json,INCORRECT
2562e1db.json,INCORRECT
263f3e03.json,CORRECT
277223f1.json,CORRECT
29f9a0cc.json,CORRECT
2b528e87.json,CORRECT
2b589513.json,CORRECT
29757882.json,CORRECT
2b2297a9.json,CORRECT
2c4e4720.json,INCORRECT
30aefb06.json,CORRECT
2f26ec4d.json,CORRECT
30864783.json,CORRECT
3126c7a6.json,CORRECT
317a76d4.json,CORRECT
33816d02.json,CORRECT
3203a1c6.json,CORRECT
33d55708.json,CORRECT
36e1377b.json,CORRECT
3486a336.json,CORRECT
35b332f7.json,INCORRECT
36114a09.json,CORRECT
38beb89d.json,CORRECT
39b7e4b1.json,CORRECT
380acd5a.json,CORRECT
3a2286db.json,CORRECT
3ba748e3.json,CORRECT
3cc40d38.json,CORRECT
3cbf5322.json,INCORRECT
3dac118e.json,CORRECT
408315cb.json,CORRECT
3ec35c98.json,CORRECT
433124d1.json,CORRECT
44620949.json,CORRECT
468d8b02.json,CORRECT
460283ca.json,CORRECT
4546333b.json,CORRECT
473142a6.json,CORRECT
48eb39da.json,CORRECT
493792f9.json,CORRECT
4a3bd97c.json,CORRECT
4a9b886e.json,CORRECT
4ac51377.json,CORRECT
4d0221dd.json,CORRECT
4b7dd454.json,CORRECT
4c0ec65b.json,CORRECT
4d88898d.json,CORRECT
4ecad724.json,INCORRECT
4ee2b4a8.json,INCORRECT
52491077.json,INCORRECT
52b0850d.json,INCORRECT
51fb1910.json,INCORRECT
544c86fb.json,CORRECT
562386ab.json,CORRECT
54da9170.json,INCORRECT
53c1e09c.json,CORRECT
567ff641.json,CORRECT
576cbf07.json,INCORRECT
57dce4da.json,CORRECT
58794bb2.json,CORRECT
57e43151.json,CORRECT
59f53d77.json,CORRECT
58c4f008.json,INCORRECT
5b966959.json,CORRECT
5a2caad7.json,INCORRECT
5d54957f.json,CORRECT
