Task,gemini-3.5-flash-lite
00807511.json,"Total: 17.28s (Raciocínio: 15.83s, Formatação: 1.45s)"
02b90a86.json,"Total: 23.44s (Raciocínio: 22.57s, Formatação: 0.87s)"
04597b99.json,"Total: 38.76s (Raciocínio: 5.42s, Formatação: 33.34s)"
04d98714.json,"Total: 7.94s (Raciocínio: 6.69s, Formatação: 1.25s)"
0756af10.json,"Total: 8.66s (Raciocínio: 7.83s, Formatação: 0.83s)"
0345c497.json,"Total: 72.93s (Raciocínio: 71.12s, Formatação: 1.81s)"
09b9795f.json,"Total: 22.32s (Raciocínio: 21.46s, Formatação: 0.87s)"
09981733.json,"Total: 54.53s (Raciocínio: 22.05s, Formatação: 32.48s)"
0c869943.json,"Total: 49.68s (Raciocínio: 44.63s, Formatação: 5.05s)"
0cb2035d.json,"Total: 21.36s (Raciocínio: 16.60s, Formatação: 4.76s)"
0abfe15d.json,"Total: 81.45s (Raciocínio: 80.10s, Formatação: 1.35s)"
0d3a8861.json,"Total: 43.09s (Raciocínio: 41.50s, Formatação: 1.58s)"
0e6ceb07.json,"Total: 40.22s (Raciocínio: 39.34s, Formatação: 0.88s)"
0fc34bbe.json,"Total: 42.66s (Raciocínio: 41.69s, Formatação: 0.97s)"
11e1baac.json,"Total: 55.45s (Raciocínio: 52.21s, Formatação: 3.24s)"
11fd03a7.json,"Total: 32.93s (Raciocínio: 23.34s, Formatação: 9.59s)"
123ba31f.json,"Total: 26.06s (Raciocínio: 24.83s, Formatação: 1.23s)"
15fbef43.json,"Total: 14.47s (Raciocínio: 13.08s, Formatação: 1.39s)"
15628fa1.json,"Total: 74.03s (Raciocínio: 51.31s, Formatação: 22.72s)"
16ef6bfa.json,"Total: 32.46s (Raciocínio: 14.27s, Formatação: 18.20s)"
173f4982.json,"Total: 14.81s (Raciocínio: 13.18s, Formatação: 1.63s)"
163c7823.json,"Total: 71.37s (Raciocínio: 67.35s, Formatação: 4.01s)"
1bafbe53.json,"Total: 8.13s (Raciocínio: 7.18s, Formatação: 0.95s)"
1bdda14c.json,"Total: 19.13s (Raciocínio: 18.03s, Formatação: 1.11s)"
174cd76c.json,"Total: 48.88s (Raciocínio: 47.95s, Formatação: 0.93s)"
187dee18.json,"Total: 67.88s (Raciocínio: 47.93s, Formatação: 19.94s)"
1d21b5b8.json,"Total: 49.48s (Raciocínio: 19.54s, Formatação: 29.94s)"
1e426b95.json,"Total: 45.55s (Raciocínio: 30.71s, Formatação: 14.85s)"
1f65e5a1.json,"Total: 42.72s (Raciocínio: 41.42s, Formatação: 1.30s)"
1f6d3ed6.json,"Total: 26.66s (Raciocínio: 21.17s, Formatação: 5.50s)"
20f82977.json,"Total: 14.43s (Raciocínio: 12.43s, Formatação: 2.00s)"
20f8d26a.json,"Total: 14.47s (Raciocínio: 13.25s, Formatação: 1.22s)"
1f935240.json,"Total: 81.53s (Raciocínio: 40.97s, Formatação: 40.55s)"
20b14782.json,"Total: 90.09s (Raciocínio: 75.70s, Formatação: 14.39s)"
214b4258.json,"Total: 53.05s (Raciocínio: 43.62s, Formatação: 9.44s)"
2292fb9d.json,"Total: 49.76s (Raciocínio: 43.33s, Formatação: 6.43s)"
238c8b7c.json,"Total: 16.44s (Raciocínio: 15.07s, Formatação: 1.37s)"
22d03499.json,"Total: 77.20s (Raciocínio: 65.99s, Formatação: 11.21s)"
25a27b30.json,"Total: 77.16s (Raciocínio: 36.12s, Formatação: 41.04s)"
