Task,gemini-3.5-flash-lite
00807511.json,"Total: 6830 (Prompt: 1510, Resposta: 658, Pensamento: 4662)"
02b90a86.json,"Total: 13168 (Prompt: 3787, Resposta: 476, Pensamento: 8905)"
04597b99.json,"Total: 2426 (Prompt: 612, Resposta: 231, Pensamento: 1583)"
04d98714.json,"Total: 5449 (Prompt: 2238, Resposta: 826, Pensamento: 2385)"
0756af10.json,"Total: 3369 (Prompt: 836, Resposta: 416, Pensamento: 2117)"
0345c497.json,"Total: 18326 (Prompt: 2067, Resposta: 630, Pensamento: 15629)"
09b9795f.json,"Total: 13782 (Prompt: 5938, Resposta: 292, Pensamento: 7552)"
09981733.json,"Total: 10606 (Prompt: 1648, Resposta: 418, Pensamento: 8540)"
0c869943.json,"Total: 14090 (Prompt: 2142, Resposta: 707, Pensamento: 11241)"
0cb2035d.json,"Total: 7116 (Prompt: 1917, Resposta: 906, Pensamento: 4293)"
0abfe15d.json,"Total: 21447 (Prompt: 4911, Resposta: 812, Pensamento: 15724)"
0d3a8861.json,"Total: 18150 (Prompt: 4471, Resposta: 1208, Pensamento: 12471)"
0e6ceb07.json,"Total: 4404 (Prompt: 1129, Resposta: 304, Pensamento: 2971)"
0fc34bbe.json,"Total: 5434 (Prompt: 744, Resposta: 337, Pensamento: 4353)"
11e1baac.json,"Total: 7921 (Prompt: 1690, Resposta: 668, Pensamento: 5563)"
11fd03a7.json,"Total: 10091 (Prompt: 1344, Resposta: 640, Pensamento: 8107)"
123ba31f.json,"Total: 11859 (Prompt: 1962, Resposta: 642, Pensamento: 9255)"
15fbef43.json,"Total: 7825 (Prompt: 2198, Resposta: 764, Pensamento: 4863)"
15628fa1.json,"Total: 15179 (Prompt: 3897, Resposta: 1209, Pensamento: 10073)"
16ef6bfa.json,"Total: 8280 (Prompt: 2103, Resposta: 702, Pensamento: 5475)"
173f4982.json,"Total: 7032 (Prompt: 1597, Resposta: 1023, Pensamento: 4412)"
163c7823.json,"Total: 16879 (Prompt: 1649, Resposta: 626, Pensamento: 14604)"
1bafbe53.json,"Total: 2864 (Prompt: 869, Resposta: 425, Pensamento: 1570)"
1bdda14c.json,"Total: 8349 (Prompt: 1840, Resposta: 673, Pensamento: 5836)"
174cd76c.json,"Total: 19949 (Prompt: 3533, Resposta: 687, Pensamento: 15729)"
187dee18.json,"Total: 18308 (Prompt: 1793, Resposta: 787, Pensamento: 15728)"
1d21b5b8.json,"Total: 7261 (Prompt: 741, Resposta: 308, Pensamento: 6212)"
1e426b95.json,"Total: 15909 (Prompt: 2724, Resposta: 2049, Pensamento: 11136)"
1f65e5a1.json,"Total: 10917 (Prompt: 1765, Resposta: 740, Pensamento: 8412)"
1f6d3ed6.json,"Total: 11669 (Prompt: 3374, Resposta: 359, Pensamento: 7936)"
20f82977.json,"Total: 6370 (Prompt: 2101, Resposta: 761, Pensamento: 3508)"
20f8d26a.json,"Total: 4937 (Prompt: 970, Resposta: 457, Pensamento: 3510)"
1f935240.json,"Total: 22913 (Prompt: 6000, Resposta: 1955, Pensamento: 14958)"
20b14782.json,"Total: 14898 (Prompt: 1374, Resposta: 599, Pensamento: 12925)"
214b4258.json,"Total: 10476 (Prompt: 3096, Resposta: 1273, Pensamento: 6107)"
2292fb9d.json,"Total: 11167 (Prompt: 1190, Resposta: 351, Pensamento: 9626)"
238c8b7c.json,"Total: 7816 (Prompt: 1681, Resposta: 705, Pensamento: 5430)"
22d03499.json,"Total: 16639 (Prompt: 1134, Resposta: 370, Pensamento: 15135)"
25a27b30.json,"Total: 14898 (Prompt: 1731, Resposta: 721, Pensamento: 12446)"
