Task,gemini-3.5-flash-lite
007bbfb7.json,"Total: 17.95s (Raciocínio: 16.29s, Formatação: 1.66s)"
025d127b.json,"Total: 24.78s (Raciocínio: 23.46s, Formatação: 1.32s)"
017c7c7b.json,"Total: 40.93s (Raciocínio: 39.90s, Formatação: 1.02s)"
00d62c1b.json,"Total: 64.40s (Raciocínio: 61.93s, Formatação: 2.46s)"
0520fde7.json,"Total: 9.71s (Raciocínio: 8.80s, Formatação: 0.91s)"
045e512c.json,"Total: 56.64s (Raciocínio: 53.52s, Formatação: 3.12s)"
05269061.json,"Total: 42.91s (Raciocínio: 41.87s, Formatação: 1.04s)"
05f2a901.json,"Total: 21.55s (Raciocínio: 20.14s, Formatação: 1.42s)"
06df4c85.json,"Total: 47.60s (Raciocínio: 45.64s, Formatação: 1.96s)"
08ed6ac7.json,"Total: 13.88s (Raciocínio: 12.37s, Formatação: 1.51s)"
0962bcdd.json,"Total: 30.66s (Raciocínio: 29.24s, Formatação: 1.41s)"
09629e4f.json,"Total: 49.45s (Raciocínio: 47.75s, Formatação: 1.70s)"
0b148d64.json,"Total: 20.46s (Raciocínio: 19.35s, Formatação: 1.11s)"
0ca9ddb6.json,"Total: 14.33s (Raciocínio: 13.04s, Formatação: 1.28s)"
0a938d79.json,"Total: 53.69s (Raciocínio: 50.85s, Formatação: 2.84s)"
0d3d703e.json,"Total: 9.22s (Raciocínio: 8.23s, Formatação: 0.99s)"
0dfd9992.json,"Total: 30.78s (Raciocínio: 27.70s, Formatação: 3.08s)"
11852cab.json,"Total: 26.84s (Raciocínio: 25.35s, Formatação: 1.49s)"
10fcaaa3.json,"Total: 33.81s (Raciocínio: 32.34s, Formatação: 1.47s)"
0e206a2e.json,"Total: 58.43s (Raciocínio: 51.86s, Formatação: 6.57s)"
1190e5a7.json,"Total: 46.47s (Raciocínio: 45.50s, Formatação: 0.97s)"
137eaa0f.json,"Total: 21.35s (Raciocínio: 20.50s, Formatação: 0.85s)"
150deff5.json,"Total: 42.52s (Raciocínio: 41.12s, Formatação: 1.40s)"
178fcbfb.json,"Total: 44.89s (Raciocínio: 43.54s, Formatação: 1.35s)"
1b2d62fb.json,"Total: 28.82s (Raciocínio: 27.93s, Formatação: 0.89s)"
1a07d186.json,"Total: 34.28s (Raciocínio: 30.73s, Formatação: 3.55s)"
1b60fb0c.json,"Total: 41.84s (Raciocínio: 40.26s, Formatação: 1.57s)"
1bfc4729.json,"Total: 21.67s (Raciocínio: 19.95s, Formatação: 1.72s)"
1e0a9b12.json,"Total: 10.94s (Raciocínio: 10.05s, Formatação: 0.89s)"
1caeab9d.json,"Total: 65.62s (Raciocínio: 27.16s, Formatação: 38.46s)"
1c786137.json,"Total: 59.77s (Raciocínio: 51.58s, Formatação: 8.18s)"
1cf80156.json,"Total: 42.60s (Raciocínio: 41.69s, Formatação: 0.90s)"
1f642eb9.json,"Total: 20.13s (Raciocínio: 17.97s, Formatação: 2.16s)"
1f85a75f.json,"Total: 24.29s (Raciocínio: 23.31s, Formatação: 0.99s)"
1e32b0e9.json,"Total: 55.94s (Raciocínio: 54.81s, Formatação: 1.13s)"
1f0c79e5.json,"Total: 42.30s (Raciocínio: 40.95s, Formatação: 1.35s)"
2013d3e2.json,"Total: 12.02s (Raciocínio: 11.06s, Formatação: 0.96s)"
2204b7a8.json,"Total: 15.04s (Raciocínio: 13.38s, Formatação: 1.66s)"
1f876c06.json,"Total: 33.93s (Raciocínio: 32.63s, Formatação: 1.30s)"
1fad071e.json,"Total: 29.67s (Raciocínio: 28.56s, Formatação: 1.10s)"
22168020.json,"Total: 15.25s (Raciocínio: 13.99s, Formatação: 1.27s)"
2281f1f4.json,"Total: 9.34s (Raciocínio: 7.97s, Formatação: 1.37s)"
228f6490.json,"Total: 19.12s (Raciocínio: 17.82s, Formatação: 1.30s)"
22233c11.json,"Total: 44.48s (Raciocínio: 43.22s, Formatação: 1.26s)"
22eb0ac0.json,"Total: 8.21s (Raciocínio: 6.85s, Formatação: 1.37s)"
23581191.json,"Total: 15.32s (Raciocínio: 14.00s, Formatação: 1.32s)"
234bbc79.json,"Total: 52.61s (Raciocínio: 51.39s, Formatação: 1.22s)"
23b5c85d.json,"Total: 37.45s (Raciocínio: 36.55s, Formatação: 0.90s)"
239be575.json,"Total: 39.89s (Raciocínio: 38.91s, Formatação: 0.98s)"
253bf280.json,"Total: 20.40s (Raciocínio: 16.73s, Formatação: 3.67s)"
25d8a9c8.json,"Total: 6.31s (Raciocínio: 5.50s, Formatação: 0.81s)"
25ff71a9.json,"Total: 7.14s (Raciocínio: 5.65s, Formatação: 1.49s)"
25d487eb.json,"Total: 32.65s (Raciocínio: 30.29s, Formatação: 2.36s)"
272f95fa.json,"Total: 23.23s (Raciocínio: 16.46s, Formatação: 6.78s)"
27a28665.json,"Total: 26.54s (Raciocínio: 25.70s, Formatação: 0.85s)"
28bf18c6.json,"Total: 44.57s (Raciocínio: 8.39s, Formatação: 36.17s)"
264363fd.json,"Total: 49.85s (Raciocínio: 48.17s, Formatação: 1.68s)"
29c11459.json,"Total: 14.59s (Raciocínio: 8.55s, Formatação: 6.04s)"
29623171.json,"Total: 36.33s (Raciocínio: 34.90s, Formatação: 1.43s)"
28e73c20.json,"Total: 71.52s (Raciocínio: 49.32s, Formatação: 22.20s)"
29ec7d0e.json,"Total: 40.22s (Raciocínio: 37.75s, Formatação: 2.47s)"
2bee17df.json,"Total: 44.67s (Raciocínio: 43.08s, Formatação: 1.59s)"
2bcee788.json,"Total: 48.08s (Raciocínio: 46.85s, Formatação: 1.23s)"
2c608aff.json,"Total: 32.53s (Raciocínio: 29.95s, Formatação: 2.58s)"
2dc579da.json,"Total: 20.98s (Raciocínio: 19.81s, Formatação: 1.17s)"
2dee498d.json,"Total: 12.56s (Raciocínio: 10.93s, Formatação: 1.63s)"
31aa019c.json,"Total: 20.15s (Raciocínio: 18.93s, Formatação: 1.22s)"
2dd70a9a.json,"Total: 40.42s (Raciocínio: 38.15s, Formatação: 2.26s)"
321b1fc6.json,"Total: 24.71s (Raciocínio: 23.20s, Formatação: 1.51s)"
32597951.json,"Total: 34.68s (Raciocínio: 26.29s, Formatação: 8.39s)"
3428a4f5.json,"Total: 26.76s (Raciocínio: 14.03s, Formatação: 12.72s)"
3618c87e.json,"Total: 18.84s (Raciocínio: 11.08s, Formatação: 7.75s)"
3345333e.json,"Total: 46.48s (Raciocínio: 45.17s, Formatação: 1.31s)"
363442ee.json,"Total: 22.30s (Raciocínio: 20.79s, Formatação: 1.51s)"
3631a71a.json,"Total: 42.23s (Raciocínio: 41.36s, Formatação: 0.87s)"
36d67576.json,"Total: 47.69s (Raciocínio: 45.72s, Formatação: 1.97s)"
36fdfd69.json,"Total: 66.69s (Raciocínio: 65.81s, Formatação: 0.88s)"
39a8645d.json,"Total: 32.46s (Raciocínio: 31.46s, Formatação: 1.01s)"
3906de3d.json,"Total: 42.44s (Raciocínio: 41.06s, Formatação: 1.38s)"
39e1d7f9.json,"Total: 42.00s (Raciocínio: 41.07s, Formatação: 0.92s)"
3aa6fb7a.json,"Total: 13.41s (Raciocínio: 12.20s, Formatação: 1.20s)"
3ac3eb23.json,"Total: 14.89s (Raciocínio: 13.04s, Formatação: 1.85s)"
3af2c5a8.json,"Total: 19.09s (Raciocínio: 8.84s, Formatação: 10.25s)"
3bd67248.json,"Total: 9.58s (Raciocínio: 8.22s, Formatação: 1.36s)"
3c9b0459.json,"Total: 5.64s (Raciocínio: 4.94s, Formatação: 0.70s)"
3bdb4ada.json,"Total: 47.30s (Raciocínio: 33.01s, Formatação: 14.29s)"
3befdf3e.json,"Total: 45.10s (Raciocínio: 43.76s, Formatação: 1.33s)"
3de23699.json,"Total: 64.80s (Raciocínio: 63.69s, Formatação: 1.11s)"
3eda0437.json,"Total: 96.84s (Raciocínio: 80.82s, Formatação: 16.02s)"
3e980e27.json,"Total: 69.71s (Raciocínio: 68.06s, Formatação: 1.65s)"
40853293.json,"Total: 82.80s (Raciocínio: 80.39s, Formatação: 2.41s)"
3f7978a0.json,"Total: 27.85s (Raciocínio: 26.87s, Formatação: 0.98s)"
4093f84a.json,"Total: 54.34s (Raciocínio: 40.47s, Formatação: 13.86s)"
41e4d17e.json,"Total: 54.90s (Raciocínio: 24.85s, Formatação: 30.05s)"
4258a5f9.json,"Total: 17.93s (Raciocínio: 12.47s, Formatação: 5.46s)"
42a50994.json,"Total: 47.87s (Raciocínio: 37.16s, Formatação: 10.71s)"
4290ef0e.json,"Total: 42.81s (Raciocínio: 41.54s, Formatação: 1.28s)"
4347f46a.json,"Total: 83.76s (Raciocínio: 81.53s, Formatação: 2.23s)"
