Task,gemini-3.5-flash-lite
007bbfb7.json,"Total: 7963 (Prompt: 1688, Resposta: 706, Pensamento: 5569)"
025d127b.json,"Total: 10244 (Prompt: 1746, Resposta: 734, Pensamento: 7764)"
017c7c7b.json,"Total: 16309 (Prompt: 904, Resposta: 446, Pensamento: 14959)"
00d62c1b.json,"Total: 22345 (Prompt: 5116, Resposta: 1920, Pensamento: 15309)"
0520fde7.json,"Total: 3588 (Prompt: 872, Resposta: 440, Pensamento: 2276)"
045e512c.json,"Total: 24434 (Prompt: 7106, Resposta: 1601, Pensamento: 15727)"
05269061.json,"Total: 18155 (Prompt: 1617, Resposta: 810, Pensamento: 15728)"
05f2a901.json,"Total: 10339 (Prompt: 2384, Resposta: 836, Pensamento: 7119)"
06df4c85.json,"Total: 24644 (Prompt: 8118, Resposta: 801, Pensamento: 15725)"
08ed6ac7.json,"Total: 7061 (Prompt: 1546, Resposta: 685, Pensamento: 4830)"
0962bcdd.json,"Total: 14201 (Prompt: 2296, Resposta: 940, Pensamento: 10965)"
09629e4f.json,"Total: 19723 (Prompt: 3067, Resposta: 931, Pensamento: 15725)"
0b148d64.json,"Total: 11422 (Prompt: 3733, Resposta: 410, Pensamento: 7279)"
0ca9ddb6.json,"Total: 7516 (Prompt: 1915, Resposta: 727, Pensamento: 4874)"
0a938d79.json,"Total: 22017 (Prompt: 5128, Resposta: 1694, Pensamento: 15195)"
0d3d703e.json,"Total: 3590 (Prompt: 667, Resposta: 276, Pensamento: 2647)"
0dfd9992.json,"Total: 20682 (Prompt: 7533, Resposta: 2007, Pensamento: 11142)"
11852cab.json,"Total: 12512 (Prompt: 2220, Resposta: 796, Pensamento: 9496)"
10fcaaa3.json,"Total: 14862 (Prompt: 1527, Resposta: 958, Pensamento: 12377)"
0e206a2e.json,"Total: 21309 (Prompt: 4591, Resposta: 994, Pensamento: 15724)"
1190e5a7.json,"Total: 19204 (Prompt: 3777, Resposta: 369, Pensamento: 15058)"
137eaa0f.json,"Total: 10021 (Prompt: 1561, Resposta: 334, Pensamento: 8126)"
150deff5.json,"Total: 18308 (Prompt: 1909, Resposta: 674, Pensamento: 15725)"
178fcbfb.json,"Total: 8623 (Prompt: 2185, Resposta: 875, Pensamento: 5563)"
1b2d62fb.json,"Total: 13801 (Prompt: 1464, Resposta: 690, Pensamento: 11647)"
1a07d186.json,"Total: 19863 (Prompt: 5838, Resposta: 2459, Pensamento: 11566)"
1b60fb0c.json,"Total: 18967 (Prompt: 2335, Resposta: 908, Pensamento: 15724)"
1bfc4729.json,"Total: 9900 (Prompt: 1777, Resposta: 814, Pensamento: 7309)"
1e0a9b12.json,"Total: 4867 (Prompt: 1132, Resposta: 585, Pensamento: 3150)"
1caeab9d.json,"Total: 12410 (Prompt: 1799, Resposta: 769, Pensamento: 9842)"
1c786137.json,"Total: 11133 (Prompt: 3443, Resposta: 517, Pensamento: 7173)"
1cf80156.json,"Total: 4734 (Prompt: 1658, Resposta: 288, Pensamento: 2788)"
1f642eb9.json,"Total: 9365 (Prompt: 2283, Resposta: 844, Pensamento: 6238)"
1f85a75f.json,"Total: 15666 (Prompt: 5956, Resposta: 304, Pensamento: 9406)"
1e32b0e9.json,"Total: 21428 (Prompt: 4981, Resposta: 723, Pensamento: 15724)"
1f0c79e5.json,"Total: 18984 (Prompt: 2403, Resposta: 856, Pensamento: 15725)"
2013d3e2.json,"Total: 5490 (Prompt: 1190, Resposta: 347, Pensamento: 3953)"
2204b7a8.json,"Total: 7598 (Prompt: 2113, Resposta: 669, Pensamento: 4816)"
1f876c06.json,"Total: 9251 (Prompt: 2231, Resposta: 786, Pensamento: 6234)"
1fad071e.json,"Total: 12482 (Prompt: 1353, Resposta: 459, Pensamento: 10670)"
22168020.json,"Total: 7983 (Prompt: 2464, Resposta: 1033, Pensamento: 4486)"
2281f1f4.json,"Total: 5344 (Prompt: 2170, Resposta: 758, Pensamento: 2416)"
228f6490.json,"Total: 8840 (Prompt: 2190, Resposta: 752, Pensamento: 5898)"
22233c11.json,"Total: 18957 (Prompt: 2331, Resposta: 899, Pensamento: 15727)"
22eb0ac0.json,"Total: 5190 (Prompt: 2223, Resposta: 790, Pensamento: 2177)"
23581191.json,"Total: 7102 (Prompt: 1711, Resposta: 874, Pensamento: 4517)"
234bbc79.json,"Total: 17539 (Prompt: 1262, Resposta: 553, Pensamento: 15724)"
23b5c85d.json,"Total: 16187 (Prompt: 3470, Resposta: 267, Pensamento: 12450)"
239be575.json,"Total: 11699 (Prompt: 1147, Resposta: 324, Pensamento: 10228)"
253bf280.json,"Total: 8349 (Prompt: 3636, Resposta: 942, Pensamento: 3771)"
25d8a9c8.json,"Total: 2735 (Prompt: 689, Resposta: 306, Pensamento: 1740)"
25ff71a9.json,"Total: 2208 (Prompt: 675, Resposta: 266, Pensamento: 1267)"
25d487eb.json,"Total: 13097 (Prompt: 3230, Resposta: 1116, Pensamento: 8751)"
272f95fa.json,"Total: 10407 (Prompt: 3738, Resposta: 1495, Pensamento: 5174)"
27a28665.json,"Total: 9636 (Prompt: 745, Resposta: 307, Pensamento: 8584)"
28bf18c6.json,"Total: 4212 (Prompt: 1119, Resposta: 300, Pensamento: 2793)"
264363fd.json,"Total: 30317 (Prompt: 13535, Resposta: 1058, Pensamento: 15724)"
29c11459.json,"Total: 2959 (Prompt: 1214, Resposta: 585, Pensamento: 1160)"
29623171.json,"Total: 13716 (Prompt: 2603, Resposta: 944, Pensamento: 10169)"
28e73c20.json,"Total: 20720 (Prompt: 3981, Resposta: 1014, Pensamento: 15725)"
29ec7d0e.json,"Total: 23493 (Prompt: 7038, Resposta: 1624, Pensamento: 14831)"
2bee17df.json,"Total: 19579 (Prompt: 2872, Resposta: 978, Pensamento: 15729)"
2bcee788.json,"Total: 19258 (Prompt: 2744, Resposta: 787, Pensamento: 15727)"
2c608aff.json,"Total: 17073 (Prompt: 5003, Resposta: 2174, Pensamento: 9896)"
2dc579da.json,"Total: 6452 (Prompt: 1452, Resposta: 485, Pensamento: 4515)"
2dee498d.json,"Total: 4365 (Prompt: 899, Resposta: 326, Pensamento: 3140)"
31aa019c.json,"Total: 7994 (Prompt: 2154, Resposta: 746, Pensamento: 5094)"
2dd70a9a.json,"Total: 18084 (Prompt: 4207, Resposta: 1077, Pensamento: 12800)"
321b1fc6.json,"Total: 10661 (Prompt: 1758, Resposta: 745, Pensamento: 8158)"
32597951.json,"Total: 15451 (Prompt: 5114, Resposta: 1415, Pensamento: 8922)"
3428a4f5.json,"Total: 7311 (Prompt: 1889, Resposta: 833, Pensamento: 4589)"
3618c87e.json,"Total: 3628 (Prompt: 914, Resposta: 382, Pensamento: 2332)"
3345333e.json,"Total: 20135 (Prompt: 3479, Resposta: 929, Pensamento: 15727)"
363442ee.json,"Total: 11279 (Prompt: 2522, Resposta: 904, Pensamento: 7853)"
3631a71a.json,"Total: 33643 (Prompt: 17145, Resposta: 772, Pensamento: 15726)"
36d67576.json,"Total: 20230 (Prompt: 3383, Resposta: 1123, Pensamento: 15724)"
36fdfd69.json,"Total: 21031 (Prompt: 4567, Resposta: 737, Pensamento: 15727)"
39a8645d.json,"Total: 14441 (Prompt: 2203, Resposta: 357, Pensamento: 11881)"
3906de3d.json,"Total: 18769 (Prompt: 2273, Resposta: 836, Pensamento: 15660)"
39e1d7f9.json,"Total: 27162 (Prompt: 10749, Resposta: 685, Pensamento: 15728)"
3aa6fb7a.json,"Total: 6106 (Prompt: 1132, Resposta: 531, Pensamento: 4443)"
3ac3eb23.json,"Total: 6426 (Prompt: 1393, Resposta: 764, Pensamento: 4269)"
3af2c5a8.json,"Total: 4682 (Prompt: 1239, Resposta: 722, Pensamento: 2721)"
3bd67248.json,"Total: 5342 (Prompt: 2122, Resposta: 776, Pensamento: 2444)"
3c9b0459.json,"Total: 2579 (Prompt: 751, Resposta: 353, Pensamento: 1475)"
3bdb4ada.json,"Total: 7497 (Prompt: 3055, Resposta: 1250, Pensamento: 3192)"
3befdf3e.json,"Total: 19037 (Prompt: 2417, Resposta: 892, Pensamento: 15728)"
3de23699.json,"Total: 19403 (Prompt: 2850, Resposta: 824, Pensamento: 15729)"
3eda0437.json,"Total: 18809 (Prompt: 2296, Resposta: 787, Pensamento: 15726)"
3e980e27.json,"Total: 19609 (Prompt: 3993, Resposta: 1061, Pensamento: 14555)"
40853293.json,"Total: 15502 (Prompt: 5466, Resposta: 2043, Pensamento: 7993)"
3f7978a0.json,"Total: 11747 (Prompt: 1772, Resposta: 428, Pensamento: 9547)"
4093f84a.json,"Total: 18207 (Prompt: 3708, Resposta: 1116, Pensamento: 13383)"
41e4d17e.json,"Total: 14411 (Prompt: 3370, Resposta: 1358, Pensamento: 9683)"
4258a5f9.json,"Total: 7028 (Prompt: 1472, Resposta: 615, Pensamento: 4941)"
42a50994.json,"Total: 21288 (Prompt: 4408, Resposta: 1155, Pensamento: 15725)"
4290ef0e.json,"Total: 20494 (Prompt: 3832, Resposta: 937, Pensamento: 15725)"
4347f46a.json,"Total: 11377 (Prompt: 3686, Resposta: 1553, Pensamento: 6138)"
445eab21.json,"Total: 8088 (Prompt: 1450, Resposta: 404, Pensamento: 6234)"
