Task,gemma-4-31b-it
02aa4c52.json,"8 4 8
4 4 8
8 4 8"
01732839.json,"0 0 4 0 0 0 2 0 0 7 0 0
0 4 0 4 0 2 0 2 7 0 7 0
0 0 4 0 0 0 2 0 0 7 0 0
0 4 0 4 0 2 0 2 7 0 7 0
0 0 4 0 0 0 2 0 0 7 0 0
0 4 0 4 0 2 0 2 7 0 7 0"
0350ccb2.json,"2 6 4
2 6 4
2 6 4"
01f9c076.json,"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 4 4 4 0 0 0 0 0 0 0 0 0 0 0
4 4 4 4 0 0 0 0 0 0 0 0 0 0 0
4 4 4 4 0 2 2 2 0 0 0 0 0 0 0
4 4 4 4 0 2 2 2 0 0 0 0 0 0 0
4 4 4 4 0 2 2 2 0 0 0 0 0 0 0
4 4 4 4 0 2 2 2 0 0 0 0 0 0 0
4 4 4 4 0 2 2 2 0 0 0 0 0 0 0
0 0 0 0 0 2 2 2 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 1 1 1 1
0 0 0 0 0 0 0 0 0 0 1 1 1 1 1
0 0 0 0 0 0 0 0 0 0 1 1 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
03986ae6.json,8
03ec5fc2.json,"0 3 0 0 0
3 0 0 0 0
0 3 0 0 0
0 0 3 0 0
0 0 0 3 0
0 0 0 0 3
0 0 0 3 0
0 0 3 0 0
0 3 0 0 0
3 0 0 0 0"
00583ef7.json,"0 0 0 1
4 0 0 4
0 0 0 0
0 1 4 1"
03c1877b.json,"3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2
3 3 3 3 2 3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 0 0 0 0 3 3 2 3 2
3 3 3 3 3 3 3 0 2 2 0 3 3 3 3 3
3 3 3 3 3 3 3 0 0 0 0 3 2 3 3 3
3 0 0 0 0 3 3 3 3 3 3 3 3 3 3 3
3 0 2 2 0 3 3 3 3 3 3 3 0 0 0 3
3 0 0 0 0 3 3 3 3 3 3 3 0 3 2 0
3 3 3 3 3 3 2 3 3 3 3 3 0 3 2 0
2 3 3 3 3 3 3 2 0 0 0 3 0 0 0 3
3 3 3 3 3 3 3 3 0 2 0 2 3 3 3 3
3 3 2 3 2 0 0 0 0 2 0 3 3 3 3 3
3 2 3 3 3 0 2 2 0 0 0 2 3 2 3 3
3 3 3 2 3 0 0 0 0 3 3 3 3 3 3 2
3 3 3 3 3 3 3 2 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 2 3 3 3 3 3 3 3"
068c0f22.json,"7 5 5 7 5
1 7 5 5 5
1 5 7 5 1"
03fcf234.json,"0 0 0 7 0 0 0 0 0 7
0 0 0 0 7 0 0 0 7 0
0 0 0 0 7 7 0 7 0 0
0 0 0 7 7 0 7 0 0 0
0 0 0 0 0 7 0 7 7 0
0 0 0 0 0 0 7 7 0 0
0 0 7 7 0 0 0 7 0 0
0 0 0 7 0 0 0 0 7 0
0 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 0"
061c9f11.json,"0 0 0 0 0 0
0 6 6 6 6 0
0 6 1 1 6 0
0 6 1 1 6 0
0 6 6 6 6 0
0 0 0 0 0 0"
05cb80e4.json,"0 0 0 0 0 0 0 0 0 0
0 1 1 0 0 0 2 2 2 0
0 0 1 0 0 0 0 0 2 0
0 1 0 0 0 0 0 2 0 0
0 1 1 1 0 0 2 2 2 2
0 0 0 0 0 0 0 0 0 0
0 0 0 2 2 2 0 0 0 0
0 0 0 0 0 2 0 0 0 0
0 0 0 0 2 0 0 0 0 0
0 0 0 2 2 2 2 0 0 0"
0799c68a.json,"0 0 0
0 0 3
3 0 0
3 0 0
0 0 3
0 0 0"
06b7cffb.json,"3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3
3 3 3 4 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3
3 3 3 0 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3"
0b8ca772.json,"2 2 2 4 4 4 2 2 2
2 2 2 4 4 4 2 2 2
2 2 2 4 4 4 2 2 2
2 2 2 2 2 2 7 7 7
2 2 2 2 2 2 7 7 7
2 2 2 2 2 2 7 7 7
7 7 7 4 4 4 2 2 2
7 7 7 4 4 4 2 2 2
7 7 7 4 4 4 2 2 2"
0a9b1fef.json,"6 5 9
6 5 9
6 5 9
6 5 9"
103d635a.json,"8 8 9 6
5 8 7 6
5 7 1 2
4 9 8 8"
0e487d19.json,"8 8 1
1 8 8
8 8 1"
0a1b886d.json,"2 2 2 2 2 2 4 2 2 2 4 2 2 2 2 2 2 2
2 2 2 2 2 2 4 2 2 2 4 2 2 2 2 2 2 2
2 2 2 2 2 2 4 2 2 2 4 2 2 2 2 2 2 2
2 8 8 8 8 8 8 8 8 8 8 8 8 8 8 2 2 2
2 8 8 8 8 8 4 8 8 8 4 8 8 8 8 2 2 2
2 8 8 4 4 4 8 4 4 4 8 4 4 8 8 2 2 2
2 8 8 4 4 4 8 4 4 4 8 4 4 8 8 2 2 2
2 8 8 4 4 4 8 4 4 4 8 4 4 8 8 2 2 2
2 8 8 4 4 4 8 4 4 4 8 4 4 8 8 2 2 2
4 8 8 8 8 8 4 8 8 8 4 8 8 8 8 4 4 4
2 8 8 4 4 4 8 4 4 4 8 4 4 8 8 2 2 2
2 8 8 4 4 4 8 4 4 4 8 4 4 8 8 2 2 2
2 8 8 4 4 4 8 4 4 4 8 4 4 8 8 2 2 2
2 8 8 4 4 4 8 4 4 4 8 4 4 8 8 2 2 2
2 8 8 8 8 8 8 8 8 8 8 8 8 8 8 2 2 2
2 2 2 2 2 2 4 2 2 2 4 2 2 2 2 2 2 2
2 2 2 2 2 2 4 2 2 2 4 2 2 2 2 2 2 2
2 2 2 2 2 2 4 2 2 2 4 2 2 2 2 2 2 2
2 2 2 2 2 2 4 2 2 2 4 2 2 2 2 2 2 2"
0c53f835.json,"1 7 2 5 6 8 3 4 1 7 2 5 6 8 3 4
7 2 5 6 8 3 4 1 7 2 5 6 8 3 4 1
2 5 6 8 3 4 1 7 2 5 6 8 3 4 1 7
5 6 8 3 4 1 7 2 5 6 8 3 4 1 7 2
6 8 3 4 1 7 2 5 6 8 3 4 1 7 2 5
8 3 4 1 7 2 5 6 8 3 4 1 7 2 5 6
3 4 1 7 2 5 6 8 3 4 1 7 2 5 6 8
4 1 7 2 5 6 8 3 4 1 7 2 5 6 8 3
1 7 2 5 6 8 3 4 1 7 2 5 6 8 3 4
7 2 5 6 8 3 4 1 7 2 5 6 8 3 4 1
2 5 6 8 3 4 1 7 2 5 6 8 3 4 1 7
5 6 8 3 4 1 7 2 5 6 8 3 4 1 7 2
6 8 3 4 1 7 2 5 6 8 3 4 1 7 2 5
8 3 4 1 7 2 5 6 8 3 4 1 7 2 5 6
3 4 1 7 2 5 6 8 3 4 1 7 2 5 6 8
4 1 7 2 5 6 8 3 4 1 7 2 5 6 8 3"
14e00937.json,"0 0 0 0 0 0 0
0 2 2 2 0 0 0
0 2 2 2 2 2 0
0 0 0 2 2 0 0
0 0 2 2 0 0 0
0 0 2 2 2 0 0
0 0 0 0 0 0 0"
1524d8de.json,"6 6 6 6 6 6 6 6 6 6 6 6 6 6
6 8 8 8 8 8 8 8 8 8 8 8 8 6
6 8 5 5 5 5 5 5 5 5 5 5 8 6
6 8 5 3 3 3 3 3 3 3 3 5 8 6
6 8 5 3 4 4 4 4 4 4 3 5 8 6
6 8 5 3 4 7 7 7 7 4 3 5 8 6
6 8 5 3 4 7 1 1 7 4 3 5 8 6
6 8 5 3 4 7 1 1 7 4 3 5 8 6
6 8 5 3 4 7 7 7 7 4 3 5 8 6
6 8 5 3 4 4 4 4 4 4 3 5 8 6
6 8 5 3 3 3 3 3 3 3 3 5 8 6
6 8 5 5 5 5 5 5 5 5 5 5 8 6
6 8 8 8 8 8 8 8 8 8 8 8 8 6
6 6 6 6 6 6 6 6 6 6 6 6 6 6"
12066d82.json,"1 4 1 6 4 1
4 6 4 1 6 4
6 1 6 6 4 1
1 4 6 6 1 6
4 6 1 4 6 4
1 4 6 1 4 1"
18208bd6.json,"4 2 4
2 2 2
2 2 4"
17fa274f.json,"9 8 8 9 9 9
8 8 8 9 1 9
9 9 8 9 1 9
9 7 9 5 5 9
7 7 9 5 9 5
9 7 9 9 5 9"
15c4651a.json,"2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 0 0 0 0 0 0 0 2 2 2 2 2
2 2 2 0 2 2 2 2 2 0 2 2 2 2 2
2 2 2 0 5 5 2 5 5 0 2 2 2 2 2
2 2 2 0 2 5 5 5 2 0 2 2 2 2 2
2 2 2 0 2 2 2 2 2 0 2 2 2 2 2
2 2 2 0 5 5 5 5 5 0 2 2 2 2 2
2 2 2 0 2 2 5 2 2 0 2 2 2 2 2
2 2 2 0 2 2 2 2 2 0 2 2 2 2 2
2 2 2 0 0 0 0 0 0 0 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2"
1c2d48b8.json,"0 0 0 0 0 0 0 0 0 0
0 4 4 0 0 0 4 4 0 0
3 4 3 3 0 3 4 3 3 0
0 0 3 0 0 0 0 3 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 4 4 0 0
0 0 0 0 0 3 4 3 3 0
0 0 0 0 0 0 0 3 0 0
0 0 0 0 0 0 0 0 0 0"
1cf44aae.json,"6 6 6
6 6 6
6 6 6"
1e1d05d5.json,"0 8 0 0 7 0 0 0 0
7 2 7 7 7 7 7 7 7
0 8 0 0 7 0 0 0 0
0 8 0 0 7 0 0 0 0
0 8 0 0 7 0 0 0 0
0 8 0 0 7 0 0 0 0
8 8 8 8 2 8 8 8 8
0 8 0 0 7 0 0 0 0
0 8 0 0 7 0 0 0 0"
1d6047e4.json,"5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
5 7 7 7 7 7 5 5 5 5 5 5 5 5 5 5 5
5 7 7 7 7 7 5 5 5 5 5 5 5 5 5 5 5
5 7 7 7 7 7 3 3 3 3 5 5 5 5 5 5 5
5 7 7 7 7 7 3 3 3 3 5 5 5 5 5 5 5
5 7 7 7 7 7 5 5 5 5 5 5 5 5 5 5 5
5 7 7 7 7 7 5 5 5 5 5 5 5 5 5 5 5
5 7 7 7 7 7 5 5 5 5 5 5 5 5 5 5 5
5 7 7 7 7 7 5 5 5 5 5 5 5 5 5 5 5
5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5"
1ebe463f.json,"6 6 6 6 6 0 0 0 0 0
4 4 6 4 4 0 0 0 0 0
4 6 6 6 4 0 0 0 0 0
4 6 6 6 4 0 0 0 0 0
4 4 4 4 4 0 0 0 0 0
0 0 0 0 2 2 2 2 2 0
0 0 0 0 4 4 2 4 4 0
0 0 0 0 4 2 2 2 4 0
0 0 0 0 4 2 2 2 4 0
0 0 0 0 4 4 4 4 4 0"
1fecb230.json,"0 0 3 3 0 0
3 2 1 1 2 3
2 2 3 3 2 2
2 2 3 3 2 2
3 2 1 1 2 3
0 0 3 3 0 0"
2457ad86.json,"5 0 0 0 5 0 0 0
5 6 0 0 5 6 0 0
0 6 3 0 0 6 3 0
3 3 2 0 3 3 2 0
0 0 0 2 0 0 0 2"
22ce9a74.json,"5 0 0
0 0 0
0 0 0"
24c81b1e.json,"6 5 5 5 9 5 5 5 3 5
5 5 5 5 5 5 5 5 5 5
5 5 9 9 9 9 9 5 3 3
5 5 9 9 9 9 9 5 3 3
5 5 9 9 9 9 9 5 3 3
5 5 9 9 9 9 9 5 3 3
5 5 5 5 5 5 5 5 3 3
6 6 6 6 5 5 5 5 3 3
6 6 6 6 5 5 5 5 3 3
5 5 5 5 5 5 5 5 5 5"
20dd834a.json,"8 8 8 8 8 8 8 0 1 1 0 1 1 1 0 8 8 8 8 8 8
8 8 0 8 8 8 8 8 8 8 1 8 8 8 1 8 8 8 8 8 8
8 8 8 8 8 8 8 8 8 8 0 8 8 8 1 8 8 8 8 8 8
8 8 8 8 8 8 8 8 8 8 1 8 8 8 1 8 8 8 8 0 8
8 8 8 8 8 8 8 8 8 0 1 8 8 8 1 8 8 8 8 8 8
8 0 8 8 8 8 8 8 8 1 1 8 8 8 1 8 8 8 8 8 8
8 1 8 8 8 8 0 8 8 1 1 8 8 8 1 8 8 8 8 8 8
8 0 8 8 8 8 1 8 8 1 1 8 8 8 1 8 8 8 8 8 8
8 1 8 8 8 8 1 8 8 1 0 8 8 8 1 8 8 8 8 8 8
8 1 8 8 8 8 1 8 8 1 8 0 8 8 1 8 8 8 8 8 8
8 1 8 8 8 8 1 8 8 1 8 8 8 0 1 8 8 8 8 8 8
8 1 8 8 8 8 1 8 8 1 8 8 8 8 1 8 8 8 8 8 8
8 1 8 8 8 8 1 8 8 0 8 8 8 8 1 8 8 8 8 8 8
8 1 8 8 8 8 1 8 8 8 8 8 8 8 1 8 8 8 8 8 8
8 1 8 8 8 8 0 1 1 1 1 1 1 1 0 8 8 8 8 8 8
8 1 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
8 0 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
8 1 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
8 0 1 0 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8"
251660ff.json,"4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
4 4 4 4 4 4 4 1 4 4 4 4 4 4 4
4 4 4 3 3 3 3 3 3 3 3 3 4 4 4
4 4 4 3 4 4 4 4 4 4 4 3 4 4 4
4 4 4 3 4 4 4 4 4 4 4 3 4 4 4
4 4 4 3 4 3 3 3 3 4 4 3 4 4 4
4 4 1 3 4 3 4 4 3 4 4 3 4 4 4
4 4 4 3 4 3 3 3 3 4 4 3 4 4 4
4 4 4 3 4 4 4 4 4 4 4 3 4 4 4
4 4 4 3 4 4 4 4 4 4 4 3 1 4 4
4 4 4 3 4 4 4 4 4 4 4 3 4 4 4
4 4 4 3 4 4 4 4 4 4 4 3 4 4 4
4 4 4 3 3 3 3 3 3 3 3 3 4 4 4
4 4 4 4 4 1 4 4 4 4 4 4 4 4 4
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4"
25cf7ee6.json,"0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 2
0 0 2 2 0 3 3 0 0 2
0 2 2 0 0 0 3 0 0 2
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
3 0 0 0 0 0 0 0 0 0
3 0 0 5 5 0 0 5 0 0
3 0 0 0 0 0 0 5 0 0
0 0 0 0 0 0 0 0 0 0"
25986162.json,"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 4 4 0 0 0 0 0 0 0 0 0 1 1 1 0
4 4 4 4 0 0 0 0 0 0 0 0 1 1 1 1
4 0 0 4 0 0 0 0 0 0 0 0 1 0 0 1
4 4 4 4 0 0 0 0 0 0 0 0 1 1 1 1
0 0 0 0 3 3 0 0 3 3 0 0 0 0 0 0
0 0 0 0 3 3 3 3 3 3 3 3 0 0 0 0
0 0 0 0 3 0 0 3 3 0 0 3 4 4 0 0
0 0 0 0 3 3 3 3 3 3 3 3 4 4 4 4
0 4 4 0 0 0 0 0 0 0 0 0 4 0 0 4
4 4 4 4 0 0 0 0 0 0 0 0 4 4 4 4
4 0 0 4 0 0 0 0 0 0 0 0 4 0 0 4
4 4 4 4 0 0 0 0 0 0 0 0 4 4 4 4"
21196188.json,"8 8 8 4 8 4 4 8 4
8 8 8 8 4 4 8 4 4
8 8 8 4 8 8 8 4 8
8 8 8 8 8 0 8 8 8
8 8 8 0 0 0 8 8 8
8 8 8 8 0 8 8 8 8"
26576fca.json,"0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 2 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2
1 1 1 1 1 1 1 1 1 1 2 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 2 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 2 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 2 0 0 0 0 0
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
0 0 0 2 0 0 0 0 0 0 2 0 2 0 0 0
2 2 2 2 0 0 0 0 0 0 2 0 2 0 0 0
0 0 0 2 0 0 0 0 0 0 2 0 2 0 0 0"
