Task,gemma-4-31b-it
02aa4c52.json,"Total: 140.23s (Raciocínio: 137.57s, Formatação: 2.66s)"
01732839.json,"Total: 251.71s (Raciocínio: 243.57s, Formatação: 8.15s)"
0350ccb2.json,"Total: 200.27s (Raciocínio: 197.15s, Formatação: 3.12s)"
01f9c076.json,"Total: 455.84s (Raciocínio: 440.55s, Formatação: 15.29s)"
03986ae6.json,"Total: 349.31s (Raciocínio: 346.97s, Formatação: 2.34s)"
03ec5fc2.json,"Total: 189.93s (Raciocínio: 184.47s, Formatação: 5.45s)"
00583ef7.json,"Total: 688.19s (Raciocínio: 684.09s, Formatação: 4.10s)"
03c1877b.json,"Total: 355.12s (Raciocínio: 336.48s, Formatação: 18.63s)"
068c0f22.json,"Total: 104.10s (Raciocínio: 94.62s, Formatação: 9.48s)"
03fcf234.json,"Total: 251.23s (Raciocínio: 225.72s, Formatação: 25.51s)"
061c9f11.json,"Total: 296.52s (Raciocínio: 292.35s, Formatação: 4.17s)"
05cb80e4.json,"Total: 315.74s (Raciocínio: 307.92s, Formatação: 7.82s)"
0799c68a.json,"Total: 62.66s (Raciocínio: 59.36s, Formatação: 3.30s)"
06b7cffb.json,"Total: 223.64s (Raciocínio: 214.60s, Formatação: 9.04s)"
0b8ca772.json,"Total: 119.05s (Raciocínio: 112.26s, Formatação: 6.79s)"
0a9b1fef.json,"Total: 175.72s (Raciocínio: 172.87s, Formatação: 2.85s)"
103d635a.json,"Total: 79.10s (Raciocínio: 76.45s, Formatação: 2.65s)"
0e487d19.json,"Total: 148.33s (Raciocínio: 145.62s, Formatação: 2.71s)"
0a1b886d.json,"Total: 399.89s (Raciocínio: 377.71s, Formatação: 22.17s)"
0c53f835.json,"Total: 332.11s (Raciocínio: 304.55s, Formatação: 27.56s)"
14e00937.json,"Total: 93.57s (Raciocínio: 76.70s, Formatação: 16.86s)"
1524d8de.json,"Total: 146.35s (Raciocínio: 133.94s, Formatação: 12.41s)"
12066d82.json,"Total: 318.74s (Raciocínio: 309.77s, Formatação: 8.97s)"
18208bd6.json,"Total: 219.28s (Raciocínio: 216.71s, Formatação: 2.56s)"
17fa274f.json,"Total: 330.39s (Raciocínio: 323.90s, Formatação: 6.49s)"
15c4651a.json,"Total: 355.49s (Raciocínio: 341.15s, Formatação: 14.34s)"
1c2d48b8.json,"Total: 284.21s (Raciocínio: 269.96s, Formatação: 14.25s)"
1cf44aae.json,"Total: 249.51s (Raciocínio: 222.36s, Formatação: 27.14s)"
1e1d05d5.json,"Total: 249.44s (Raciocínio: 241.33s, Formatação: 8.11s)"
1d6047e4.json,"Total: 330.65s (Raciocínio: 316.15s, Formatação: 14.50s)"
1ebe463f.json,"Total: 235.98s (Raciocínio: 227.79s, Formatação: 8.19s)"
1fecb230.json,"Total: 89.88s (Raciocínio: 85.54s, Formatação: 4.34s)"
2457ad86.json,"Total: 62.32s (Raciocínio: 58.36s, Formatação: 3.96s)"
22ce9a74.json,"Total: 262.41s (Raciocínio: 258.92s, Formatação: 3.48s)"
24c81b1e.json,"Total: 175.15s (Raciocínio: 134.17s, Formatação: 40.98s)"
20dd834a.json,"Total: 387.87s (Raciocínio: 363.11s, Formatação: 24.76s)"
251660ff.json,"Total: 221.21s (Raciocínio: 205.83s, Formatação: 15.38s)"
25cf7ee6.json,"Total: 284.80s (Raciocínio: 276.01s, Formatação: 8.79s)"
25986162.json,"Total: 401.17s (Raciocínio: 384.17s, Formatação: 16.99s)"
21196188.json,"Total: 794.95s (Raciocínio: 789.04s, Formatação: 5.92s)"
26576fca.json,"Total: 354.72s (Raciocínio: 341.06s, Formatação: 13.66s)"
2bf8da3d.json,"Total: 253.92s (Raciocínio: 233.97s, Formatação: 19.96s)"
2770f153.json,"Total: 385.92s (Raciocínio: 381.71s, Formatação: 4.21s)"
2c696b6e.json,"Total: 222.37s (Raciocínio: 211.56s, Formatação: 10.81s)"
2c67ded9.json,"Total: 362.48s (Raciocínio: 347.57s, Formatação: 14.91s)"
32bff4f2.json,"Total: 113.86s (Raciocínio: 111.60s, Formatação: 2.26s)"
2eecf109.json,"Total: 403.18s (Raciocínio: 376.04s, Formatação: 27.14s)"
31dfb29d.json,"Total: 446.19s (Raciocínio: 439.18s, Formatação: 7.01s)"
3573b13d.json,"Total: 320.80s (Raciocínio: 312.44s, Formatação: 8.36s)"
3b38ae04.json,"Total: 85.18s (Raciocínio: 79.79s, Formatação: 5.39s)"
3926ac83.json,"Total: 346.28s (Raciocínio: 306.62s, Formatação: 39.65s)"
3b11b1a8.json,"Total: 258.09s (Raciocínio: 233.89s, Formatação: 24.20s)"
3b09ee9d.json,"Total: 480.24s (Raciocínio: 449.67s, Formatação: 30.57s)"
3cdfe0da.json,"Total: 278.54s (Raciocínio: 274.99s, Formatação: 3.55s)"
3d60aab7.json,"Total: 116.36s (Raciocínio: 112.37s, Formatação: 3.99s)"
3d4305d7.json,"Total: 169.85s (Raciocínio: 166.78s, Formatação: 3.07s)"
3d2ebf1e.json,"Total: 338.93s (Raciocínio: 331.42s, Formatação: 7.51s)"
3bf29e2f.json,"Total: 544.43s (Raciocínio: 513.41s, Formatação: 31.02s)"
3e1192bc.json,"Total: 183.66s (Raciocínio: 176.29s, Formatação: 7.38s)"
4165b420.json,"Total: 210.51s (Raciocínio: 207.48s, Formatação: 3.03s)"
3eaf1bd8.json,"Total: 296.12s (Raciocínio: 289.21s, Formatação: 6.91s)"
424b55be.json,"Total: 116.40s (Raciocínio: 112.78s, Formatação: 3.62s)"
429bf733.json,"Total: 156.08s (Raciocínio: 145.20s, Formatação: 10.87s)"
3f5e7d5f.json,"Total: 454.15s (Raciocínio: 452.09s, Formatação: 2.06s)"
4742553c.json,"Total: 115.97s (Raciocínio: 110.31s, Formatação: 5.66s)"
449249a5.json,"Total: 320.08s (Raciocínio: 316.29s, Formatação: 3.79s)"
46e07c35.json,"Total: 295.54s (Raciocínio: 286.89s, Formatação: 8.65s)"
4804ca79.json,"Total: 294.47s (Raciocínio: 287.94s, Formatação: 6.53s)"
49926813.json,"Total: 265.16s (Raciocínio: 254.98s, Formatação: 10.17s)"
487cbb39.json,"Total: 443.26s (Raciocínio: 433.47s, Formatação: 9.79s)"
4b560ace.json,"Total: 259.41s (Raciocínio: 255.51s, Formatação: 3.90s)"
4af9e0e1.json,"Total: 487.42s (Raciocínio: 480.94s, Formatação: 6.48s)"
4cefed62.json,"Total: 216.34s (Raciocínio: 209.49s, Formatação: 6.85s)"
4ba3a496.json,"Total: 524.04s (Raciocínio: 504.84s, Formatação: 19.20s)"
4c948e17.json,"Total: 411.77s (Raciocínio: 403.86s, Formatação: 7.91s)"
4c41088c.json,"Total: 458.87s (Raciocínio: 448.05s, Formatação: 10.82s)"
4d17c4f3.json,"Total: 256.56s (Raciocínio: 250.56s, Formatação: 6.00s)"
4de73ca3.json,"Total: 179.25s (Raciocínio: 171.57s, Formatação: 7.68s)"
4d3cb8fa.json,"Total: 259.78s (Raciocínio: 243.48s, Formatação: 16.31s)"
4f0f5201.json,"Total: 253.49s (Raciocínio: 245.71s, Formatação: 7.78s)"
4f132c25.json,"Total: 206.85s (Raciocínio: 202.85s, Formatação: 4.00s)"
517abcd9.json,"Total: 112.80s (Raciocínio: 110.56s, Formatação: 2.24s)"
54e810b2.json,"Total: 133.47s (Raciocínio: 130.78s, Formatação: 2.69s)"
5132d9d7.json,"Total: 315.54s (Raciocínio: 307.21s, Formatação: 8.33s)"
5673ca05.json,"Total: 89.40s (Raciocínio: 81.74s, Formatação: 7.65s)"
4f3072b8.json,"Total: 448.86s (Raciocínio: 445.40s, Formatação: 3.46s)"
5526e9ec.json,"Total: 260.87s (Raciocínio: 249.91s, Formatação: 10.96s)"
586ac23d.json,"Total: 181.69s (Raciocínio: 178.32s, Formatação: 3.36s)"
5954bad3.json,"Total: 240.08s (Raciocínio: 225.30s, Formatação: 14.77s)"
579b349d.json,"Total: 422.36s (Raciocínio: 414.26s, Formatação: 8.09s)"
59e92c20.json,"Total: 166.02s (Raciocínio: 163.11s, Formatação: 2.91s)"
5a99c47a.json,"Total: 275.41s (Raciocínio: 263.81s, Formatação: 11.60s)"
5aa8abaf.json,"Total: 227.29s (Raciocínio: 216.48s, Formatação: 10.81s)"
5ac22e10.json,"Total: 171.85s (Raciocínio: 168.32s, Formatação: 3.53s)"
5aa90e4c.json,"Total: 308.79s (Raciocínio: 296.01s, Formatação: 12.77s)"
5c4a3fc7.json,"Total: 181.22s (Raciocínio: 169.21s, Formatação: 12.01s)"
5b007ac9.json,"Total: 223.38s (Raciocínio: 215.06s, Formatação: 8.32s)"
5df0d917.json,"Total: 239.73s (Raciocínio: 230.98s, Formatação: 8.75s)"
5c7f6979.json,"Total: 497.81s (Raciocínio: 457.94s, Formatação: 39.87s)"
5cad69ba.json,"Total: 457.23s (Raciocínio: 455.17s, Formatação: 2.06s)"
5e030628.json,"Total: 406.14s (Raciocínio: 386.69s, Formatação: 19.45s)"
5f2801e0.json,"Total: 250.38s (Raciocínio: 240.71s, Formatação: 9.67s)"
602c23c6.json,"Total: 237.21s (Raciocínio: 223.51s, Formatação: 13.70s)"
65dfcaf5.json,"Total: 190.51s (Raciocínio: 182.29s, Formatação: 8.22s)"
63c6dcce.json,"Total: 317.15s (Raciocínio: 309.47s, Formatação: 7.68s)"
672d5498.json,"Total: 189.69s (Raciocínio: 181.89s, Formatação: 7.80s)"
6729c50b.json,"Total: 306.42s (Raciocínio: 298.09s, Formatação: 8.33s)"
67377d82.json,"Total: 221.06s (Raciocínio: 211.80s, Formatação: 9.26s)"
6858bec1.json,"Total: 146.77s (Raciocínio: 143.19s, Formatação: 3.58s)"
6772471b.json,"Total: 288.54s (Raciocínio: 278.05s, Formatação: 10.49s)"
6a6fb49b.json,"Total: 184.75s (Raciocínio: 170.91s, Formatação: 13.85s)"
69623d32.json,"Total: 269.97s (Raciocínio: 263.04s, Formatação: 6.93s)"
6aa7a7fd.json,"Total: 235.18s (Raciocínio: 227.71s, Formatação: 7.47s)"
6bff29fc.json,"Total: 182.36s (Raciocínio: 156.74s, Formatação: 25.62s)"
6c7c69f4.json,"Total: 250.67s (Raciocínio: 242.39s, Formatação: 8.28s)"
6bfd9708.json,"Total: 427.03s (Raciocínio: 423.87s, Formatação: 3.17s)"
6d1b923a.json,"Total: 135.63s (Raciocínio: 131.29s, Formatação: 4.34s)"
6cc07476.json,"Total: 367.82s (Raciocínio: 338.96s, Formatação: 28.86s)"
6cdd74d0.json,"Total: 356.46s (Raciocínio: 353.40s, Formatação: 3.06s)"
6f503bc0.json,"Total: 187.43s (Raciocínio: 180.60s, Formatação: 6.82s)"
7080b938.json,"Total: 307.60s (Raciocínio: 293.58s, Formatação: 14.02s)"
72cbad0f.json,"Total: 217.61s (Raciocínio: 214.23s, Formatação: 3.38s)"
73609f56.json,"Total: 271.83s (Raciocínio: 252.48s, Formatação: 19.35s)"
719d2b5d.json,"Total: 343.33s (Raciocínio: 331.05s, Formatação: 12.28s)"
73b65072.json,"Total: 190.57s (Raciocínio: 179.53s, Formatação: 11.03s)"
740f0b29.json,"Total: 227.48s (Raciocínio: 222.73s, Formatação: 4.75s)"
759fcdfb.json,"Total: 215.08s (Raciocínio: 210.52s, Formatação: 4.56s)"
76385413.json,"Total: 198.76s (Raciocínio: 190.56s, Formatação: 8.19s)"
74826c0e.json,"Total: 341.87s (Raciocínio: 330.32s, Formatação: 11.55s)"
771e34a9.json,"Total: 197.04s (Raciocínio: 194.35s, Formatação: 2.68s)"
7750cfcd.json,"Total: 135.27s (Raciocínio: 130.06s, Formatação: 5.21s)"
78710c74.json,"Total: 143.91s (Raciocínio: 137.73s, Formatação: 6.18s)"
77f8996c.json,"Total: 178.52s (Raciocínio: 172.13s, Formatação: 6.39s)"
77bc6086.json,"Total: 277.77s (Raciocínio: 274.16s, Formatação: 3.60s)"
77c5c228.json,"Total: 238.27s (Raciocínio: 231.04s, Formatação: 7.23s)"
7bc5006f.json,"Total: 134.69s (Raciocínio: 132.08s, Formatação: 2.61s)"
7a5883f0.json,"Total: 241.91s (Raciocínio: 221.86s, Formatação: 20.05s)"
78f39201.json,"Total: 353.88s (Raciocínio: 325.34s, Formatação: 28.55s)"
7b43a1b1.json,"Total: 407.27s (Raciocínio: 376.35s, Formatação: 30.92s)"
7c0638da.json,"Total: 292.54s (Raciocínio: 284.46s, Formatação: 8.08s)"
7efdd3b5.json,"Total: 120.00s (Raciocínio: 116.65s, Formatação: 3.35s)"
7d4685c9.json,"Total: 244.81s (Raciocínio: 238.33s, Formatação: 6.48s)"
7c9a1e14.json,"Total: 354.38s (Raciocínio: 351.59s, Formatação: 2.78s)"
7f513f90.json,"Total: 160.07s (Raciocínio: 154.31s, Formatação: 5.77s)"
7faa89cf.json,"Total: 159.86s (Raciocínio: 151.41s, Formatação: 8.45s)"
7ff8b18b.json,"Total: 226.47s (Raciocínio: 198.21s, Formatação: 28.26s)"
8447fe21.json,"Total: 236.54s (Raciocínio: 228.75s, Formatação: 7.79s)"
85ed3810.json,"Total: 164.45s (Raciocínio: 154.52s, Formatação: 9.93s)"
86c075b1.json,"Total: 192.28s (Raciocínio: 180.87s, Formatação: 11.41s)"
8222c6ab.json,"Total: 505.66s (Raciocínio: 494.98s, Formatação: 10.67s)"
84618f29.json,"Total: 449.60s (Raciocínio: 445.35s, Formatação: 4.25s)"
87957ace.json,"Total: 202.92s (Raciocínio: 194.32s, Formatação: 8.60s)"
8a04eaef.json,"Total: 71.17s (Raciocínio: 68.37s, Formatação: 2.80s)"
87f3c7b2.json,"Total: 166.67s (Raciocínio: 149.30s, Formatação: 17.38s)"
87d82907.json,"Total: 197.76s (Raciocínio: 193.72s, Formatação: 4.04s)"
8ed8ff48.json,"Total: 216.62s (Raciocínio: 214.57s, Formatação: 2.05s)"
8f341094.json,"Total: 216.62s (Raciocínio: 208.91s, Formatação: 7.70s)"
8f05ee98.json,"Total: 268.85s (Raciocínio: 245.49s, Formatação: 23.35s)"
8f7bc0f8.json,"Total: 154.59s (Raciocínio: 146.65s, Formatação: 7.94s)"
8ffa87ab.json,"Total: 137.09s (Raciocínio: 130.18s, Formatação: 6.91s)"
8fb959cb.json,"Total: 168.13s (Raciocínio: 164.26s, Formatação: 3.87s)"
9019497d.json,"Total: 163.14s (Raciocínio: 154.90s, Formatação: 8.24s)"
90cc7a9a.json,"Total: 159.17s (Raciocínio: 148.54s, Formatação: 10.63s)"
8d5aec32.json,"Total: 705.25s (Raciocínio: 680.83s, Formatação: 24.41s)"
90626514.json,"Total: 326.58s (Raciocínio: 321.23s, Formatação: 5.35s)"
9644ac22.json,"Total: 160.26s (Raciocínio: 157.38s, Formatação: 2.88s)"
954624ab.json,"Total: 167.62s (Raciocínio: 156.39s, Formatação: 11.23s)"
914e2e57.json,"Total: 236.37s (Raciocínio: 231.67s, Formatação: 4.70s)"
96f44769.json,"Total: 199.06s (Raciocínio: 188.55s, Formatação: 10.50s)"
974790e2.json,"Total: 265.42s (Raciocínio: 255.22s, Formatação: 10.20s)"
9766ce7b.json,"Total: 347.01s (Raciocínio: 333.41s, Formatação: 13.59s)"
97e56906.json,"Total: 148.74s (Raciocínio: 144.08s, Formatação: 4.66s)"
99f69d0a.json,"Total: 100.98s (Raciocínio: 98.24s, Formatação: 2.74s)"
96507d79.json,"Total: 439.24s (Raciocínio: 418.99s, Formatação: 20.25s)"
9d59e11b.json,"Total: 120.34s (Raciocínio: 112.46s, Formatação: 7.88s)"
9e40aa5a.json,"Total: 173.94s (Raciocínio: 169.18s, Formatação: 4.76s)"
9d40b9ad.json,"Total: 333.75s (Raciocínio: 312.02s, Formatação: 21.73s)"
9d7bf1bb.json,"Total: 330.58s (Raciocínio: 318.86s, Formatação: 11.72s)"
9e5953f4.json,"Total: 228.44s (Raciocínio: 225.98s, Formatação: 2.46s)"
9ee21e11.json,"Total: 266.04s (Raciocínio: 250.45s, Formatação: 15.59s)"
a01a896d.json,"Total: 290.07s (Raciocínio: 282.36s, Formatação: 7.71s)"
a209844f.json,"Total: 260.88s (Raciocínio: 253.95s, Formatação: 6.93s)"
a1d1effe.json,"Total: 349.87s (Raciocínio: 342.13s, Formatação: 7.74s)"
a3cbcb26.json,"Total: 152.45s (Raciocínio: 150.14s, Formatação: 2.30s)"
a2363642.json,"Total: 320.99s (Raciocínio: 302.48s, Formatação: 18.51s)"
a3b80c24.json,"Total: 191.17s (Raciocínio: 188.30s, Formatação: 2.87s)"
a491e795.json,"Total: 274.65s (Raciocínio: 269.56s, Formatação: 5.09s)"
a63b25fd.json,"Total: 233.28s (Raciocínio: 229.92s, Formatação: 3.36s)"
a7963dec.json,"Total: 241.50s (Raciocínio: 239.11s, Formatação: 2.39s)"
a5b8e110.json,"Total: 303.68s (Raciocínio: 299.33s, Formatação: 4.35s)"
a88e2178.json,"Total: 140.71s (Raciocínio: 137.88s, Formatação: 2.83s)"
a8cfb850.json,"Total: 159.18s (Raciocínio: 152.30s, Formatação: 6.88s)"
a8f34a86.json,"Total: 236.35s (Raciocínio: 223.41s, Formatação: 12.93s)"
ae865e32.json,"Total: 107.85s (Raciocínio: 99.02s, Formatação: 8.84s)"
acb5791b.json,"Total: 207.69s (Raciocínio: 205.07s, Formatação: 2.62s)"
ac893b0a.json,"Total: 273.68s (Raciocínio: 264.40s, Formatação: 9.28s)"
aef79a55.json,"Total: 229.69s (Raciocínio: 211.68s, Formatação: 18.00s)"
aecf68a8.json,"Total: 263.08s (Raciocínio: 255.37s, Formatação: 7.72s)"
b1dc6389.json,"Total: 250.21s (Raciocínio: 235.49s, Formatação: 14.72s)"
b1baac3b.json,"Total: 428.11s (Raciocínio: 421.91s, Formatação: 6.20s)"
b7bccc2e.json,"Total: 236.07s (Raciocínio: 230.41s, Formatação: 5.66s)"
b7887ce3.json,"Total: 257.10s (Raciocínio: 252.93s, Formatação: 4.17s)"
b7be8043.json,"Total: 355.86s (Raciocínio: 340.31s, Formatação: 15.55s)"
b97f6704.json,"Total: 222.47s (Raciocínio: 203.10s, Formatação: 19.37s)"
b8969659.json,"Total: 311.85s (Raciocínio: 300.80s, Formatação: 11.06s)"
b8df5a89.json,"Total: 259.20s (Raciocínio: 255.98s, Formatação: 3.22s)"
b9bb9de2.json,"Total: 181.17s (Raciocínio: 175.27s, Formatação: 5.89s)"
bd9c312f.json,"Total: 185.77s (Raciocínio: 182.02s, Formatação: 3.75s)"
bdb46817.json,"Total: 217.16s (Raciocínio: 209.02s, Formatação: 8.14s)"
bc73d160.json,"Total: 437.97s (Raciocínio: 434.68s, Formatação: 3.29s)"
be90cdba.json,"Total: 343.25s (Raciocínio: 336.25s, Formatação: 7.00s)"
bf6331e1.json,"Total: 190.34s (Raciocínio: 183.25s, Formatação: 7.08s)"
bedf36c7.json,"Total: 312.51s (Raciocínio: 273.51s, Formatação: 38.99s)"
bfe27782.json,"Total: 199.59s (Raciocínio: 196.21s, Formatação: 3.38s)"
c02078b0.json,"Total: 211.50s (Raciocínio: 194.03s, Formatação: 17.47s)"
c0273a0c.json,"Total: 228.85s (Raciocínio: 225.45s, Formatação: 3.40s)"
c0f088de.json,"Total: 249.47s (Raciocínio: 243.77s, Formatação: 5.71s)"
c13d9330.json,"Total: 156.15s (Raciocínio: 148.27s, Formatação: 7.88s)"
c15ef454.json,"Total: 187.17s (Raciocínio: 179.37s, Formatação: 7.80s)"
c11413aa.json,"Total: 288.43s (Raciocínio: 279.13s, Formatação: 9.30s)"
c4c53722.json,"Total: 77.90s (Raciocínio: 75.35s, Formatação: 2.55s)"
c19e3b2a.json,"Total: 194.90s (Raciocínio: 187.50s, Formatação: 7.40s)"
c61d923e.json,"Total: 138.39s (Raciocínio: 136.22s, Formatação: 2.17s)"
c161e1e1.json,"Total: 470.86s (Raciocínio: 456.41s, Formatação: 14.44s)"
c5a02579.json,"Total: 251.85s (Raciocínio: 246.28s, Formatação: 5.57s)"
c23300c7.json,"Total: 468.68s (Raciocínio: 457.38s, Formatação: 11.30s)"
c6a051f4.json,"Total: 189.30s (Raciocínio: 178.58s, Formatação: 10.72s)"
c84c3d08.json,"Total: 227.72s (Raciocínio: 221.47s, Formatação: 6.25s)"
c6390d09.json,"Total: 363.69s (Raciocínio: 338.76s, Formatação: 24.94s)"
ca6553b2.json,"Total: 167.49s (Raciocínio: 164.97s, Formatação: 2.51s)"
ca24a223.json,"Total: 373.37s (Raciocínio: 362.00s, Formatação: 11.37s)"
ca7d464d.json,"Total: 267.79s (Raciocínio: 261.94s, Formatação: 5.85s)"
cc9e2d8f.json,"Total: 230.60s (Raciocínio: 227.51s, Formatação: 3.10s)"
ccce1457.json,"Total: 106.33s (Raciocínio: 98.20s, Formatação: 8.13s)"
cc062c78.json,"Total: 327.24s (Raciocínio: 313.51s, Formatação: 13.73s)"
ce0d4751.json,"Total: 133.67s (Raciocínio: 127.96s, Formatação: 5.71s)"
ce0dbaf8.json,"Total: 179.42s (Raciocínio: 172.01s, Formatação: 7.41s)"
ced4769e.json,"Total: 241.87s (Raciocínio: 226.93s, Formatação: 14.94s)"
cd579a8d.json,"Total: 357.19s (Raciocínio: 338.83s, Formatação: 18.36s)"
d0d125db.json,"Total: 74.84s (Raciocínio: 66.00s, Formatação: 8.84s)"
cf0647d9.json,"Total: 279.94s (Raciocínio: 273.35s, Formatação: 6.59s)"
cfabd1e7.json,"Total: 261.18s (Raciocínio: 238.03s, Formatação: 23.14s)"
d225639e.json,"Total: 307.65s (Raciocínio: 291.00s, Formatação: 16.65s)"
d2413b63.json,"Total: 302.00s (Raciocínio: 260.26s, Formatação: 41.73s)"
d3721a46.json,"Total: 256.19s (Raciocínio: 247.99s, Formatação: 8.20s)"
d4e6485c.json,"Total: 171.95s (Raciocínio: 168.40s, Formatação: 3.56s)"
d386aab2.json,"Total: 326.73s (Raciocínio: 322.50s, Formatação: 4.22s)"
d5eb2ca4.json,"Total: 315.35s (Raciocínio: 300.00s, Formatação: 15.35s)"
d61c6534.json,"Total: 219.60s (Raciocínio: 211.28s, Formatação: 8.32s)"
d3cd7f1f.json,"Total: 341.55s (Raciocínio: 321.28s, Formatação: 20.27s)"
d63bf5ed.json,"Total: 248.31s (Raciocínio: 245.83s, Formatação: 2.48s)"
d6ae3c52.json,"Total: 302.24s (Raciocínio: 261.12s, Formatação: 41.12s)"
d8975cbd.json,"Total: 119.79s (Raciocínio: 116.09s, Formatação: 3.70s)"
d88c88ac.json,"Total: 246.94s (Raciocínio: 238.82s, Formatação: 8.12s)"
da6ec663.json,"Total: 86.42s (Raciocínio: 83.38s, Formatação: 3.04s)"
db754fc7.json,"Total: 121.58s (Raciocínio: 117.34s, Formatação: 4.24s)"
d8a4cefa.json,"Total: 241.33s (Raciocínio: 234.66s, Formatação: 6.67s)"
dc4b90e9.json,"Total: 128.75s (Raciocínio: 124.51s, Formatação: 4.24s)"
dc992084.json,"Total: 51.68s (Raciocínio: 47.04s, Formatação: 4.64s)"
d9622a4c.json,"Total: 350.70s (Raciocínio: 343.31s, Formatação: 7.39s)"
