Task,gemma-4-31b-it
02aa4c52.json,"Total: 6158 (Prompt: 1126, Resposta: 729, Pensamento: 4303)"
01732839.json,"Total: 10670 (Prompt: 1664, Resposta: 1054, Pensamento: 7952)"
0350ccb2.json,"Total: 7980 (Prompt: 1015, Resposta: 623, Pensamento: 6342)"
01f9c076.json,"Total: 13733 (Prompt: 4939, Resposta: 2001, Pensamento: 6793)"
03986ae6.json,"Total: 14240 (Prompt: 1619, Resposta: 803, Pensamento: 11818)"
03ec5fc2.json,"Total: 8726 (Prompt: 1837, Resposta: 1265, Pensamento: 5624)"
00583ef7.json,"Total: 15069 (Prompt: 2600, Resposta: 1078, Pensamento: 11391)"
03c1877b.json,"Total: 16541 (Prompt: 4185, Resposta: 1951, Pensamento: 10405)"
068c0f22.json,"Total: 4539 (Prompt: 1056, Resposta: 634, Pensamento: 2849)"
03fcf234.json,"Total: 10605 (Prompt: 2185, Resposta: 1177, Pensamento: 7243)"
061c9f11.json,"Total: 12518 (Prompt: 1801, Resposta: 1024, Pensamento: 9693)"
05cb80e4.json,"Total: 13757 (Prompt: 2400, Resposta: 971, Pensamento: 10386)"
0799c68a.json,"Total: 2990 (Prompt: 876, Resposta: 488, Pensamento: 1626)"
06b7cffb.json,"Total: 10911 (Prompt: 2849, Resposta: 1269, Pensamento: 6793)"
0b8ca772.json,"Total: 5528 (Prompt: 1314, Resposta: 878, Pensamento: 3336)"
0a9b1fef.json,"Total: 8401 (Prompt: 2350, Resposta: 598, Pensamento: 5453)"
103d635a.json,"Total: 3891 (Prompt: 1068, Resposta: 648, Pensamento: 2175)"
0e487d19.json,"Total: 7161 (Prompt: 1799, Resposta: 690, Pensamento: 4672)"
0a1b886d.json,"Total: 20031 (Prompt: 5496, Resposta: 2146, Pensamento: 12389)"
0c53f835.json,"Total: 16873 (Prompt: 5603, Resposta: 2324, Pensamento: 8946)"
14e00937.json,"Total: 4031 (Prompt: 1229, Resposta: 618, Pensamento: 2184)"
1524d8de.json,"Total: 7939 (Prompt: 3172, Resposta: 1530, Pensamento: 3237)"
12066d82.json,"Total: 11299 (Prompt: 1294, Resposta: 937, Pensamento: 9068)"
18208bd6.json,"Total: 10480 (Prompt: 2557, Resposta: 710, Pensamento: 7213)"
17fa274f.json,"Total: 13834 (Prompt: 2096, Resposta: 1344, Pensamento: 10394)"
15c4651a.json,"Total: 17665 (Prompt: 4813, Resposta: 1873, Pensamento: 10979)"
1c2d48b8.json,"Total: 11328 (Prompt: 2247, Resposta: 1243, Pensamento: 7838)"
1cf44aae.json,"Total: 12009 (Prompt: 3839, Resposta: 638, Pensamento: 7532)"
1e1d05d5.json,"Total: 11057 (Prompt: 2357, Resposta: 1537, Pensamento: 7163)"
1d6047e4.json,"Total: 16767 (Prompt: 5046, Resposta: 1803, Pensamento: 9918)"
