Task,gemma-4-31b-it
01329eb7.json,CORRECT
01613f44.json,CORRECT
001c8ad3.json,INCORRECT
0032aa75.json,INCORRECT
019663f7.json,CORRECT
02da6c75.json,CORRECT
032d3332.json,CORRECT
03dc4d78.json,CORRECT
046a7efd.json,INCORRECT
05c8acf6.json,INCORRECT
05e51828.json,CORRECT
05a6bcc7.json,INCORRECT
0575aa9a.json,CORRECT
06152bc4.json,INCORRECT
070b8dfe.json,CORRECT
067110be.json,INCORRECT
07f4cdbd.json,CORRECT
08057cf6.json,CORRECT
08bee0c9.json,CORRECT
090173db.json,INCORRECT
0a710c9d.json,INCORRECT
0a80c04c.json,CORRECT
0a90cf76.json,CORRECT
0ac600f8.json,CORRECT
0acc3296.json,INCORRECT
064b004a.json,CORRECT
0aee39ae.json,CORRECT
0c8c70c7.json,INCORRECT
0d396bc8.json,INCORRECT
0dcc1f4c.json,CORRECT
0e935e8e.json,INCORRECT
0e9d2254.json,CORRECT
0f299605.json,CORRECT
0fbefe36.json,INCORRECT
10710b06.json,INCORRECT
10a1ecce.json,INCORRECT
10e947c6.json,INCORRECT
10f37aa4.json,CORRECT
115049c9.json,INCORRECT
11917376.json,INCORRECT
11e48acb.json,CORRECT
11ec963a.json,INCORRECT
12724983.json,CORRECT
12fe39ca.json,INCORRECT
1309c948.json,INCORRECT
13b4adc3.json,INCORRECT
149cd685.json,INCORRECT
14b1eeaa.json,INCORRECT
14f5ea73.json,CORRECT
161b175b.json,INCORRECT
167827d0.json,INCORRECT
167b7003.json,INCORRECT
16ffb85c.json,CORRECT
1713862d.json,CORRECT
175922ee.json,CORRECT
17e1cf6c.json,INCORRECT
18fbd1a7.json,INCORRECT
19122b72.json,INCORRECT
19a0ec95.json,INCORRECT
19d24172.json,CORRECT
19e645d3.json,INCORRECT
19f7a34f.json,INCORRECT
1a110b1e.json,CORRECT
1a6058cc.json,CORRECT
1ab98981.json,CORRECT
1b124939.json,INCORRECT
1b8bf9e1.json,CORRECT
1bce238c.json,INCORRECT
1bd28b02.json,INCORRECT
1c542d91.json,INCORRECT
1c557f31.json,INCORRECT
1c6836b4.json,CORRECT
1d2c24f6.json,INCORRECT
1d468abf.json,INCORRECT
070b84d5.json,INCORRECT
1de12dc9.json,INCORRECT
1e78da08.json,INCORRECT
1fe73ca5.json,INCORRECT
2026e2f0.json,INCORRECT
203bbaba.json,INCORRECT
206096ef.json,CORRECT
20b14116.json,INCORRECT
20f94a8e.json,INCORRECT
2244d184.json,INCORRECT
2253b352.json,INCORRECT
22eb7af8.json,INCORRECT
2361d3ab.json,INCORRECT
23af396b.json,CORRECT
24318e65.json,CORRECT
246d2e79.json,INCORRECT
2498386c.json,INCORRECT
249f603a.json,INCORRECT
24a82b6b.json,INCORRECT
2508d65c.json,CORRECT
252537f7.json,CORRECT
253e633a.json,CORRECT
25de6aee.json,INCORRECT
261d659f.json,CORRECT
26a26b4f.json,CORRECT
26ab566d.json,CORRECT
26d930bd.json,INCORRECT
2728f090.json,INCORRECT
27e23128.json,INCORRECT
27e9a0fa.json,INCORRECT
2822a591.json,INCORRECT
287c0020.json,INCORRECT
28f3dcec.json,CORRECT
28f427e3.json,CORRECT
294510e0.json,INCORRECT
295649a1.json,CORRECT
29836e31.json,INCORRECT
2cca9e33.json,CORRECT
1daebed7.json,INCORRECT
0bc6ef6a.json,INCORRECT
2daba3eb.json,CORRECT
2e5464af.json,CORRECT
2e6ad090.json,CORRECT
2eb8b8a6.json,INCORRECT
2f4dc5e6.json,INCORRECT
2f7716d6.json,INCORRECT
2fd8c455.json,CORRECT
30c55c1b.json,CORRECT
3379ece0.json,CORRECT
337e7767.json,CORRECT
33ceb969.json,INCORRECT
3447151b.json,INCORRECT
34d6e31c.json,INCORRECT
34e8e22f.json,CORRECT
3513e494.json,CORRECT
353d12cf.json,INCORRECT
357490e7.json,INCORRECT
360a2589.json,INCORRECT
36a13b85.json,INCORRECT
36f50878.json,CORRECT
37102933.json,INCORRECT
3737ff52.json,INCORRECT
38b45b9a.json,INCORRECT
392c8a24.json,INCORRECT
39bdcd90.json,INCORRECT
3aa057db.json,INCORRECT
3ab1e159.json,INCORRECT
3ab36004.json,INCORRECT
3ab8310f.json,INCORRECT
3b1ba621.json,CORRECT
3bc467c8.json,INCORRECT
3c06d5f3.json,INCORRECT
3c2d97d4.json,CORRECT
3c444483.json,INCORRECT
3cd8f567.json,CORRECT
3e0a85fb.json,CORRECT
3e595af6.json,INCORRECT
3eb261da.json,CORRECT
3f4cff57.json,INCORRECT
3f7b6909.json,INCORRECT
3f92cc06.json,INCORRECT
414329f0.json,INCORRECT
42169da2.json,INCORRECT
425720ff.json,INCORRECT
42987e01.json,CORRECT
42c8c185.json,INCORRECT
43289d29.json,CORRECT
4332a5fa.json,INCORRECT
436f0cd8.json,INCORRECT
43a1be05.json,CORRECT
43c5450b.json,CORRECT
43ec8f4a.json,INCORRECT
43fb486b.json,INCORRECT
44129a15.json,INCORRECT
447ad3c4.json,INCORRECT
450c4bc5.json,INCORRECT
454575c8.json,INCORRECT
4549dd20.json,INCORRECT
4551b948.json,CORRECT
4611d6cc.json,INCORRECT
468052ce.json,INCORRECT
47295f38.json,INCORRECT
07883ae1.json,INCORRECT
4783dd7a.json,CORRECT
4819acfb.json,INCORRECT
4835d2c1.json,CORRECT
2d0f04fd.json,CORRECT
2d30b4fe.json,INCORRECT
47979886.json,CORRECT
48a3f076.json,INCORRECT
4957bb64.json,INCORRECT
4b2c7d1c.json,INCORRECT
4b42a65f.json,INCORRECT
4cd3d8b4.json,CORRECT
4d4d2a48.json,CORRECT
4d4d83ff.json,CORRECT
4d557797.json,INCORRECT
4f76bc1d.json,INCORRECT
50894f5b.json,INCORRECT
4b905ed3.json,INCORRECT
4ccb2f60.json,CORRECT
50bc401f.json,CORRECT
496f84ba.json,INCORRECT
50df0f2b.json,CORRECT
50f74b85.json,CORRECT
51f9ddcb.json,CORRECT
51239737.json,INCORRECT
52aa7778.json,CORRECT
5287a11e.json,INCORRECT
53fba4bb.json,INCORRECT
52aa5c38.json,INCORRECT
53707ace.json,CORRECT
54b14bdf.json,INCORRECT
55a4bba3.json,CORRECT
55a932f7.json,CORRECT
55ef957c.json,CORRECT
5716a0e0.json,INCORRECT
5602c564.json,INCORRECT
596e9703.json,CORRECT
58459432.json,INCORRECT
5882c89d.json,INCORRECT
5998e33b.json,INCORRECT
59d5fbe8.json,CORRECT
59cffbbb.json,INCORRECT
5b190aaf.json,CORRECT
5b2c13b6.json,INCORRECT
5cb045e6.json,CORRECT
5cbdf232.json,CORRECT
5ce79aaa.json,INCORRECT
5d6431b4.json,INCORRECT
5d819887.json,CORRECT
5da93083.json,CORRECT
5eb7c7be.json,CORRECT
5f0f1ffc.json,INCORRECT
5f1abc75.json,CORRECT
610ef338.json,INCORRECT
6111a11a.json,CORRECT
618c12d0.json,INCORRECT
620f917b.json,INCORRECT
623264a3.json,INCORRECT
62437113.json,INCORRECT
62aae345.json,INCORRECT
6378cb17.json,CORRECT
6429a6f5.json,INCORRECT
646857e2.json,INCORRECT
64e4a671.json,INCORRECT
6528d002.json,CORRECT
