Task,gemma-4-31b-it
01329eb7.json,"7 7 7 6 2 2 2
7 7 7 6 2 2 2
7 7 7 6 2 2 2
6 6 6 6 6 6 6
7 7 7 6 8 8 8
7 7 7 6 8 8 8
7 7 7 6 8 8 8
6 6 6 6 6 6 6
8 8 8 6 4 4 4
8 8 8 6 4 4 4
8 8 8 6 4 4 4"
01613f44.json,"0 0 0 2 0 0 0 2
0 0 4 2 0 0 4 2
0 5 4 0 0 5 4 0
0 8 5 5 0 8 5 5
8 0 0 0 8 0 0 0"
001c8ad3.json,"0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
8 6 8 6 8 0 0 0
0 0 0 0 0 0 0 0
6 3 6 3 0 0 0 0
0 0 0 0 0 0 0 0
6 2 6 2 6 2 0 0
5 6 5 6 5 0 0 0"
0032aa75.json,"8 1 0 0 0 0 0
1 1 0 0 0 1 1
0 0 0 0 0 1 8
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0"
019663f7.json,4
02da6c75.json,"6 6 6
6 6 6
6 6 6"
032d3332.json,"0 0 6 0
0 5 5 5
6 5 5 5
6 5 5 5
0 0 6 6
0 6 6 0
0 6 6 6
0 6 6 0
0 0 0 6
6 6 0 0
6 6 0 0
6 0 0 0
6 6 6 0
6 0 6 0
0 0 0 6
6 0 6 0
6 6 6 0
0 6 0 0
6 0 6 0
6 0 6 6
0 6 6 6
0 6 6 0
0 6 6 6
6 6 0 0"
03dc4d78.json,"4 8 3 3 8 7 3
1 8 3 3 3 4 8
3 3 3 4 3 1 2
7 3 3 7 3 8 3
4 8 8 1 2 3 4
8 7 2 3 1 1 7
3 8 7 7 8 8 8"
046a7efd.json,"0 2 0 0 0 0 0 0 0 0 0 0
0 6 0 0 0 0 0 0 0 0 0 0
0 2 0 3 0 0 0 0 0 0 0 0
0 2 0 3 0 0 0 0 0 0 0 0
0 6 0 1 0 0 0 0 0 0 0 0
0 2 0 3 0 0 4 0 0 0 0 0
0 6 0 1 0 0 2 0 0 0 0 0
0 2 0 3 0 0 4 0 0 0 0 0
0 6 0 1 0 0 2 0 8 0 0 0
0 6 0 1 0 0 2 0 3 0 0 0
0 0 0 0 0 0 0 0 8 0 0 8
0 0 0 0 0 0 0 0 3 0 0 2
0 0 0 0 0 0 0 0 8 0 0 8
0 0 0 0 0 0 0 0 8 0 0 8
0 0 0 0 0 0 0 0 3 0 0 2
0 0 0 0 0 0 0 0 8 0 0 8
0 0 0 0 0 0 0 0 3 0 0 2
0 0 0 0 0 0 0 0 8 0 0 8
0 0 0 0 0 0 0 0 3 0 0 2
0 0 0 0 0 0 0 0 3 0 0 2"
05c8acf6.json,"1 1 1
1 1 1
1 1 1"
