Task,gemma-4-31b-it
01329eb7.json,"Total: 148.32s (Raciocínio: 141.21s, Formatação: 7.11s)"
01613f44.json,"Total: 220.55s (Raciocínio: 216.12s, Formatação: 4.43s)"
001c8ad3.json,"Total: 327.49s (Raciocínio: 319.72s, Formatação: 7.77s)"
0032aa75.json,"Total: 462.51s (Raciocínio: 457.22s, Formatação: 5.30s)"
019663f7.json,"Total: 326.35s (Raciocínio: 324.32s, Formatação: 2.03s)"
02da6c75.json,"Total: 369.42s (Raciocínio: 366.52s, Formatação: 2.90s)"
032d3332.json,"Total: 387.31s (Raciocínio: 379.42s, Formatação: 7.88s)"
03dc4d78.json,"Total: 363.09s (Raciocínio: 357.78s, Formatação: 5.32s)"
046a7efd.json,"Total: 362.23s (Raciocínio: 344.03s, Formatação: 18.19s)"
05c8acf6.json,"Total: 77.42s (Raciocínio: 75.01s, Formatação: 2.41s)"
05e51828.json,"Total: 161.20s (Raciocínio: 155.76s, Formatação: 5.44s)"
05a6bcc7.json,"Total: 356.13s (Raciocínio: 344.65s, Formatação: 11.48s)"
0575aa9a.json,"Total: 531.66s (Raciocínio: 522.80s, Formatação: 8.86s)"
06152bc4.json,"Total: 275.18s (Raciocínio: 266.39s, Formatação: 8.78s)"
070b8dfe.json,"Total: 323.36s (Raciocínio: 319.12s, Formatação: 4.24s)"
067110be.json,"Total: 463.72s (Raciocínio: 459.45s, Formatação: 4.27s)"
07f4cdbd.json,"Total: 274.90s (Raciocínio: 271.21s, Formatação: 3.69s)"
08057cf6.json,"Total: 153.80s (Raciocínio: 150.88s, Formatação: 2.93s)"
08bee0c9.json,"Total: 263.60s (Raciocínio: 253.93s, Formatação: 9.68s)"
090173db.json,"Total: 220.53s (Raciocínio: 216.93s, Formatação: 3.60s)"
0a710c9d.json,"Total: 392.76s (Raciocínio: 377.74s, Formatação: 15.02s)"
0a80c04c.json,"Total: 372.51s (Raciocínio: 365.53s, Formatação: 6.98s)"
0a90cf76.json,"Total: 297.11s (Raciocínio: 292.70s, Formatação: 4.41s)"
0ac600f8.json,"Total: 207.41s (Raciocínio: 205.17s, Formatação: 2.24s)"
0acc3296.json,"Total: 412.82s (Raciocínio: 404.82s, Formatação: 8.00s)"
064b004a.json,"Total: 258.17s (Raciocínio: 249.84s, Formatação: 8.33s)"
0aee39ae.json,"Total: 237.49s (Raciocínio: 232.15s, Formatação: 5.34s)"
0c8c70c7.json,"Total: 443.24s (Raciocínio: 440.77s, Formatação: 2.47s)"
0d396bc8.json,"Total: 458.65s (Raciocínio: 455.39s, Formatação: 3.26s)"
0dcc1f4c.json,"Total: 311.75s (Raciocínio: 308.96s, Formatação: 2.78s)"
0e935e8e.json,"Total: 378.68s (Raciocínio: 371.14s, Formatação: 7.54s)"
0e9d2254.json,"Total: 193.92s (Raciocínio: 186.35s, Formatação: 7.57s)"
0f299605.json,"Total: 263.54s (Raciocínio: 251.40s, Formatação: 12.14s)"
0fbefe36.json,"Total: 380.03s (Raciocínio: 370.39s, Formatação: 9.64s)"
10710b06.json,"Total: 433.26s (Raciocínio: 426.43s, Formatação: 6.83s)"
10a1ecce.json,"Total: 445.41s (Raciocínio: 441.61s, Formatação: 3.80s)"
10e947c6.json,"Total: 582.27s (Raciocínio: 578.58s, Formatação: 3.69s)"
10f37aa4.json,"Total: 332.90s (Raciocínio: 325.08s, Formatação: 7.82s)"
115049c9.json,"Total: 477.71s (Raciocínio: 454.26s, Formatação: 23.45s)"
11917376.json,"Total: 446.67s (Raciocínio: 438.29s, Formatação: 8.37s)"
11e48acb.json,"Total: 250.52s (Raciocínio: 246.84s, Formatação: 3.68s)"
11ec963a.json,"Total: 356.22s (Raciocínio: 348.33s, Formatação: 7.89s)"
12724983.json,"Total: 320.92s (Raciocínio: 311.88s, Formatação: 9.05s)"
12fe39ca.json,"Total: 459.03s (Raciocínio: 456.19s, Formatação: 2.84s)"
1309c948.json,"Total: 371.28s (Raciocínio: 357.84s, Formatação: 13.44s)"
13b4adc3.json,"Total: 597.13s (Raciocínio: 593.95s, Formatação: 3.18s)"
149cd685.json,"Total: 523.43s (Raciocínio: 456.31s, Formatação: 67.13s)"
14b1eeaa.json,"Total: 265.31s (Raciocínio: 256.58s, Formatação: 8.74s)"
14f5ea73.json,"Total: 116.24s (Raciocínio: 103.65s, Formatação: 12.59s)"
161b175b.json,"Total: 874.51s (Raciocínio: 859.11s, Formatação: 15.40s)"
167827d0.json,"Total: 353.76s (Raciocínio: 328.40s, Formatação: 25.36s)"
167b7003.json,"Total: 402.08s (Raciocínio: 392.02s, Formatação: 10.06s)"
16ffb85c.json,"Total: 246.70s (Raciocínio: 243.60s, Formatação: 3.09s)"
1713862d.json,"Total: 202.04s (Raciocínio: 198.10s, Formatação: 3.94s)"
175922ee.json,"Total: 340.08s (Raciocínio: 314.68s, Formatação: 25.40s)"
17e1cf6c.json,"Total: 472.34s (Raciocínio: 450.33s, Formatação: 22.01s)"
18fbd1a7.json,"Total: 560.41s (Raciocínio: 550.92s, Formatação: 9.48s)"
19122b72.json,"Total: 462.36s (Raciocínio: 454.40s, Formatação: 7.96s)"
19a0ec95.json,"Total: 460.80s (Raciocínio: 457.52s, Formatação: 3.29s)"
19d24172.json,"Total: 124.77s (Raciocínio: 119.22s, Formatação: 5.55s)"
19e645d3.json,"Total: 459.85s (Raciocínio: 452.67s, Formatação: 7.18s)"
19f7a34f.json,"Total: 335.45s (Raciocínio: 326.02s, Formatação: 9.42s)"
1a110b1e.json,"Total: 240.83s (Raciocínio: 232.92s, Formatação: 7.91s)"
1a6058cc.json,"Total: 317.59s (Raciocínio: 312.78s, Formatação: 4.81s)"
1ab98981.json,"Total: 343.50s (Raciocínio: 338.86s, Formatação: 4.64s)"
1b124939.json,"Total: 686.98s (Raciocínio: 681.51s, Formatação: 5.48s)"
1b8bf9e1.json,"Total: 729.73s (Raciocínio: 726.81s, Formatação: 2.92s)"
1bce238c.json,"Total: 475.57s (Raciocínio: 467.75s, Formatação: 7.82s)"
1bd28b02.json,"Total: 409.45s (Raciocínio: 402.91s, Formatação: 6.54s)"
1c542d91.json,"Total: 413.71s (Raciocínio: 393.28s, Formatação: 20.43s)"
1c557f31.json,"Total: 457.98s (Raciocínio: 440.38s, Formatação: 17.61s)"
1c6836b4.json,"Total: 249.28s (Raciocínio: 244.34s, Formatação: 4.94s)"
1d2c24f6.json,"Total: 434.38s (Raciocínio: 427.91s, Formatação: 6.46s)"
1d468abf.json,"Total: 514.01s (Raciocínio: 457.93s, Formatação: 56.08s)"
070b84d5.json,"Total: 465.95s (Raciocínio: 449.94s, Formatação: 16.01s)"
1de12dc9.json,"Total: 445.37s (Raciocínio: 441.26s, Formatação: 4.10s)"
1e78da08.json,"Total: 204.46s (Raciocínio: 193.56s, Formatação: 10.91s)"
1fe73ca5.json,"Total: 411.10s (Raciocínio: 396.85s, Formatação: 14.25s)"
2026e2f0.json,"Total: 388.67s (Raciocínio: 380.05s, Formatação: 8.62s)"
203bbaba.json,"Total: 273.76s (Raciocínio: 265.67s, Formatação: 8.09s)"
206096ef.json,"Total: 146.50s (Raciocínio: 143.18s, Formatação: 3.32s)"
20b14116.json,"Total: 465.85s (Raciocínio: 456.00s, Formatação: 9.84s)"
20f94a8e.json,"Total: 455.71s (Raciocínio: 452.17s, Formatação: 3.54s)"
2244d184.json,"Total: 476.05s (Raciocínio: 451.25s, Formatação: 24.80s)"
2253b352.json,"Total: 463.87s (Raciocínio: 451.87s, Formatação: 11.99s)"
22eb7af8.json,"Total: 378.41s (Raciocínio: 364.08s, Formatação: 14.33s)"
2361d3ab.json,"Total: 340.80s (Raciocínio: 335.61s, Formatação: 5.19s)"
23af396b.json,"Total: 119.31s (Raciocínio: 113.20s, Formatação: 6.11s)"
24318e65.json,"Total: 246.16s (Raciocínio: 240.86s, Formatação: 5.30s)"
246d2e79.json,"Total: 477.74s (Raciocínio: 459.76s, Formatação: 17.97s)"
2498386c.json,"Total: 451.02s (Raciocínio: 428.04s, Formatação: 22.98s)"
