Task,gemma-4-31b-it
01329eb7.json,"Total: 7167 (Prompt: 1909, Resposta: 984, Pensamento: 4274)"
01613f44.json,"Total: 9626 (Prompt: 1753, Resposta: 1333, Pensamento: 6540)"
001c8ad3.json,"Total: 13908 (Prompt: 2182, Resposta: 981, Pensamento: 10745)"
0032aa75.json,"Total: 17806 (Prompt: 1268, Resposta: 669, Pensamento: 15869)"
019663f7.json,"Total: 9486 (Prompt: 1689, Resposta: 464, Pensamento: 7333)"
02da6c75.json,"Total: 16925 (Prompt: 3848, Resposta: 657, Pensamento: 12420)"
032d3332.json,"Total: 16771 (Prompt: 2863, Resposta: 1467, Pensamento: 12441)"
03dc4d78.json,"Total: 14813 (Prompt: 1861, Resposta: 1243, Pensamento: 11709)"
046a7efd.json,"Total: 15581 (Prompt: 2787, Resposta: 1595, Pensamento: 11199)"
05c8acf6.json,"Total: 3654 (Prompt: 928, Resposta: 576, Pensamento: 2150)"
05e51828.json,"Total: 7140 (Prompt: 1534, Resposta: 1124, Pensamento: 4482)"
05a6bcc7.json,"Total: 17791 (Prompt: 5020, Resposta: 1864, Pensamento: 10907)"
0575aa9a.json,"Total: 16373 (Prompt: 2737, Resposta: 1333, Pensamento: 12303)"
06152bc4.json,"Total: 12363 (Prompt: 2677, Resposta: 1279, Pensamento: 8407)"
070b8dfe.json,"Total: 15269 (Prompt: 4083, Resposta: 1093, Pensamento: 10093)"
067110be.json,"Total: 33318 (Prompt: 16832, Resposta: 105, Pensamento: 16381)"
07f4cdbd.json,"Total: 11070 (Prompt: 1221, Resposta: 829, Pensamento: 9020)"
08057cf6.json,"Total: 6772 (Prompt: 1254, Resposta: 623, Pensamento: 4895)"
08bee0c9.json,"Total: 10777 (Prompt: 1478, Resposta: 590, Pensamento: 8709)"
090173db.json,"Total: 9269 (Prompt: 1225, Resposta: 864, Pensamento: 7180)"
0a710c9d.json,"Total: 18529 (Prompt: 4373, Resposta: 1458, Pensamento: 12698)"
