Task,gemma-4-31b-it
006a28fd.json,"Total: 374.74s (Raciocínio: 364.79s, Formatação: 9.96s)"
0032aa67.json,"Total: 470.41s (Raciocínio: 461.08s, Formatação: 9.33s)"
0141f3e2.json,"Total: 339.72s (Raciocínio: 319.09s, Formatação: 20.64s)"
01698463.json,"Total: 292.05s (Raciocínio: 285.20s, Formatação: 6.85s)"
016cdee0.json,"Total: 218.31s (Raciocínio: 200.10s, Formatação: 18.21s)"
02879404.json,"Total: 165.65s (Raciocínio: 158.90s, Formatação: 6.74s)"
01cc6ddd.json,"Total: 469.14s (Raciocínio: 460.69s, Formatação: 8.45s)"
02efdfc3.json,"Total: 214.44s (Raciocínio: 211.52s, Formatação: 2.93s)"
065108e7.json,"Total: 251.02s (Raciocínio: 235.19s, Formatação: 15.83s)"
04140079.json,"Total: 427.77s (Raciocínio: 419.63s, Formatação: 8.14s)"
089cca77.json,"Total: 403.04s (Raciocínio: 386.56s, Formatação: 16.47s)"
0840a35f.json,"Total: 461.62s (Raciocínio: 457.09s, Formatação: 4.53s)"
0ac8ac11.json,"Total: 152.96s (Raciocínio: 145.99s, Formatação: 6.98s)"
0accd120.json,"Total: 274.59s (Raciocínio: 265.36s, Formatação: 9.23s)"
0996401b.json,"Total: 365.81s (Raciocínio: 360.66s, Formatação: 5.15s)"
0ce55d2b.json,"Total: 265.44s (Raciocínio: 253.89s, Formatação: 11.56s)"
0c315230.json,"Total: 661.06s (Raciocínio: 653.08s, Formatação: 7.99s)"
0ed809b7.json,"Total: 440.72s (Raciocínio: 415.22s, Formatação: 25.51s)"
10759c75.json,"Total: 100.14s (Raciocínio: 91.57s, Formatação: 8.58s)"
0f764732.json,"Total: 461.02s (Raciocínio: 456.21s, Formatação: 4.80s)"
12183ad6.json,"Total: 270.68s (Raciocínio: 263.29s, Formatação: 7.38s)"
10f0ecfd.json,"Total: 462.92s (Raciocínio: 454.51s, Formatação: 8.41s)"
146270d7.json,"Total: 290.96s (Raciocínio: 283.46s, Formatação: 7.50s)"
14719dd1.json,"Total: 609.25s (Raciocínio: 583.94s, Formatação: 25.31s)"
162acd53.json,"Total: 218.80s (Raciocínio: 215.26s, Formatação: 3.55s)"
15256387.json,"Total: 364.07s (Raciocínio: 355.19s, Formatação: 8.87s)"
1759154f.json,"Total: 157.68s (Raciocínio: 149.03s, Formatação: 8.65s)"
1777a517.json,"Total: 245.41s (Raciocínio: 241.43s, Formatação: 3.97s)"
1d3949d2.json,"Total: 270.59s (Raciocínio: 266.57s, Formatação: 4.02s)"
1d3e8765.json,"Total: 308.37s (Raciocínio: 305.92s, Formatação: 2.45s)"
1dfa8184.json,"Total: 279.94s (Raciocínio: 267.64s, Formatação: 12.30s)"
1e3bf778.json,"Total: 409.80s (Raciocínio: 398.63s, Formatação: 11.17s)"
1f4376ba.json,"Total: 357.93s (Raciocínio: 313.81s, Formatação: 44.12s)"
1fa17451.json,"Total: 423.87s (Raciocínio: 404.39s, Formatação: 19.49s)"
20d12acf.json,"Total: 413.98s (Raciocínio: 403.42s, Formatação: 10.56s)"
2127b16f.json,"Total: 342.62s (Raciocínio: 337.75s, Formatação: 4.87s)"
20ed1f06.json,"Total: 421.67s (Raciocínio: 410.39s, Formatação: 11.28s)"
26871f8c.json,"Total: 137.41s (Raciocínio: 127.18s, Formatação: 10.22s)"
26073685.json,"Total: 212.94s (Raciocínio: 205.32s, Formatação: 7.61s)"
27004abf.json,"Total: 57.61s (Raciocínio: 53.91s, Formatação: 3.70s)"
