Task,gemma-4-31b-it
006a28fd.json,"Total: 16114 (Prompt: 2860, Resposta: 1308, Pensamento: 11946)"
0032aa67.json,"Total: 19704 (Prompt: 3014, Resposta: 1645, Pensamento: 15045)"
0141f3e2.json,"Total: 16682 (Prompt: 4819, Resposta: 1922, Pensamento: 9941)"
01698463.json,"Total: 12214 (Prompt: 1894, Resposta: 1278, Pensamento: 9042)"
016cdee0.json,"Total: 11832 (Prompt: 4200, Resposta: 1973, Pensamento: 5659)"
02879404.json,"Total: 8274 (Prompt: 2457, Resposta: 1217, Pensamento: 4600)"
01cc6ddd.json,"Total: 14452 (Prompt: 3214, Resposta: 1397, Pensamento: 9841)"
02efdfc3.json,"Total: 9418 (Prompt: 1806, Resposta: 924, Pensamento: 6688)"
065108e7.json,"Total: 12381 (Prompt: 3451, Resposta: 1559, Pensamento: 7371)"
04140079.json,"Total: 18268 (Prompt: 2920, Resposta: 1089, Pensamento: 14259)"
089cca77.json,"Total: 18231 (Prompt: 3738, Resposta: 1732, Pensamento: 12761)"
0840a35f.json,"Total: 34001 (Prompt: 17513, Resposta: 107, Pensamento: 16381)"
0ac8ac11.json,"Total: 7215 (Prompt: 1779, Resposta: 921, Pensamento: 4515)"
0accd120.json,"Total: 12462 (Prompt: 2756, Resposta: 1370, Pensamento: 8336)"
0996401b.json,"Total: 15474 (Prompt: 2365, Resposta: 1028, Pensamento: 12081)"
0ce55d2b.json,"Total: 12234 (Prompt: 2923, Resposta: 1489, Pensamento: 7822)"
0c315230.json,"Total: 18391 (Prompt: 1753, Resposta: 977, Pensamento: 15661)"
0ed809b7.json,"Total: 22714 (Prompt: 6988, Resposta: 2958, Pensamento: 12768)"
10759c75.json,"Total: 5922 (Prompt: 2412, Resposta: 1076, Pensamento: 2434)"
0f764732.json,"Total: 18429 (Prompt: 1936, Resposta: 1272, Pensamento: 15221)"
12183ad6.json,"Total: 14383 (Prompt: 4693, Resposta: 1074, Pensamento: 8616)"
10f0ecfd.json,"Total: 18387 (Prompt: 1737, Resposta: 748, Pensamento: 15902)"
146270d7.json,"Total: 12810 (Prompt: 2495, Resposta: 1512, Pensamento: 8803)"
14719dd1.json,"Total: 21552 (Prompt: 4307, Resposta: 2738, Pensamento: 14507)"
162acd53.json,"Total: 9277 (Prompt: 1420, Resposta: 768, Pensamento: 7089)"
15256387.json,"Total: 15286 (Prompt: 2264, Resposta: 1264, Pensamento: 11758)"
1759154f.json,"Total: 7431 (Prompt: 1859, Resposta: 1199, Pensamento: 4373)"
