Task,gemma-4-31b-it
01698463.json,CORRECT
016cdee0.json,CORRECT
02879404.json,CORRECT
065108e7.json,CORRECT
0840a35f.json,INCORRECT
0ac8ac11.json,INCORRECT
0ce55d2b.json,CORRECT
0c315230.json,INCORRECT
12183ad6.json,CORRECT
1759154f.json,CORRECT
1d3e8765.json,CORRECT
1dfa8184.json,CORRECT
1f4376ba.json,CORRECT
26871f8c.json,INCORRECT
26073685.json,CORRECT
27004abf.json,CORRECT
279afbc0.json,CORRECT
27fdb69e.json,CORRECT
298ad750.json,CORRECT
2f33ea3c.json,CORRECT
30654559.json,CORRECT
333eeb10.json,CORRECT
33c502e7.json,CORRECT
35f2856d.json,CORRECT
39084080.json,CORRECT
39d0b1c0.json,CORRECT
3cefc7a8.json,INCORRECT
3e8aa4f8.json,CORRECT
40e4dbe8.json,CORRECT
3f163f06.json,CORRECT
423950e7.json,CORRECT
42707d72.json,CORRECT
42b19113.json,CORRECT
43eca892.json,CORRECT
43343337.json,CORRECT
46b0470d.json,INCORRECT
47e179ef.json,CORRECT
48c36203.json,CORRECT
49fe3175.json,CORRECT
4c2c57cc.json,CORRECT
4d4e8ee1.json,CORRECT
510bd7f3.json,CORRECT
5208ebb6.json,CORRECT
529aa2b6.json,CORRECT
53d0b4eb.json,INCORRECT
553e6fa8.json,CORRECT
56d298af.json,CORRECT
5ae30cdc.json,CORRECT
5b226720.json,CORRECT
5b16183e.json,CORRECT
5bed5c90.json,CORRECT
5c389d56.json,CORRECT
5f48c387.json,CORRECT
5f5dd8c1.json,CORRECT
623c4969.json,CORRECT
63a29bef.json,CORRECT
67a99293.json,CORRECT
688e2203.json,CORRECT
6c5e4a9e.json,CORRECT
6cde2a05.json,CORRECT
6fbbfb54.json,CORRECT
722ffc5e.json,CORRECT
73e04752.json,INCORRECT
72e235a3.json,CORRECT
754b7d3e.json,CORRECT
7849f121.json,CORRECT
7b8e6f1a.json,INCORRECT
7bef9340.json,CORRECT
7bcc5bb7.json,CORRECT
7c65ff97.json,CORRECT
8329677f.json,CORRECT
836f9e4c.json,CORRECT
85009099.json,CORRECT
8117ac09.json,INCORRECT
87e1d98b.json,CORRECT
8810db6c.json,CORRECT
88438166.json,CORRECT
8ac35d4b.json,CORRECT
8c3d4c70.json,CORRECT
8bb3a4ef.json,CORRECT
8e235455.json,CORRECT
8f2c33d1.json,INCORRECT
91776f44.json,CORRECT
94cc385c.json,CORRECT
9a48d6ac.json,CORRECT
9dece29e.json,CORRECT
a0aaab36.json,CORRECT
9f13dc33.json,CORRECT
a1820007.json,CORRECT
a238c4ca.json,INCORRECT
a516753e.json,CORRECT
a5c3aac9.json,CORRECT
a6573ecc.json,CORRECT
a8c48179.json,CORRECT
a8f4f583.json,CORRECT
a8eb2cb1.json,CORRECT
a9f8e247.json,CORRECT
abd5805d.json,CORRECT
ad69538d.json,INCORRECT
b1440cca.json,CORRECT
b17d4953.json,INCORRECT
b6721d31.json,CORRECT
b921f18f.json,CORRECT
ba1afd54.json,INCORRECT
bd64c208.json,CORRECT
be961761.json,CORRECT
c4611346.json,CORRECT
c55bdd81.json,CORRECT
c8aeda0d.json,CORRECT
ca3ccfbb.json,CORRECT
cd192b87.json,CORRECT
ccce7522.json,CORRECT
cda33902.json,CORRECT
cf971de1.json,CORRECT
d0156500.json,CORRECT
d04c4832.json,CORRECT
d1b7f163.json,CORRECT
d0a368d6.json,CORRECT
d20a013f.json,CORRECT
d21eef17.json,CORRECT
d2797118.json,CORRECT
d25adae1.json,CORRECT
d3c48424.json,CORRECT
d3ce7635.json,CORRECT
d5396c32.json,INCORRECT
d6d172f7.json,CORRECT
d724ca3e.json,CORRECT
db3fc42e.json,CORRECT
debbd9d1.json,INCORRECT
df8d9e65.json,CORRECT
e1ee0732.json,CORRECT
e2a6ddcb.json,CORRECT
e515742e.json,CORRECT
e87c9595.json,CORRECT
ea44d147.json,CORRECT
e8cba7a1.json,CORRECT
ea9b9c5f.json,CORRECT
eb416059.json,CORRECT
ee3156e6.json,CORRECT
f24bab4c.json,CORRECT
f36fb5ec.json,CORRECT
f4c10abe.json,CORRECT
f3c32c50.json,INCORRECT
f8c9d426.json,CORRECT
fa0b403d.json,CORRECT
fa8e024f.json,CORRECT
feeb24c3.json,CORRECT
ff32daf7.json,CORRECT
