Task,gemma-4-31b-it
006a28fd.json,"0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0"
0032aa67.json,"2 2 5 2 2 2 3 3 2 5
2 2 3 5 2 3 3 3 2 2
2 3 3 3 5 3 3 2 2 2
2 3 3 2 2 3 3 3 3 2
2 2 3 2 2 3 3 3 2 2
2 2 3 2 5 3 3 3 3 2
2 2 3 3 5 3 3 5 3 5
2 2 3 3 5 5 5 3 3 3
2 2 2 2 2 3 3 3 3 5
2 5 5 2 5 3 3 5 3 5"
0141f3e2.json,"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 2 2 2 2
0 0 0 0 0 0 0 0 0 0 0 2 2 2 2
0 0 0 0 0 0 0 4 4 4 0 2 2 2 2
0 0 0 0 0 0 0 4 4 4 0 2 2 2 2
0 0 0 0 0 0 0 4 4 4 0 2 2 2 2
0 0 0 0 0 0 0 4 4 4 0 2 2 2 2
0 0 0 0 0 0 0 4 4 4 0 2 2 2 2
0 0 0 0 0 0 0 4 4 4 0 0 0 0 0
1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
01698463.json,"5 0 0 0 2 0 0 0 0
0 0 8 0 0 0 0 0 0
0 0 0 0 0 0 0 8 0
2 0 0 0 5 0 0 0 0
0 0 0 0 0 2 0 0 5
0 8 0 0 0 0 0 0 0
0 0 0 5 0 0 0 3 5"
016cdee0.json,"0 0 0 8 1 1 1 1 8 0 0 0 0 0 0
0 0 0 8 1 1 1 1 8 0 0 0 0 0 0
0 0 0 8 1 1 1 1 8 0 0 0 0 0 0
8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
4 4 4 8 6 6 6 6 8 3 3 3 3 3 3
4 4 4 8 6 6 6 6 8 3 3 3 3 3 3
4 4 4 8 6 6 6 6 8 3 3 3 3 3 3
4 4 4 8 6 6 6 6 8 3 3 3 3 3 3
4 4 4 8 6 6 6 6 8 3 3 3 3 3 3
4 4 4 8 6 6 6 6 8 3 3 3 3 3 3
8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
0 0 0 8 2 2 2 2 8 0 0 0 0 0 0
0 0 0 8 2 2 2 2 8 0 0 0 0 0 0
0 0 0 8 2 2 2 2 8 0 0 0 0 0 0
0 0 0 8 2 2 2 2 8 0 0 0 0 0 0
0 0 0 8 2 2 2 2 8 0 0 0 0 0 0
0 0 0 8 2 2 2 2 8 0 0 0 0 0 0"
02879404.json,"0 0 0 0 0 0 0 0
3 5 3 5 3 0 0 0
5 4 5 4 5 4 0 0
0 0 0 0 0 0 0 0
5 8 5 8 0 0 0 0
0 0 0 0 0 0 0 0
2 5 2 5 2 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0"
01cc6ddd.json,"0 0 0 0 0 0 8 0 0 0
0 0 0 0 0 0 8 0 0 0
0 0 0 0 0 0 8 0 0 0
0 0 0 0 0 0 8 0 0 0
0 0 0 0 0 0 8 0 0 0
8 8 8 8 8 8 8 8 8 8
0 0 0 0 0 0 8 0 0 0
0 0 0 0 0 0 8 0 0 0
0 0 0 0 0 0 8 0 0 0
0 0 0 0 0 0 8 0 0 0"
02efdfc3.json,0 0 1 1 1
065108e7.json,"0 2 0 0 1 0 0 0 0 0 0 2 0 0 1
0 0 5 5 0 0 0 0 0 0 0 0 5 5 0
0 0 5 5 0 0 0 0 0 0 0 0 5 5 0
0 4 0 0 3 0 0 2 0 0 1 4 0 0 3
0 0 0 0 0 0 0 0 5 5 0 0 0 0 0
2 0 0 1 0 0 0 0 5 5 0 0 0 0 0
0 5 5 0 0 0 0 4 0 0 3 0 0 0 0
0 5 5 0 0 0 0 0 0 0 0 0 0 0 0
4 0 0 3 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 2 0 0 1 0
0 0 0 2 0 0 1 0 0 0 0 5 5 0 0
0 0 0 0 5 5 0 0 0 0 0 5 5 0 0
0 0 0 0 5 5 0 0 0 0 4 0 0 3 0
0 0 0 4 0 0 3 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
04140079.json,"0 0 0 0 0 0 0 2 2 2
0 0 0 0 1 1 1 1 1 1
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 4 0 0 0 0 0 0 0
0 0 4 0 0 0 0 0 0 0
0 0 4 0 0 0 0 0 0 0
0 0 4 0 0 0 0 0 0 0
0 0 4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0"
