Task,gemma-4-31b-it
02c34d94.json,"Total: 245.41s (Raciocínio: 238.72s, Formatação: 6.69s)"
00138e4f.json,"Total: 329.05s (Raciocínio: 288.20s, Formatação: 40.85s)"
0141dfb5.json,"Total: 371.18s (Raciocínio: 368.62s, Formatação: 2.56s)"
013b2efb.json,"Total: 457.82s (Raciocínio: 450.06s, Formatação: 7.76s)"
0314807c.json,"Total: 233.44s (Raciocínio: 228.91s, Formatação: 4.53s)"
03759c0e.json,"Total: 170.52s (Raciocínio: 166.68s, Formatação: 3.84s)"
0386d5e8.json,"Total: 141.79s (Raciocínio: 129.11s, Formatação: 12.68s)"
068349d7.json,"Total: 317.43s (Raciocínio: 313.44s, Formatação: 3.99s)"
073d827f.json,"Total: 260.96s (Raciocínio: 254.18s, Formatação: 6.78s)"
072a3b15.json,"Total: 444.91s (Raciocínio: 435.76s, Formatação: 9.15s)"
06d0eecf.json,"Total: 467.51s (Raciocínio: 456.32s, Formatação: 11.18s)"
0a55cb4a.json,"Total: 183.35s (Raciocínio: 174.86s, Formatação: 8.49s)"
08321e60.json,"Total: 408.49s (Raciocínio: 400.45s, Formatação: 8.03s)"
09ced63f.json,"Total: 420.75s (Raciocínio: 409.41s, Formatação: 11.34s)"
0a8a81c2.json,"Total: 332.15s (Raciocínio: 323.83s, Formatação: 8.32s)"
0afb8045.json,"Total: 205.18s (Raciocínio: 197.52s, Formatação: 7.67s)"
0acf2e2c.json,"Total: 332.37s (Raciocínio: 321.72s, Formatação: 10.65s)"
1019c9b5.json,"Total: 295.79s (Raciocínio: 281.71s, Formatação: 14.08s)"
1177e4e1.json,"Total: 220.65s (Raciocínio: 210.78s, Formatação: 9.87s)"
122d89df.json,"Total: 111.08s (Raciocínio: 106.72s, Formatação: 4.36s)"
10dbff0f.json,"Total: 412.30s (Raciocínio: 410.00s, Formatação: 2.30s)"
11b38d72.json,"Total: 261.82s (Raciocínio: 252.47s, Formatação: 9.36s)"
132626ff.json,"Total: 174.53s (Raciocínio: 171.62s, Formatação: 2.92s)"
16264fb9.json,"Total: 124.36s (Raciocínio: 121.70s, Formatação: 2.66s)"
12f3f7fd.json,"Total: 472.62s (Raciocínio: 463.12s, Formatação: 9.50s)"
144bc2ce.json,"Total: 466.91s (Raciocínio: 459.43s, Formatação: 7.48s)"
18872b41.json,"Total: 399.36s (Raciocínio: 388.51s, Formatação: 10.85s)"
18daa518.json,"Total: 469.77s (Raciocínio: 462.77s, Formatação: 6.99s)"
198e24f8.json,"Total: 202.17s (Raciocínio: 193.11s, Formatação: 9.06s)"
19a630b4.json,"Total: 298.12s (Raciocínio: 291.12s, Formatação: 7.01s)"
1b6912c6.json,"Total: 155.06s (Raciocínio: 149.94s, Formatação: 5.12s)"
1ce6f377.json,"Total: 95.32s (Raciocínio: 92.49s, Formatação: 2.83s)"
1d0d24b9.json,"Total: 122.84s (Raciocínio: 120.73s, Formatação: 2.11s)"
1d47c799.json,"Total: 465.89s (Raciocínio: 459.54s, Formatação: 6.34s)"
1dcc3a06.json,"Total: 384.79s (Raciocínio: 381.24s, Formatação: 3.55s)"
1ee1cc30.json,"Total: 200.94s (Raciocínio: 198.31s, Formatação: 2.63s)"
20bcd162.json,"Total: 56.45s (Raciocínio: 54.10s, Formatação: 2.36s)"
22036409.json,"Total: 466.81s (Raciocínio: 456.06s, Formatação: 10.74s)"
2239e243.json,"Total: 377.57s (Raciocínio: 361.45s, Formatação: 16.12s)"
22beac7e.json,"Total: 430.91s (Raciocínio: 422.40s, Formatação: 8.52s)"
2333a7cd.json,"Total: 288.26s (Raciocínio: 280.05s, Formatação: 8.21s)"
25087915.json,"Total: 204.43s (Raciocínio: 197.70s, Formatação: 6.73s)"
16b35ae4.json,"Total: 215.98s (Raciocínio: 206.40s, Formatação: 9.58s)"
15c5c6b3.json,"Total: 465.48s (Raciocínio: 458.64s, Formatação: 6.85s)"
27906204.json,"Total: 165.77s (Raciocínio: 158.24s, Formatação: 7.53s)"
28a8bafa.json,"Total: 421.94s (Raciocínio: 413.62s, Formatação: 8.31s)"
2a1e195d.json,"Total: 155.61s (Raciocínio: 152.23s, Formatação: 3.39s)"
2aa3edcf.json,"Total: 467.54s (Raciocínio: 459.30s, Formatação: 8.24s)"
2b517013.json,"Total: 339.76s (Raciocínio: 336.97s, Formatação: 2.79s)"
2b726cab.json,"Total: 435.26s (Raciocínio: 427.60s, Formatação: 7.66s)"
2c6b6b2b.json,"Total: 443.04s (Raciocínio: 435.11s, Formatação: 7.93s)"
2c95f4ac.json,"Total: 390.02s (Raciocínio: 386.93s, Formatação: 3.09s)"
2d296aa2.json,"Total: 249.49s (Raciocínio: 234.80s, Formatação: 14.69s)"
2f31aeb7.json,"Total: 380.40s (Raciocínio: 375.04s, Formatação: 5.36s)"
3018168b.json,"Total: 419.34s (Raciocínio: 411.14s, Formatação: 8.20s)"
31f2517d.json,"Total: 210.96s (Raciocínio: 203.08s, Formatação: 7.88s)"
