Task,gemma-4-31b-it
02c34d94.json,"Total: 11303 (Prompt: 2650, Resposta: 1324, Pensamento: 7329)"
00138e4f.json,"Total: 21762 (Prompt: 10021, Resposta: 3975, Pensamento: 7766)"
0141dfb5.json,"Total: 14342 (Prompt: 1173, Resposta: 779, Pensamento: 12390)"
013b2efb.json,"Total: 18784 (Prompt: 2500, Resposta: 1499, Pensamento: 14785)"
0314807c.json,"Total: 10364 (Prompt: 1931, Resposta: 1170, Pensamento: 7263)"
03759c0e.json,"Total: 7326 (Prompt: 1327, Resposta: 971, Pensamento: 5028)"
0386d5e8.json,"Total: 8064 (Prompt: 3040, Resposta: 1402, Pensamento: 3622)"
068349d7.json,"Total: 14679 (Prompt: 3340, Resposta: 969, Pensamento: 10370)"
073d827f.json,"Total: 11080 (Prompt: 1656, Resposta: 1138, Pensamento: 8286)"
072a3b15.json,"Total: 18070 (Prompt: 2136, Resposta: 1164, Pensamento: 14770)"
06d0eecf.json,"Total: 35572 (Prompt: 18849, Resposta: 342, Pensamento: 16381)"
0a55cb4a.json,"Total: 9124 (Prompt: 2631, Resposta: 1219, Pensamento: 5274)"
08321e60.json,"Total: 17074 (Prompt: 2513, Resposta: 1090, Pensamento: 13471)"
09ced63f.json,"Total: 13254 (Prompt: 2953, Resposta: 1382, Pensamento: 8919)"
0a8a81c2.json,"Total: 14540 (Prompt: 2587, Resposta: 1172, Pensamento: 10781)"
0afb8045.json,"Total: 9323 (Prompt: 2050, Resposta: 1213, Pensamento: 6060)"
0acf2e2c.json,"Total: 15064 (Prompt: 3250, Resposta: 1304, Pensamento: 10510)"
1019c9b5.json,"Total: 16182 (Prompt: 5683, Resposta: 1591, Pensamento: 8908)"
1177e4e1.json,"Total: 10274 (Prompt: 2393, Resposta: 1089, Pensamento: 6792)"
122d89df.json,"Total: 5019 (Prompt: 1095, Resposta: 559, Pensamento: 3365)"
10dbff0f.json,"Total: 16049 (Prompt: 1426, Resposta: 902, Pensamento: 13721)"
11b38d72.json,"Total: 11839 (Prompt: 2424, Resposta: 1631, Pensamento: 7784)"
132626ff.json,"Total: 7816 (Prompt: 1675, Resposta: 845, Pensamento: 5296)"
16264fb9.json,"Total: 5223 (Prompt: 829, Resposta: 409, Pensamento: 3985)"
12f3f7fd.json,"Total: 34711 (Prompt: 18060, Resposta: 270, Pensamento: 16381)"
144bc2ce.json,"Total: 34211 (Prompt: 17612, Resposta: 218, Pensamento: 16381)"
18872b41.json,"Total: 17035 (Prompt: 2754, Resposta: 1342, Pensamento: 12939)"
18daa518.json,"Total: 33415 (Prompt: 16834, Resposta: 200, Pensamento: 16381)"
198e24f8.json,"Total: 8961 (Prompt: 1769, Resposta: 1273, Pensamento: 5919)"
19a630b4.json,"Total: 13732 (Prompt: 3191, Resposta: 1201, Pensamento: 9340)"
1b6912c6.json,"Total: 6856 (Prompt: 1338, Resposta: 877, Pensamento: 4641)"
1ce6f377.json,"Total: 4602 (Prompt: 1276, Resposta: 886, Pensamento: 2440)"
1d0d24b9.json,"Total: 7072 (Prompt: 2698, Resposta: 593, Pensamento: 3781)"
1d47c799.json,"Total: 19114 (Prompt: 2563, Resposta: 643, Pensamento: 15908)"
1dcc3a06.json,"Total: 19014 (Prompt: 5433, Resposta: 973, Pensamento: 12608)"
1ee1cc30.json,"Total: 9152 (Prompt: 1938, Resposta: 535, Pensamento: 6679)"
20bcd162.json,"Total: 2828 (Prompt: 868, Resposta: 519, Pensamento: 1441)"
22036409.json,"Total: 34370 (Prompt: 17647, Resposta: 342, Pensamento: 16381)"
2239e243.json,"Total: 18021 (Prompt: 4538, Resposta: 1611, Pensamento: 11872)"
22beac7e.json,"Total: 18205 (Prompt: 2836, Resposta: 1434, Pensamento: 13935)"
2333a7cd.json,"Total: 12417 (Prompt: 2279, Resposta: 1317, Pensamento: 8821)"
25087915.json,"Total: 9144 (Prompt: 1836, Resposta: 1233, Pensamento: 6075)"
16b35ae4.json,"Total: 10204 (Prompt: 2532, Resposta: 1139, Pensamento: 6533)"
15c5c6b3.json,"Total: 37055 (Prompt: 20504, Resposta: 170, Pensamento: 16381)"
27906204.json,"Total: 7922 (Prompt: 1995, Resposta: 1154, Pensamento: 4773)"
28a8bafa.json,"Total: 17411 (Prompt: 2448, Resposta: 1033, Pensamento: 13930)"
2a1e195d.json,"Total: 9788 (Prompt: 4272, Resposta: 877, Pensamento: 4639)"
2aa3edcf.json,"Total: 18673 (Prompt: 2025, Resposta: 1026, Pensamento: 15622)"
2b517013.json,"Total: 13405 (Prompt: 1295, Resposta: 911, Pensamento: 11199)"
2b726cab.json,"Total: 17183 (Prompt: 1634, Resposta: 1255, Pensamento: 14294)"
2c6b6b2b.json,"Total: 19073 (Prompt: 3036, Resposta: 1613, Pensamento: 14424)"
2c95f4ac.json,"Total: 23496 (Prompt: 9499, Resposta: 1249, Pensamento: 12748)"
2d296aa2.json,"Total: 13083 (Prompt: 4153, Resposta: 1459, Pensamento: 7471)"
2f31aeb7.json,"Total: 15352 (Prompt: 1715, Resposta: 1129, Pensamento: 12508)"
3018168b.json,"Total: 18025 (Prompt: 3027, Resposta: 1198, Pensamento: 13800)"
31f2517d.json,"Total: 10336 (Prompt: 2833, Resposta: 904, Pensamento: 6599)"
329bb819.json,"Total: 13276 (Prompt: 2067, Resposta: 1149, Pensamento: 10060)"
3306044d.json,"Total: 18221 (Prompt: 2711, Resposta: 1315, Pensamento: 14195)"
33eaf6d3.json,"Total: 6114 (Prompt: 1223, Resposta: 817, Pensamento: 4074)"
342aa36e.json,"Total: 13851 (Prompt: 2942, Resposta: 1792, Pensamento: 9117)"
3444e487.json,"Total: 4844 (Prompt: 1288, Resposta: 848, Pensamento: 2708)"
36d140bc.json,"Total: 10438 (Prompt: 2368, Resposta: 1348, Pensamento: 6722)"
375cee28.json,"Total: 17500 (Prompt: 1861, Resposta: 1318, Pensamento: 14321)"
3787f0cd.json,"Total: 14679 (Prompt: 4062, Resposta: 1040, Pensamento: 9577)"
