Task,gemma-4-31b-it
02c34d94.json,CORRECT
00138e4f.json,INCORRECT
0141dfb5.json,INCORRECT
013b2efb.json,CORRECT
0314807c.json,CORRECT
03759c0e.json,CORRECT
0386d5e8.json,CORRECT
068349d7.json,CORRECT
073d827f.json,CORRECT
072a3b15.json,INCORRECT
06d0eecf.json,INCORRECT
0a55cb4a.json,CORRECT
08321e60.json,INCORRECT
09ced63f.json,CORRECT
0a8a81c2.json,INCORRECT
0afb8045.json,CORRECT
0acf2e2c.json,CORRECT
1019c9b5.json,CORRECT
1177e4e1.json,CORRECT
122d89df.json,CORRECT
10dbff0f.json,INCORRECT
11b38d72.json,INCORRECT
132626ff.json,CORRECT
16264fb9.json,CORRECT
12f3f7fd.json,INCORRECT
144bc2ce.json,INCORRECT
18872b41.json,INCORRECT
18daa518.json,INCORRECT
198e24f8.json,CORRECT
19a630b4.json,CORRECT
1b6912c6.json,CORRECT
1ce6f377.json,CORRECT
1d0d24b9.json,CORRECT
1d47c799.json,INCORRECT
1dcc3a06.json,INCORRECT
1ee1cc30.json,CORRECT
20bcd162.json,CORRECT
22036409.json,INCORRECT
2239e243.json,INCORRECT
22beac7e.json,INCORRECT
2333a7cd.json,CORRECT
25087915.json,CORRECT
16b35ae4.json,CORRECT
15c5c6b3.json,INCORRECT
27906204.json,CORRECT
28a8bafa.json,INCORRECT
2a1e195d.json,CORRECT
2aa3edcf.json,INCORRECT
2b517013.json,INCORRECT
2b726cab.json,CORRECT
2c6b6b2b.json,CORRECT
2c95f4ac.json,INCORRECT
2d296aa2.json,CORRECT
2f31aeb7.json,INCORRECT
3018168b.json,INCORRECT
31f2517d.json,CORRECT
329bb819.json,CORRECT
3306044d.json,CORRECT
33eaf6d3.json,CORRECT
342aa36e.json,CORRECT
3444e487.json,CORRECT
36d140bc.json,CORRECT
375cee28.json,CORRECT
3787f0cd.json,CORRECT
37fc07a6.json,CORRECT
385d3bcf.json,INCORRECT
38b88268.json,INCORRECT
38e983ce.json,CORRECT
39581c28.json,CORRECT
3b0fd42c.json,INCORRECT
3b63bce7.json,CORRECT
3bc79aa5.json,CORRECT
3d294117.json,INCORRECT
3d5cf5ae.json,INCORRECT
3d67cfac.json,INCORRECT
3e7de993.json,CORRECT
4144165a.json,CORRECT
41a47a51.json,CORRECT
43301109.json,CORRECT
436eac25.json,INCORRECT
4382eb87.json,INCORRECT
43a55117.json,INCORRECT
460b5ff7.json,INCORRECT
46445496.json,CORRECT
16cb4e27.json,CORRECT
268419f7.json,CORRECT
47d64b0b.json,CORRECT
48fc77fb.json,INCORRECT
49843988.json,CORRECT
4af08fa2.json,CORRECT
4d6e5092.json,INCORRECT
4d71170f.json,INCORRECT
4e91477b.json,CORRECT
4e93079d.json,CORRECT
