Task,gemma-4-31b-it
02c34d94.json,"0 2 2 2 2 2 0 0 0
0 2 1 1 1 2 0 0 0
0 2 1 2 1 2 2 2 2
0 2 1 1 1 2 1 1 2
2 2 2 2 2 2 1 1 2
0 0 2 0 0 2 1 1 2
0 0 2 0 0 2 2 2 2
0 0 2 0 0 0 0 0 0
0 0 2 0 0 0 0 0 0"
00138e4f.json,"0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0
0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
0 0 4 0 0 4 2 2 4 2 2 4 2 2 4 2 2 4 2 2 4 2 2 4 0 0
0 0 4 0 0 4 2 2 4 2 2 4 2 2 4 2 2 4 2 2 4 2 2 4 0 0
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
0 0 4 0 0 4 2 2 4 0 0 4 8 8 4 8 8 4 8 8 4 8 8 4 0 0
0 0 4 0 0 4 2 2 4 0 0 4 8 8 4 8 8 4 8 8 4 8 8 4 0 0
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
0 0 4 0 0 4 2 2 4 0 0 4 0 0 4 0 0 4 0 0 4 2 2 4 0 0
0 0 4 0 0 4 2 2 4 0 0 4 0 0 4 0 0 4 0 0 4 2 2 4 0 0
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
0 0 4 0 0 4 2 2 4 0 0 4 0 0 4 0 0 4 0 0 4 2 2 4 0 0
0 0 4 0 0 4 2 2 4 0 0 4 0 0 4 0 0 4 0 0 4 2 2 4 0 0
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
0 0 4 0 0 4 2 2 4 2 2 4 2 2 4 2 2 4 2 2 4 2 2 4 0 0
0 0 4 0 0 4 2 2 4 2 2 4 2 2 4 2 2 4 2 2 4 2 2 4 0 0
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0
0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 3 3 4 0 0 4 0 0 4 0 0
0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 3 3 4 0 0 4 0 0 4 0 0
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0
0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0 4 0 0"
0141dfb5.json,"9 9 9
5 5 5
4 4 4"
013b2efb.json,"0 0 0 4 4 4 0 0 0 0
0 0 4 0 0 4 0 0 0 0
0 4 0 0 0 4 0 0 0 0
0 4 0 0 0 4 0 0 0 0
0 4 0 0 0 4 0 0 0 0
0 4 0 0 4 4 0 0 0 0
0 4 0 4 0 0 0 0 0 0
0 4 4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0"
0314807c.json,"1 1 1 1 1 1
1 9 9 9 9 1
1 9 0 0 9 1
1 9 0 0 9 1
1 9 9 9 9 1
1 1 1 1 1 1"
03759c0e.json,"0 1 0 0 1 0
0 0 0 0 0 0
0 0 1 1 0 0"
0386d5e8.json,"5 5 5 5 5 5 5 5 5 5 5 5 5 5
5 6 6 6 6 6 6 6 6 6 6 6 6 5
5 6 7 7 7 7 7 7 7 7 7 7 6 5
5 6 7 3 3 3 3 3 3 3 3 7 6 5
5 6 7 3 4 4 4 4 4 4 3 7 6 5
5 6 7 3 4 2 2 2 2 4 3 7 6 5
5 6 7 3 4 2 8 8 2 4 3 7 6 5
5 6 7 3 4 2 8 8 2 4 3 7 6 5
5 6 7 3 4 2 2 2 2 4 3 7 6 5
5 6 7 3 4 4 4 4 4 4 3 7 6 5
5 6 7 3 3 3 3 3 3 3 3 7 6 5
5 6 7 7 7 7 7 7 7 7 7 7 6 5
5 6 6 6 6 6 6 6 6 6 6 6 6 5
5 5 5 5 5 5 5 5 5 5 5 5 5 5"
068349d7.json,"5 9 9 9 9
5 9 9 9 9
5 6 9 6 9
2 6 6 9 9
5 4 6 6 9"
073d827f.json,"3 5 5 0 0 0 0 5 5 3
3 5 5 0 0 0 0 5 5 3
3 5 5 0 0 0 0 5 5 3
3 5 5 0 0 0 0 5 5 3
3 5 5 0 0 0 0 5 5 3
3 5 5 0 0 0 0 5 5 3"
072a3b15.json,"0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 4 4 4
0 0 0 0 0 0 0 4 1 4
0 4 4 4 4 4 0 4 1 4
0 4 2 2 2 4 0 4 1 4
0 4 2 2 2 4 0 4 4 4
0 4 2 2 2 4 0 0 0 0
0 4 2 2 2 4 0 0 0 0
0 4 4 4 4 4 0 0 0 0
0 0 0 0 0 0 0 0 0 0"
