Task,gemma-4-31b-it
02c34d94.json,"Total: 245.41s (Raciocínio: 238.72s, Formatação: 6.69s)"
00138e4f.json,"Total: 329.05s (Raciocínio: 288.20s, Formatação: 40.85s)"
013b2efb.json,"Total: 457.82s (Raciocínio: 450.06s, Formatação: 7.76s)"
068349d7.json,"Total: 317.43s (Raciocínio: 313.44s, Formatação: 3.99s)"
06d0eecf.json,"Total: 467.51s (Raciocínio: 456.32s, Formatação: 11.18s)"
0acf2e2c.json,"Total: 332.37s (Raciocínio: 321.72s, Formatação: 10.65s)"
1177e4e1.json,"Total: 220.65s (Raciocínio: 210.78s, Formatação: 9.87s)"
132626ff.json,"Total: 174.53s (Raciocínio: 171.62s, Formatação: 2.92s)"
16264fb9.json,"Total: 124.36s (Raciocínio: 121.70s, Formatação: 2.66s)"
19a630b4.json,"Total: 298.12s (Raciocínio: 291.12s, Formatação: 7.01s)"
1ce6f377.json,"Total: 95.32s (Raciocínio: 92.49s, Formatação: 2.83s)"
20bcd162.json,"Total: 56.45s (Raciocínio: 54.10s, Formatação: 2.36s)"
25087915.json,"Total: 204.43s (Raciocínio: 197.70s, Formatação: 6.73s)"
27906204.json,"Total: 165.77s (Raciocínio: 158.24s, Formatação: 7.53s)"
2d296aa2.json,"Total: 249.49s (Raciocínio: 234.80s, Formatação: 14.69s)"
2f31aeb7.json,"Total: 380.40s (Raciocínio: 375.04s, Formatação: 5.36s)"
3444e487.json,"Total: 101.91s (Raciocínio: 95.10s, Formatação: 6.80s)"
36d140bc.json,"Total: 224.57s (Raciocínio: 216.72s, Formatação: 7.85s)"
3b63bce7.json,"Total: 205.25s (Raciocínio: 195.87s, Formatação: 9.38s)"
3bc79aa5.json,"Total: 193.89s (Raciocínio: 174.21s, Formatação: 19.68s)"
4144165a.json,"Total: 156.06s (Raciocínio: 138.78s, Formatação: 17.28s)"
41a47a51.json,"Total: 205.09s (Raciocínio: 200.17s, Formatação: 4.92s)"
43301109.json,"Total: 187.82s (Raciocínio: 168.07s, Formatação: 19.76s)"
46445496.json,"Total: 88.55s (Raciocínio: 85.84s, Formatação: 2.71s)"
16cb4e27.json,"Total: 241.90s (Raciocínio: 239.32s, Formatação: 2.58s)"
268419f7.json,"Total: 196.95s (Raciocínio: 192.68s, Formatação: 4.27s)"
4af08fa2.json,"Total: 278.86s (Raciocínio: 276.17s, Formatação: 2.69s)"
4d6e5092.json,"Total: 473.77s (Raciocínio: 452.69s, Formatação: 21.08s)"
4eef72f2.json,"Total: 200.93s (Raciocínio: 197.30s, Formatação: 3.63s)"
50e8d698.json,"Total: 207.42s (Raciocínio: 185.63s, Formatação: 21.79s)"
5497f03b.json,"Total: 263.02s (Raciocínio: 256.91s, Formatação: 6.11s)"
579e60de.json,"Total: 71.16s (Raciocínio: 68.65s, Formatação: 2.50s)"
5b55fbd5.json,"Total: 268.32s (Raciocínio: 260.00s, Formatação: 8.32s)"
5bd9f198.json,"Total: 234.82s (Raciocínio: 226.33s, Formatação: 8.50s)"
6327725f.json,"Total: 248.78s (Raciocínio: 240.91s, Formatação: 7.87s)"
64446dac.json,"Total: 202.51s (Raciocínio: 196.75s, Formatação: 5.76s)"
67ed9866.json,"Total: 343.31s (Raciocínio: 323.62s, Formatação: 19.69s)"
6d7dd58a.json,"Total: 334.10s (Raciocínio: 326.94s, Formatação: 7.16s)"
7207378b.json,"Total: 207.35s (Raciocínio: 204.01s, Formatação: 3.34s)"
7688fd95.json,"Total: 230.77s (Raciocínio: 212.20s, Formatação: 18.56s)"
777db7a2.json,"Total: 258.97s (Raciocínio: 248.49s, Formatação: 10.48s)"
7ccde831.json,"Total: 147.27s (Raciocínio: 143.91s, Formatação: 3.36s)"
7eb0babb.json,"Total: 106.47s (Raciocínio: 103.31s, Formatação: 3.16s)"
8853a1f7.json,"Total: 168.96s (Raciocínio: 166.14s, Formatação: 2.82s)"
7979f8c0.json,"Total: 313.85s (Raciocínio: 305.70s, Formatação: 8.15s)"
7a369a19.json,"Total: 255.58s (Raciocínio: 248.76s, Formatação: 6.82s)"
9af21bf1.json,"Total: 207.78s (Raciocínio: 199.55s, Formatação: 8.23s)"
a0f3df09.json,"Total: 107.14s (Raciocínio: 104.55s, Formatação: 2.58s)"
a12a956c.json,"Total: 218.47s (Raciocínio: 214.67s, Formatação: 3.80s)"
a311cab6.json,"Total: 259.27s (Raciocínio: 253.56s, Formatação: 5.71s)"
a4356802.json,"Total: 175.06s (Raciocínio: 171.72s, Formatação: 3.34s)"
a5673df7.json,"Total: 364.84s (Raciocínio: 355.95s, Formatação: 8.89s)"
a59d1b7c.json,"Total: 226.41s (Raciocínio: 217.22s, Formatação: 9.18s)"
ae573dd4.json,"Total: 133.08s (Raciocínio: 127.69s, Formatação: 5.40s)"
b0cde64a.json,"Total: 279.44s (Raciocínio: 275.14s, Formatação: 4.30s)"
b3cbedb4.json,"Total: 353.81s (Raciocínio: 315.15s, Formatação: 38.66s)"
