Task,gemma-4-31b-it
025d127b.json,CORRECT
007bbfb7.json,CORRECT
017c7c7b.json,INCORRECT
00d62c1b.json,INCORRECT
0520fde7.json,CORRECT
045e512c.json,INCORRECT
05269061.json,INCORRECT
05f2a901.json,CORRECT
06df4c85.json,CORRECT
08ed6ac7.json,CORRECT
0962bcdd.json,CORRECT
09629e4f.json,INCORRECT
0a938d79.json,CORRECT
0b148d64.json,INCORRECT
0ca9ddb6.json,CORRECT
0d3d703e.json,CORRECT
0dfd9992.json,CORRECT
11852cab.json,INCORRECT
10fcaaa3.json,INCORRECT
1190e5a7.json,CORRECT
0e206a2e.json,INCORRECT
137eaa0f.json,CORRECT
178fcbfb.json,CORRECT
150deff5.json,INCORRECT
1b2d62fb.json,CORRECT
1a07d186.json,INCORRECT
1bfc4729.json,CORRECT
1c786137.json,CORRECT
1b60fb0c.json,INCORRECT
1caeab9d.json,CORRECT
1cf80156.json,CORRECT
1e0a9b12.json,CORRECT
1e32b0e9.json,CORRECT
1f642eb9.json,CORRECT
1f85a75f.json,CORRECT
1f876c06.json,CORRECT
1f0c79e5.json,INCORRECT
1fad071e.json,CORRECT
2013d3e2.json,CORRECT
2204b7a8.json,CORRECT
22168020.json,CORRECT
2281f1f4.json,CORRECT
22eb0ac0.json,CORRECT
228f6490.json,CORRECT
23581191.json,CORRECT
22233c11.json,INCORRECT
239be575.json,CORRECT
234bbc79.json,INCORRECT
23b5c85d.json,CORRECT
253bf280.json,CORRECT
25d8a9c8.json,CORRECT
25ff71a9.json,CORRECT
25d487eb.json,CORRECT
272f95fa.json,CORRECT
28bf18c6.json,CORRECT
27a28665.json,CORRECT
29623171.json,CORRECT
264363fd.json,INCORRECT
28e73c20.json,INCORRECT
29c11459.json,CORRECT
29ec7d0e.json,CORRECT
2bee17df.json,CORRECT
2c608aff.json,INCORRECT
2bcee788.json,CORRECT
2dc579da.json,CORRECT
2dee498d.json,CORRECT
31aa019c.json,CORRECT
321b1fc6.json,CORRECT
2dd70a9a.json,INCORRECT
32597951.json,CORRECT
