Task,gemma-4-31b-it
025d127b.json,"Total: 10499 (Prompt: 2348, Resposta: 1362, Pensamento: 6789)"
007bbfb7.json,"Total: 12512 (Prompt: 2256, Resposta: 1284, Pensamento: 8972)"
017c7c7b.json,"Total: 12626 (Prompt: 1291, Resposta: 823, Pensamento: 10512)"
00d62c1b.json,"Total: 19987 (Prompt: 5654, Resposta: 2448, Pensamento: 11885)"
0520fde7.json,"Total: 6433 (Prompt: 1498, Resposta: 1093, Pensamento: 3842)"
045e512c.json,"Total: 20782 (Prompt: 8033, Resposta: 2540, Pensamento: 10209)"
05269061.json,"Total: 12887 (Prompt: 2282, Resposta: 1491, Pensamento: 9114)"
05f2a901.json,"Total: 10993 (Prompt: 2691, Resposta: 1154, Pensamento: 7148)"
06df4c85.json,"Total: 20553 (Prompt: 9631, Resposta: 3599, Pensamento: 7323)"
08ed6ac7.json,"Total: 9321 (Prompt: 2191, Resposta: 1350, Pensamento: 5780)"
0962bcdd.json,"Total: 11876 (Prompt: 2529, Resposta: 1168, Pensamento: 8179)"
09629e4f.json,"Total: 17081 (Prompt: 3593, Resposta: 1448, Pensamento: 12040)"
0a938d79.json,"Total: 15539 (Prompt: 5402, Resposta: 1968, Pensamento: 8169)"
0b148d64.json,"Total: 12600 (Prompt: 4334, Resposta: 1020, Pensamento: 7246)"
0ca9ddb6.json,"Total: 7959 (Prompt: 2204, Resposta: 1000, Pensamento: 4755)"
0d3d703e.json,"Total: 4658 (Prompt: 984, Resposta: 591, Pensamento: 3083)"
0dfd9992.json,"Total: 19062 (Prompt: 7885, Resposta: 2353, Pensamento: 8824)"
11852cab.json,"Total: 12605 (Prompt: 2589, Resposta: 1184, Pensamento: 8832)"
10fcaaa3.json,"Total: 17749 (Prompt: 2678, Resposta: 2113, Pensamento: 12958)"
1190e5a7.json,"Total: 9179 (Prompt: 4196, Resposta: 794, Pensamento: 4189)"
0e206a2e.json,"Total: 22507 (Prompt: 5272, Resposta: 2193, Pensamento: 15042)"
137eaa0f.json,"Total: 12996 (Prompt: 2288, Resposta: 1063, Pensamento: 9645)"
178fcbfb.json,"Total: 10979 (Prompt: 2532, Resposta: 1217, Pensamento: 7230)"
150deff5.json,"Total: 16646 (Prompt: 2784, Resposta: 1499, Pensamento: 12363)"
1b2d62fb.json,"Total: 8387 (Prompt: 1599, Resposta: 830, Pensamento: 5958)"
1a07d186.json,"Total: 22257 (Prompt: 6165, Resposta: 2786, Pensamento: 13306)"
1bfc4729.json,"Total: 8589 (Prompt: 2243, Resposta: 1297, Pensamento: 5049)"
1c786137.json,"Total: 11265 (Prompt: 3967, Resposta: 1042, Pensamento: 6256)"
