Task,gemma-4-31b-it
025d127b.json,"Total: 231.63s (Raciocínio: 222.34s, Formatação: 9.29s)"
007bbfb7.json,"Total: 286.39s (Raciocínio: 277.66s, Formatação: 8.73s)"
017c7c7b.json,"Total: 317.53s (Raciocínio: 312.71s, Formatação: 4.82s)"
00d62c1b.json,"Total: 398.53s (Raciocínio: 374.33s, Formatação: 24.20s)"
0520fde7.json,"Total: 140.39s (Raciocínio: 136.64s, Formatação: 3.74s)"
045e512c.json,"Total: 356.80s (Raciocínio: 329.10s, Formatação: 27.70s)"
05269061.json,"Total: 297.23s (Raciocínio: 291.43s, Formatação: 5.79s)"
05f2a901.json,"Total: 233.91s (Raciocínio: 225.50s, Formatação: 8.41s)"
06df4c85.json,"Total: 309.06s (Raciocínio: 268.02s, Formatação: 41.04s)"
08ed6ac7.json,"Total: 199.95s (Raciocínio: 191.67s, Formatação: 8.28s)"
0962bcdd.json,"Total: 263.89s (Raciocínio: 252.99s, Formatação: 10.90s)"
09629e4f.json,"Total: 379.04s (Raciocínio: 368.75s, Formatação: 10.29s)"
0a938d79.json,"Total: 285.57s (Raciocínio: 266.47s, Formatação: 19.10s)"
0b148d64.json,"Total: 234.61s (Raciocínio: 229.71s, Formatação: 4.90s)"
0ca9ddb6.json,"Total: 163.87s (Raciocínio: 157.18s, Formatação: 6.69s)"
0d3d703e.json,"Total: 103.74s (Raciocínio: 101.14s, Formatação: 2.60s)"
0dfd9992.json,"Total: 314.32s (Raciocínio: 287.63s, Formatação: 26.68s)"
11852cab.json,"Total: 281.59s (Raciocínio: 273.00s, Formatação: 8.59s)"
10fcaaa3.json,"Total: 431.49s (Raciocínio: 422.10s, Formatação: 9.40s)"
1190e5a7.json,"Total: 140.91s (Raciocínio: 137.66s, Formatação: 3.24s)"
0e206a2e.json,"Total: 484.39s (Raciocínio: 460.10s, Formatação: 24.30s)"
137eaa0f.json,"Total: 299.05s (Raciocínio: 296.05s, Formatação: 3.00s)"
178fcbfb.json,"Total: 235.99s (Raciocínio: 226.51s, Formatação: 9.49s)"
150deff5.json,"Total: 386.10s (Raciocínio: 380.38s, Formatação: 5.72s)"
1b2d62fb.json,"Total: 191.46s (Raciocínio: 187.79s, Formatação: 3.67s)"
1a07d186.json,"Total: 449.35s (Raciocínio: 419.02s, Formatação: 30.33s)"
1bfc4729.json,"Total: 178.11s (Raciocínio: 168.44s, Formatação: 9.67s)"
1c786137.json,"Total: 204.98s (Raciocínio: 199.06s, Formatação: 5.92s)"
1b60fb0c.json,"Total: 386.22s (Raciocínio: 377.14s, Formatação: 9.08s)"
1caeab9d.json,"Total: 253.23s (Raciocínio: 245.35s, Formatação: 7.88s)"
1cf80156.json,"Total: 145.82s (Raciocínio: 142.52s, Formatação: 3.30s)"
1e0a9b12.json,"Total: 178.61s (Raciocínio: 175.19s, Formatação: 3.42s)"
1e32b0e9.json,"Total: 299.15s (Raciocínio: 279.13s, Formatação: 20.02s)"
1f642eb9.json,"Total: 285.53s (Raciocínio: 277.24s, Formatação: 8.29s)"
1f85a75f.json,"Total: 210.87s (Raciocínio: 207.79s, Formatação: 3.08s)"
1f876c06.json,"Total: 185.54s (Raciocínio: 177.61s, Formatação: 7.93s)"
1f0c79e5.json,"Total: 434.89s (Raciocínio: 426.03s, Formatação: 8.85s)"
1fad071e.json,"Total: 209.66s (Raciocínio: 205.82s, Formatação: 3.83s)"
2013d3e2.json,"Total: 264.72s (Raciocínio: 262.14s, Formatação: 2.58s)"
2204b7a8.json,"Total: 165.67s (Raciocínio: 157.83s, Formatação: 7.83s)"
22168020.json,"Total: 208.85s (Raciocínio: 200.31s, Formatação: 8.54s)"
2281f1f4.json,"Total: 116.14s (Raciocínio: 107.38s, Formatação: 8.76s)"
22eb0ac0.json,"Total: 93.30s (Raciocínio: 85.58s, Formatação: 7.72s)"
228f6490.json,"Total: 215.54s (Raciocínio: 207.62s, Formatação: 7.92s)"
23581191.json,"Total: 196.04s (Raciocínio: 188.69s, Formatação: 7.35s)"
22233c11.json,"Total: 469.75s (Raciocínio: 460.41s, Formatação: 9.35s)"
239be575.json,"Total: 299.00s (Raciocínio: 295.98s, Formatação: 3.02s)"
234bbc79.json,"Total: 434.77s (Raciocínio: 431.42s, Formatação: 3.35s)"
23b5c85d.json,"Total: 193.76s (Raciocínio: 191.28s, Formatação: 2.48s)"
253bf280.json,"Total: 217.77s (Raciocínio: 207.01s, Formatação: 10.77s)"
25d8a9c8.json,"Total: 75.96s (Raciocínio: 72.63s, Formatação: 3.33s)"
25ff71a9.json,"Total: 95.66s (Raciocínio: 93.11s, Formatação: 2.55s)"
25d487eb.json,"Total: 217.00s (Raciocínio: 203.98s, Formatação: 13.02s)"
272f95fa.json,"Total: 156.17s (Raciocínio: 138.59s, Formatação: 17.58s)"
28bf18c6.json,"Total: 102.08s (Raciocínio: 99.32s, Formatação: 2.76s)"
27a28665.json,"Total: 327.65s (Raciocínio: 324.49s, Formatação: 3.15s)"
29623171.json,"Total: 227.06s (Raciocínio: 217.06s, Formatação: 10.00s)"
264363fd.json,"Total: 520.19s (Raciocínio: 465.79s, Formatação: 54.40s)"
28e73c20.json,"Total: 317.02s (Raciocínio: 296.30s, Formatação: 20.72s)"
29c11459.json,"Total: 179.35s (Raciocínio: 173.48s, Formatação: 5.87s)"
29ec7d0e.json,"Total: 265.11s (Raciocínio: 244.28s, Formatação: 20.83s)"
2bee17df.json,"Total: 346.18s (Raciocínio: 332.54s, Formatação: 13.64s)"
2c608aff.json,"Total: 279.69s (Raciocínio: 255.12s, Formatação: 24.57s)"
2bcee788.json,"Total: 425.97s (Raciocínio: 417.72s, Formatação: 8.24s)"
2dc579da.json,"Total: 164.94s (Raciocínio: 160.61s, Formatação: 4.33s)"
2dee498d.json,"Total: 154.90s (Raciocínio: 151.46s, Formatação: 3.44s)"
31aa019c.json,"Total: 218.29s (Raciocínio: 209.42s, Formatação: 8.86s)"
321b1fc6.json,"Total: 221.16s (Raciocínio: 213.05s, Formatação: 8.10s)"
2dd70a9a.json,"Total: 321.17s (Raciocínio: 309.51s, Formatação: 11.66s)"
32597951.json,"Total: 207.18s (Raciocínio: 188.74s, Formatação: 18.44s)"
3618c87e.json,"Total: 162.20s (Raciocínio: 158.40s, Formatação: 3.80s)"
3428a4f5.json,"Total: 233.99s (Raciocínio: 229.80s, Formatação: 4.20s)"
3345333e.json,"Total: 439.63s (Raciocínio: 422.73s, Formatação: 16.89s)"
363442ee.json,"Total: 231.31s (Raciocínio: 222.22s, Formatação: 9.09s)"
3631a71a.json,"Total: 373.70s (Raciocínio: 320.78s, Formatação: 52.92s)"
36d67576.json,"Total: 386.13s (Raciocínio: 369.45s, Formatação: 16.68s)"
39a8645d.json,"Total: 264.44s (Raciocínio: 261.63s, Formatação: 2.81s)"
3906de3d.json,"Total: 370.15s (Raciocínio: 361.88s, Formatação: 8.27s)"
36fdfd69.json,"Total: 393.13s (Raciocínio: 372.72s, Formatação: 20.41s)"
3aa6fb7a.json,"Total: 243.38s (Raciocínio: 237.57s, Formatação: 5.81s)"
3af2c5a8.json,"Total: 177.80s (Raciocínio: 173.29s, Formatação: 4.51s)"
39e1d7f9.json,"Total: 373.22s (Raciocínio: 324.11s, Formatação: 49.11s)"
3ac3eb23.json,"Total: 269.07s (Raciocínio: 262.12s, Formatação: 6.95s)"
3bd67248.json,"Total: 198.65s (Raciocínio: 190.67s, Formatação: 7.98s)"
3c9b0459.json,"Total: 159.17s (Raciocínio: 156.20s, Formatação: 2.96s)"
3befdf3e.json,"Total: 253.82s (Raciocínio: 242.79s, Formatação: 11.03s)"
3bdb4ada.json,"Total: 287.61s (Raciocínio: 273.11s, Formatação: 14.50s)"
3de23699.json,"Total: 249.79s (Raciocínio: 242.91s, Formatação: 6.89s)"
3eda0437.json,"Total: 287.22s (Raciocínio: 280.00s, Formatação: 7.22s)"
3f7978a0.json,"Total: 275.00s (Raciocínio: 270.56s, Formatação: 4.45s)"
40853293.json,"Total: 212.80s (Raciocínio: 188.55s, Formatação: 24.25s)"
3e980e27.json,"Total: 462.51s (Raciocínio: 450.12s, Formatação: 12.39s)"
41e4d17e.json,"Total: 206.95s (Raciocínio: 191.68s, Formatação: 15.27s)"
4258a5f9.json,"Total: 192.58s (Raciocínio: 185.62s, Formatação: 6.96s)"
4093f84a.json,"Total: 411.44s (Raciocínio: 397.36s, Formatação: 14.08s)"
4290ef0e.json,"Total: 423.08s (Raciocínio: 415.87s, Formatação: 7.21s)"
4347f46a.json,"Total: 267.15s (Raciocínio: 247.37s, Formatação: 19.78s)"
444801d8.json,"Total: 211.39s (Raciocínio: 202.57s, Formatação: 8.83s)"
42a50994.json,"Total: 467.87s (Raciocínio: 461.99s, Formatação: 5.88s)"
445eab21.json,"Total: 180.60s (Raciocínio: 178.19s, Formatação: 2.40s)"
44f52bb0.json,"Total: 209.21s (Raciocínio: 207.00s, Formatação: 2.21s)"
44d8ac46.json,"Total: 274.45s (Raciocínio: 263.36s, Formatação: 11.08s)"
447fd412.json,"Total: 390.20s (Raciocínio: 366.37s, Formatação: 23.83s)"
4522001f.json,"Total: 291.05s (Raciocínio: 282.52s, Formatação: 8.53s)"
46442a0e.json,"Total: 276.38s (Raciocínio: 271.31s, Formatação: 5.07s)"
4612dd53.json,"Total: 352.56s (Raciocínio: 340.50s, Formatação: 12.06s)"
46f33fce.json,"Total: 229.00s (Raciocínio: 203.14s, Formatação: 25.86s)"
469497ad.json,"Total: 499.19s (Raciocínio: 460.34s, Formatação: 38.85s)"
47c1f68c.json,"Total: 281.47s (Raciocínio: 271.08s, Formatação: 10.38s)"
48d8fb45.json,"Total: 181.36s (Raciocínio: 177.78s, Formatação: 3.58s)"
496994bd.json,"Total: 156.22s (Raciocínio: 151.03s, Formatação: 5.20s)"
484b58aa.json,"Total: 407.41s (Raciocínio: 358.51s, Formatação: 48.90s)"
49d1d64f.json,"Total: 213.59s (Raciocínio: 210.00s, Formatação: 3.59s)"
