Task,gemma-4-31b-it
3aa6fb7a.json,"Total: 145.69s (Raciocínio: 140.70s, Formatação: 4.99s)"
44d8ac46.json,"Total: 233.69s (Raciocínio: 223.35s, Formatação: 10.34s)"
44f52bb0.json,"Total: 195.85s (Raciocínio: 193.35s, Formatação: 2.50s)"
0a938d79.json,"Total: 248.30s (Raciocínio: 227.34s, Formatação: 20.96s)"
0b148d64.json,"Total: 233.09s (Raciocínio: 230.59s, Formatação: 2.49s)"
00576224.json,"Total: 140.26s (Raciocínio: 135.87s, Formatação: 4.38s)"
0a1d4ef5.json,"Total: 215.21s (Raciocínio: 211.53s, Formatação: 3.67s)"
0b17323b.json,"Total: 128.21s (Raciocínio: 113.47s, Formatação: 14.74s)"
0bb8deee.json,"Total: 186.30s (Raciocínio: 181.38s, Formatação: 4.92s)"
0becf7df.json,"Total: 226.30s (Raciocínio: 217.80s, Formatação: 8.50s)"
Tempo do Batch,"Total: 1952.88s (Raciocínio: 1875.38s, Formatação: 77.50s)"
